date,shipments,dollars,dollars_per_watt
2006-12-01,26684.00,93394.00,3.50
2007-12-01,41179.00,138773.23,3.37
2008-12-01,76724.42,267768.21,3.49
2009-12-01,99073.25,276414.37,2.79
2010-12-01,220374.83,432722.47,1.96
2011-12-01,314339.58,499195.68,1.59
2012-12-01,387917.08,445115.26,1.15
2013-12-01,415406.75,312901.06,0.75
2014-12-01,519793.67,452118.14,0.87
2015-12-01,828581.50,584521.41,0.71
2016-12-01,1120932.28,808447.08,0.72
2017-12-01,905378.75,436503.58,0.48
