Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
803,Arizona Public Service Co,68397,Ironwood Solar,Map,Map,AZ,Yuma,AZPS,Electric Utility,I168M,,168,168,168,Solar Photovoltaic,SUN,PV,6,2026,"(TS) Construction complete, but not yet in commercial operation",32.915556,-113.5778
66815,Tidwell Prairie IIA LLC,68425,Tidwell Prairie II,Map,Map,TX,Robertson,ERCO,IPP Non-CHP,TWPII,,200,200,200,Batteries,MWH,BA,6,2026,"(U) Under construction, less than or equal to 50 percent complete",31.103064,-96.66494
66849,VESI 37 LLC,68495,Bird Dog Energy Storage,Map,Map,TX,San Patricio,ERCO,IPP Non-CHP,BDOG1,,60,60,60,Batteries,MWH,BA,6,2026,"(V) Under construction, more than 50 percent complete",28.158672,-97.86231
60059,ZGlobal Inc,68519,Madena 3,Map,Map,CA,Yuba,CISO,IPP Non-CHP,MDNA3,,3.9,3.9,3.9,Batteries,MWH,BA,6,2026,"(U) Under construction, less than or equal to 50 percent complete",39.026009,-121.5441
60059,ZGlobal Inc,68520,Madena 4,Map,Map,CA,Placer,CISO,IPP Non-CHP,MNDA4,,5,5,5,Batteries,MWH,BA,6,2026,"(U) Under construction, less than or equal to 50 percent complete",38.977582,-121.3765
66917,"East Avenue Q Solar Project 2022, LLC",68541,Palmdale Water District HQ,Map,Map,CA,Los Angeles,CISO,IPP Non-CHP,7169,,1.7,1.7,1.7,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",34.587916,-118.0931
58764,"Origis Energy USA, Inc",68593,Rockhound C,Map,Map,TX,Ector,ERCO,IPP Non-CHP,OERHC,,61,61,61,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",31.723088,-102.5196
58764,"Origis Energy USA, Inc",68594,Rockhound D,Map,Map,TX,Ector,ERCO,IPP Non-CHP,OERHD,,28,28,28,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",31.6859,-102.518
67225,"Canyon Peak Power, LLC",68741,Canyon Peak Power Station,Map,Map,CO,Arapahoe,WACM,IPP Non-CHP,CPP_5,,26.1,22.2,27.6,Natural Gas Fired Combustion Turbine,NG,GT,6,2026,"(U) Under construction, less than or equal to 50 percent complete",39.622946,-104.4508
67225,"Canyon Peak Power, LLC",68741,Canyon Peak Power Station,Map,Map,CO,Arapahoe,WACM,IPP Non-CHP,CPP_6,,26.1,22.2,27.6,Natural Gas Fired Combustion Turbine,NG,GT,6,2026,"(U) Under construction, less than or equal to 50 percent complete",39.622946,-104.4508
67039,"IP Quantum BESS, LLC",68759,Quantum BESS,Map,Map,TX,Haskell,ERCO,IPP Non-CHP,IPQ1B,,321,321,321,Batteries,MWH,BA,6,2026,"(V) Under construction, more than 50 percent complete",33.0121,-99.5604
67040,"IP Quantum, LLC",68760,Quantum Solar,Map,Map,TX,Haskell,ERCO,IPP Non-CHP,IPQ1S,,374.4,374.4,374.4,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",33.0129,-99.5604
67041,"IP Quantum II BESS, LLC",68761,Quantum II BESS,Map,Map,TX,Haskell,ERCO,IPP Non-CHP,IPQ2B,,321,321,321,Batteries,MWH,BA,6,2026,"(V) Under construction, more than 50 percent complete",33.135,-99.5719
67042,"IP Quantum II, LLC",68762,Quantum II Solar,Map,Map,TX,Haskell,ERCO,IPP Non-CHP,IPQ2S,,374.4,374.4,374.4,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",33.1377,-99.57
9191,Idaho Power Co,68799,Boise Bench BESS,Map,Map,ID,Ada,IPCO,Electric Utility,BOBS,,150,150,150,Batteries,MWH,BA,6,2026,"(V) Under construction, more than 50 percent complete",43.55751,-116.1548
67114,Santa Teresa Solar,68866,Santa Teresa Solar,Map,Map,NM,Dona Ana,EPE,IPP Non-CHP,SAN,,150,150,150,Batteries,MWH,BA,6,2026,"(V) Under construction, more than 50 percent complete",31.805525,-106.6989
