Entity ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year
65411,Gaston Solar,Map,Map,NC,Northampton,PJM,IPP Non-CHP,5MWPV,,5.0,5.0,5.0,Solar Photovoltaic,SUN,PV,4,2016
65411,Seaboard Solar LLC,Map,Map,NC,Northampton,PJM,IPP Non-CHP,5MWPV,,5.0,5.0,5.0,Solar Photovoltaic,SUN,PV,6,2016
61060,Mt Olive Solar 1,Map,Map,NC,Wayne,CPLE,IPP Non-CHP,FLS1,,5.0,5.0,5.0,Solar Photovoltaic,SUN,PV,5,2015
61060,FLS Solar 230 (Warren),Map,Map,NC,Duplin,CPLE,IPP Non-CHP,FLS1,,4.8,4.8,4.8,Solar Photovoltaic,SUN,PV,5,2015
18125,Stillwater Energy Center,Map,Map,OK,Payne,SWPP,Electric Utility,1,,18.8,18.6,18.6,Natural Gas Internal Combustion Engine,NG,IC,7,2016
18125,Stillwater Energy Center,Map,Map,OK,Payne,SWPP,Electric Utility,2,,18.8,18.6,18.6,Natural Gas Internal Combustion Engine,NG,IC,7,2016
18125,Stillwater Energy Center,Map,Map,OK,Payne,SWPP,Electric Utility,3,,18.8,18.6,18.6,Natural Gas Internal Combustion Engine,NG,IC,7,2016
65411,Tarboro Solar,Map,Map,NC,Edgecombe,PJM,IPP Non-CHP,5MWPV,,5.0,5.0,5.0,Solar Photovoltaic,SUN,PV,1,2016
59414,Nelson Gardens Landfill Gas to Energy,Map,Map,TX,Bexar,ERCO,IPP Non-CHP,UNIT1,,1.1,1.1,1.1,Landfill Gas,LFG,IC,4,2014
59414,Nelson Gardens Landfill Gas to Energy,Map,Map,TX,Bexar,ERCO,IPP Non-CHP,UNIT2,,1.1,1.1,1.1,Landfill Gas,LFG,IC,4,2014
59414,Nelson Gardens Landfill Gas to Energy,Map,Map,TX,Bexar,ERCO,IPP Non-CHP,UNIT3,,1.1,1.1,1.1,Landfill Gas,LFG,IC,4,2014
59414,Nelson Gardens Landfill Gas to Energy,Map,Map,TX,Bexar,ERCO,IPP Non-CHP,UNIT4,,1.1,1.1,1.1,Landfill Gas,LFG,IC,4,2014
63199,CII Methane Management III LFG Plant,Map,Map,GA,Clarke,SOCO,IPP Non-CHP,GEN1,,1.6,1.6,1.6,Landfill Gas,LFG,IC,10,2014
11208,"Forever 21 Retail, Inc.",Map,Map,CA,Los Angeles,LDWP,IPP Non-CHP,W4161,,1.3,1.3,1.0,Solar Photovoltaic,SUN,PV,2,2015
11208,Nordhoff Place,Map,Map,CA,Los Angeles,LDWP,IPP Non-CHP,W4162,,0.9,1.0,0.6,Solar Photovoltaic,SUN,PV,9,2014
61944,City of Truth or Consequences PV,Map,Map,NM,Sierra,PNM,IPP Non-CHP,COTC,,1.9,1.9,1.9,Solar Photovoltaic,SUN,PV,2,2015
59428,Sendero,Map,Map,TX,Jim Hogg,ERCO,IPP Non-CHP,1,,78.0,78.0,78.0,Onshore Wind Turbine,WND,WT,12,2015
56769,Campbell County Wind Farm,Map,Map,SD,Campbell,SWPP,IPP Non-CHP,CCWF1,,97.8,97.8,97.8,Onshore Wind Turbine,WND,WT,12,2015
60453,Comanche Solar,Map,Map,CO,Pueblo,PSCO,IPP Non-CHP,COMCH,,120.0,120.0,120.0,Solar Photovoltaic,SUN,PV,9,2016
60453,"Imperial Valley Solar Co (IVSC) 2, LLC",Map,Map,CA,Imperial,IID,IPP Non-CHP,IVSC2,,20.0,20.0,20.0,Solar Photovoltaic,SUN,PV,6,2015
17164,SPI Anderson 2,Map,Map,CA,Shasta,CISO,Industrial CHP,GEN1,,30.2,27.2,27.2,Wood/Wood Waste Biomass,WDS,ST,8,2015
20135,Washington City Electric Generation,Map,Map,UT,Washington,PACE,Electric Utility,3,,2.0,2.0,2.0,Natural Gas Internal Combustion Engine,NG,IC,6,2008
20135,Washington City Electric Generation,Map,Map,UT,Washington,PACE,Electric Utility,4,,2.0,2.0,2.0,Natural Gas Internal Combustion Engine,NG,IC,6,2008
20135,Washington City Electric Generation,Map,Map,UT,Washington,PACE,Electric Utility,9,,2.0,2.0,2.0,Natural Gas Internal Combustion Engine,NG,IC,5,2007
61119,"Cornwall Solar Center, LLC",Map,Map,NC,Granville,CPLE,IPP Non-CHP,CSC1,,5.0,5.0,5.0,Solar Photovoltaic,SUN,PV,10,2016
20392,City of West Plains Power Station,Map,Map,MO,Howell,SWPP,Electric Utility,UNIT1,,25.6,21.0,24.5,Natural Gas Fired Combustion Turbine,NG,GT,5,2000
20392,City of West Plains Power Station,Map,Map,MO,Howell,SWPP,Electric Utility,UNIT2,,21.8,21.0,24.5,Natural Gas Fired Combustion Turbine,NG,GT,5,2000
58468,Innovative Solar 37 LLC,Map,Map,NC,Anson,DUK,IPP Non-CHP,IS037,,100.0,97.5,97.5,Solar Photovoltaic,SUN,PV,5,2017
61944,Innovative Solar 47,Map,Map,NC,Robeson,CPLE,IPP Non-CHP,IS047,,33.8,33.8,33.8,Solar Photovoltaic,SUN,PV,4,2017
61060,Innovative Solar 48,Map,Map,NC,Robeson,DUK,IPP Non-CHP,IS048,,4.9,4.9,4.9,Solar Photovoltaic,SUN,PV,11,2015
61694,Innovative Solar 54,Map,Map,NC,Lenoir,CPLE,IPP Non-CHP,IS054,,50.0,50.0,50.0,Solar Photovoltaic,SUN,PV,12,2018
61119,Innovative Solar 23,Map,Map,NC,Cleveland,DUK,IPP Non-CHP,IS023,,1.9,1.9,1.9,Solar Photovoltaic,SUN,PV,12,2015
61060,Innovative Solar 46,Map,Map,NC,Cumberland,CPLE,IPP Non-CHP,IS046,,78.5,78.5,78.5,Solar Photovoltaic,SUN,PV,12,2016
61060,Innovative Solar 44,Map,Map,NC,Robeson,DUK,IPP Non-CHP,IS044,,4.9,4.9,4.9,Solar Photovoltaic,SUN,PV,11,2015
61060,Innovative Solar 55,Map,Map,NC,Robeson,DUK,IPP Non-CHP,IS044,,6.5,6.5,6.5,Solar Photovoltaic,SUN,PV,12,2017
61060,Innovative Solar 64,Map,Map,NC,Sampson,DUK,IPP Non-CHP,IS064,,4.9,4.9,4.9,Solar Photovoltaic,SUN,PV,1,2016
61694,Innovative Solar 67,Map,Map,NC,Pender,CPLE,IPP Non-CHP,IS067,,33.3,33.3,33.3,Solar Photovoltaic,SUN,PV,12,2018
60025,Main Street Solar Project,Map,Map,VT,Rutland,ISNE,IPP Non-CHP,MS258,,1.5,1.5,1.5,Solar Photovoltaic,SUN,PV,12,2014
63438,Foxconn Ohio,Map,Map,OH,Trumbull,PJM,Industrial Non-CHP,12345,,2.2,1.7,0.6,Solar Photovoltaic,SUN,PV,1,2015
59380,"Lindahl Wind Project, LLC",Map,Map,ND,Williams,SWPP,IPP Non-CHP,LWP01,,150.0,150.0,150.0,Onshore Wind Turbine,WND,WT,3,2017
19876,Remington Solar Facility,Map,Map,VA,Fauquier,PJM,Electric Utility,01,,20.0,8.0,0.0,Solar Photovoltaic,SUN,PV,10,2017
59458,Sarasota County LFGTE Facility,Map,Map,FL,Sarasota,FPL,IPP Non-CHP,LESF1,,1.6,1.6,1.6,Landfill Gas,LFG,IC,2,2015
