Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Checkable deposts and currency,Time deposits and short-term investments,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Pension entitlements,Equity in noncorpoate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaind life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1998:Q2,pct99to100,7547419,1196848,931475,265373,6350571,57477,294607,239946,906373,672055,234318,141481,126610,14872,2785921,64816,536826,1298687,24438,356592,354995,231986,19848,5235,97926,1597,7190826,1022847,,
1998:Q2,pct80to99,17377425,4930278,3896826,1033452,12447147,189164,924491,324668,792230,559557,232673,119765,90174,29592,3570119,324393,4154912,1914665,132738,2378858,2369871,1781683,418668,13833,155687,8987,14998567,19429374,,
1998:Q2,pct60to80,7617254,2751646,2132587,619059,4865609,74278,432324,115223,221363,151412,69951,30964,9513,21451,839963,153830,2503949,414505,79210,1481920,1477628,1036772,391856,5543,43457,4292,6135334,20450185,,
1998:Q2,pct40to60,4499409,1759003,1331271,427732,2740406,53472,337547,49019,107273,87247,20025,31819,19518,12301,367559,80885,1375823,285015,51994,808681,806442,508988,287111,3518,6825,2239,3690728,20452734,,
1998:Q2,pct20to40,2993733,1243655,957500,286154,1750078,41874,362134,56090,113618,78546,35072,9783,1402,8381,263613,48131,632862,188583,33390,413847,412551,243696,160979,1415,6460,1297,2579886,20454850,,
1998:Q2,pct00to20,1337367,628987,493003,135984,708379,20084,162257,20975,53487,35415,18071,13946,12703,1243,74905,14751,217657,112421,17897,178757,178277,85013,89281,992,2991,480,1158610,20442159,,
1998:Q3,pct99to100,7184653,1163921,917691,246230,6020733,52089,293140,272268,992959,750195,242764,157028,143363,13665,2358239,49802,503126,1316576,25505,360406,359232,236699,20562,5705,96266,1174,6824247,1025701,355527,2059244288
1998:Q3,pct80to99,17200055,4973716,3919141,1054575,12226339,186851,930066,345235,772636,557169,215467,128296,99676,28620,3246455,333572,4177408,1971620,134199,2419854,2410873,1816329,425317,15591,153636,8981,14780201,19486178,68211,355291
1998:Q3,pct60to80,7545054,2822571,2198844,623727,4722483,70817,432264,124678,221590,153714,67875,30391,8895,21496,751708,156488,2440517,415213,78817,1517986,1513765,1057351,404593,6140,45681,4222,6027067,20509055,42569,68211
1998:Q3,pct40to60,4568137,1834245,1386888,447357,2733892,55206,336511,50982,119165,100223,18942,40197,27897,12299,353431,83921,1351481,291068,51930,828961,826699,520836,294870,3677,7316,2263,3739176,20512096,26352,42569
