Maturity,Yield
0.08,-0.11000
0.25,-0.00110
0.5,-0.00120
0.75,-0.00120
1,-0.00120
2,-0.00120
3,-0.00110
4,-0.00090
5,-0.00070
6,-0.00060
7,-0.00030
8,0.00010
9,0.00050
10,0.00090
15,0.00300
20,0.00480
30,0.00700
40,0.00760
