"","periodFrom","Spain","Portugal","France","Belgium","Netherlands","UK","Poland","Lithuania","Greece","Croatia","Italy","yw","Total"
"726",2020-12-26,312704363,112549904.714286,349163973.857143,23117814.4285714,48713752.4857143,784371416.857143,72985227.8571429,59429922.2857143,67123661.4285714,0,171860926.857143,"2020 52",2002020963.77143
"727",2020-12-27,312704363,112549904.714286,349163973.857143,23117814.4285714,48713752.4857143,784371416.857143,72985227.8571429,59429922.2857143,67123661.4285714,0,171860926.857143,"2020 52",2002020963.77143
"728",2020-12-28,312704363,112549904.714286,349163973.857143,23117814.4285714,48713752.4857143,784371416.857143,72985227.8571429,59429922.2857143,67123661.4285714,0,171860926.857143,"2020 52",2002020963.77143
"729",2020-12-29,312704363,112549904.714286,349163973.857143,23117814.4285714,48713752.4857143,784371416.857143,72985227.8571429,59429922.2857143,67123661.4285714,0,171860926.857143,"2020 52",2002020963.77143
"730",2020-12-30,343956780.5,126926124,341161996,32636543,59748695.6,781331403.5,91863410.5,51481999,108592980,0,195515292.5,"2020 53",2133215224.6
"731",2020-12-31,343956780.5,126926124,341161996,32636543,59748695.6,781331403.5,91863410.5,51481999,108592980,0,195515292.5,"2020 53",2133215224.6
"732",2021-01-01,530225143.857143,177609673.571429,274179034.571429,41649806.8571429,34300140.5714286,655278936.857143,63068538,50188224.1428571,108099967.571429,0,176908384.714286,"2021 1",2111507850.71429
"733",2021-01-02,530225143.857143,177609673.571429,274179034.571429,41649806.8571429,34300140.5714286,655278936.857143,63068538,50188224.1428571,108099967.571429,0,176908384.714286,"2021 1",2111507850.71429
"734",2021-01-03,530225143.857143,177609673.571429,274179034.571429,41649806.8571429,34300140.5714286,655278936.857143,63068538,50188224.1428571,108099967.571429,0,176908384.714286,"2021 1",2111507850.71429
"735",2021-01-04,530225143.857143,177609673.571429,274179034.571429,41649806.8571429,34300140.5714286,655278936.857143,63068538,50188224.1428571,108099967.571429,0,176908384.714286,"2021 1",2111507850.71429
"736",2021-01-05,530225143.857143,177609673.571429,274179034.571429,41649806.8571429,34300140.5714286,655278936.857143,63068538,50188224.1428571,108099967.571429,0,176908384.714286,"2021 1",2111507850.71429
"737",2021-01-06,530225143.857143,177609673.571429,274179034.571429,41649806.8571429,34300140.5714286,655278936.857143,63068538,50188224.1428571,108099967.571429,0,176908384.714286,"2021 1",2111507850.71429
"738",2021-01-07,530225143.857143,177609673.571429,274179034.571429,41649806.8571429,34300140.5714286,655278936.857143,63068538,50188224.1428571,108099967.571429,0,176908384.714286,"2021 1",2111507850.71429
"739",2021-01-08,581093393.714286,190431745.571429,149737144.714286,23449141.1428571,6764705.6,573864980.285714,74423194,27695775.1428571,80256433.1428571,0,183725130.285714,"2021 2",1891441643.6
"740",2021-01-09,581093393.714286,190431745.571429,149737144.714286,23449141.1428571,6764705.6,573864980.285714,74423194,27695775.1428571,80256433.1428571,0,183725130.285714,"2021 2",1891441643.6
"741",2021-01-10,581093393.714286,190431745.571429,149737144.714286,23449141.1428571,6764705.6,573864980.285714,74423194,27695775.1428571,80256433.1428571,0,183725130.285714,"2021 2",1891441643.6
"742",2021-01-11,581093393.714286,190431745.571429,149737144.714286,23449141.1428571,6764705.6,573864980.285714,74423194,27695775.1428571,80256433.1428571,0,183725130.285714,"2021 2",1891441643.6
"743",2021-01-12,581093393.714286,190431745.571429,149737144.714286,23449141.1428571,6764705.6,573864980.285714,74423194,27695775.1428571,80256433.1428571,0,183725130.285714,"2021 2",1891441643.6
"744",2021-01-13,581093393.714286,190431745.571429,149737144.714286,23449141.1428571,6764705.6,573864980.285714,74423194,27695775.1428571,80256433.1428571,0,183725130.285714,"2021 2",1891441643.6
"745",2021-01-14,581093393.714286,190431745.571429,149737144.714286,23449141.1428571,6764705.6,573864980.285714,74423194,27695775.1428571,80256433.1428571,0,183725130.285714,"2021 2",1891441643.6
"746",2021-01-15,467535452.428571,184671829,110018137.285714,28797812.5714286,13179344.2571429,512772427.571429,64395798.7142857,28964182.2857143,114985347.142857,0,216057489.714286,"2021 3",1741377820.97143
"747",2021-01-16,467535452.428571,184671829,110018137.285714,28797812.5714286,13179344.2571429,512772427.571429,64395798.7142857,28964182.2857143,114985347.142857,0,216057489.714286,"2021 3",1741377820.97143
"748",2021-01-17,467535452.428571,184671829,110018137.285714,28797812.5714286,13179344.2571429,512772427.571429,64395798.7142857,28964182.2857143,114985347.142857,0,216057489.714286,"2021 3",1741377820.97143
"749",2021-01-18,467535452.428571,184671829,110018137.285714,28797812.5714286,13179344.2571429,512772427.571429,64395798.7142857,28964182.2857143,114985347.142857,0,216057489.714286,"2021 3",1741377820.97143
"750",2021-01-19,467535452.428571,184671829,110018137.285714,28797812.5714286,13179344.2571429,512772427.571429,64395798.7142857,28964182.2857143,114985347.142857,0,216057489.714286,"2021 3",1741377820.97143
"751",2021-01-20,467535452.428571,184671829,110018137.285714,28797812.5714286,13179344.2571429,512772427.571429,64395798.7142857,28964182.2857143,114985347.142857,0,216057489.714286,"2021 3",1741377820.97143
"752",2021-01-21,467535452.428571,184671829,110018137.285714,28797812.5714286,13179344.2571429,512772427.571429,64395798.7142857,28964182.2857143,114985347.142857,0,216057489.714286,"2021 3",1741377820.97143
"753",2021-01-22,306288110.428571,180310318.285714,161077082.857143,11590290.8571429,15090168.4142857,680203161.142857,41821036.2857143,22651543,43936063.4285714,0,186572633.571429,"2021 4",1649540408.27143
"754",2021-01-23,306288110.428571,180310318.285714,161077082.857143,11590290.8571429,15090168.4142857,680203161.142857,41821036.2857143,22651543,43936063.4285714,0,186572633.571429,"2021 4",1649540408.27143
"755",2021-01-24,306288110.428571,180310318.285714,161077082.857143,11590290.8571429,15090168.4142857,680203161.142857,41821036.2857143,22651543,43936063.4285714,0,186572633.571429,"2021 4",1649540408.27143
"756",2021-01-25,306288110.428571,180310318.285714,161077082.857143,11590290.8571429,15090168.4142857,680203161.142857,41821036.2857143,22651543,43936063.4285714,0,186572633.571429,"2021 4",1649540408.27143
