snapped_at,price,market_cap,total_volume
2020-05-25 00:00:00 UTC,0.994110104,8973070176,34920026491
2020-05-26 00:00:00 UTC,1.000571839,9005148940,34013862996
2020-05-27 00:00:00 UTC,1.000043239,9000991564,29617065031
2020-05-28 00:00:00 UTC,1.000180495,9015071778,31322648591
2020-05-29 00:00:00 UTC,1.000313341,9034880313,34797264724
2020-05-30 00:00:00 UTC,0.999309495,9046743741,33620246092
2020-05-31 00:00:00 UTC,1.001617083,9107846025,37235543390
2020-06-01 00:00:00 UTC,0.999324967,9087003496,32627799632
2020-06-02 00:00:00 UTC,1.009693847,9131206431,34048708842
2020-06-03 00:00:00 UTC,0.998623988,9212094571,42872995283
2020-06-04 00:00:00 UTC,0.999446284,9223480386,29442673058
2020-06-05 00:00:00 UTC,0.999919605,9264926474,30187602640
2020-06-06 00:00:00 UTC,0.998482464,9267985509,28734958999
2020-06-07 00:00:00 UTC,0.999133513,9281349701,22910480211
2020-06-08 00:00:00 UTC,0.999774007,9304968055,28210803967
2020-06-09 00:00:00 UTC,1.00038364,9330982637,24172777707
2020-06-10 00:00:00 UTC,0.999369609,9350784918,26552439421
2020-06-11 00:00:00 UTC,1.000541663,9408692693,27388578284
2020-06-12 00:00:00 UTC,0.999709829,9436245877,38003904519
2020-06-13 00:00:00 UTC,1.000282952,9486299303,28744857527
2020-06-14 00:00:00 UTC,0.999821496,9481923030,23355108349
2020-06-15 00:00:00 UTC,0.998945374,9493593133,22865446154
2020-06-16 00:00:00 UTC,1.001591081,9518736918,35039555237
2020-06-17 00:00:00 UTC,0.999507005,9544643009,26639060170
2020-06-18 00:00:00 UTC,1.000052013,9549847480,20909232571
2020-06-19 00:00:00 UTC,0.999443949,9574951885,18625870198
2020-06-20 00:00:00 UTC,0.999887208,9614392470,22376136141
2020-06-21 00:00:00 UTC,0.999588954,9627169919,17480394344
2020-06-22 00:00:00 UTC,1.000403984,9622223222,17419231016
2020-06-23 00:00:00 UTC,0.99993471,9630499943,22699390532
2020-06-24 00:00:00 UTC,0.999710565,9601992527,20664373417
2020-06-25 00:00:00 UTC,1.000983522,9615414191,23155567662
2020-06-26 00:00:00 UTC,1.000437308,9592877640,20789038541
2020-06-27 00:00:00 UTC,0.999167465,9629325844,20393765143
2020-06-28 00:00:00 UTC,0.999710716,9638700261,19436079384
2020-06-29 00:00:00 UTC,1.000774335,9634384875,17870128211
2020-06-30 00:00:00 UTC,1.000180499,9628668055,18799274675
2020-07-01 00:00:00 UTC,1.000977444,9637841653,17274516831
2020-07-02 00:00:00 UTC,1.000343372,9639104881,18550074179
2020-07-03 00:00:00 UTC,0.999796193,9647929508,17977098574
2020-07-04 00:00:00 UTC,0.999322431,9643357747,16321674173
2020-07-05 00:00:00 UTC,1.000142478,9704261208,16029612920
2020-07-06 00:00:00 UTC,1.000611405,9708811153,16567482578
2020-07-07 00:00:00 UTC,1.001033645,9712908096,25444931939
2020-07-08 00:00:00 UTC,1.000825749,9734760496,19384001353
2020-07-09 00:00:00 UTC,0.998890774,9736967713,22921524145
2020-07-10 00:00:00 UTC,0.999830639,9783869273,20256549938
