snapped_at,price,market_cap,total_volume
2021-06-02 00:00:00 UTC,1.6840363293008043,0.0,13171955.14572363
2021-06-03 00:00:00 UTC,1.6840363293008043,0.0,13171955.14572363
2021-06-04 00:00:00 UTC,2.5496354058734023,0.0,17516105.77835656
2021-06-05 00:00:00 UTC,3.174836504954872,0.0,21179149.276853293
2021-06-06 00:00:00 UTC,3.363901754109689,0.0,22441503.391298376
2021-06-07 00:00:00 UTC,4.826857012891557,0.0,19778103.707995553
2021-06-08 00:00:00 UTC,6.264941038231085,0.0,36522722.56949249
2021-06-09 00:00:00 UTC,11.498071866308038,0.0,62232406.985994816
2021-06-10 00:00:00 UTC,7.817551856091187,0.0,121892921.90045935
2021-06-11 00:00:00 UTC,11.085567362057889,0.0,58989422.47442193
2021-06-12 00:00:00 UTC,13.680263044785251,0.0,76087933.53789955
2021-06-13 00:00:00 UTC,26.62859742132436,0.0,94349205.88938068
2021-06-14 00:00:00 UTC,31.47549794018856,0.0,112607863.55142361
2021-06-15 00:00:00 UTC,34.01704873139903,0.0,27550506.8330702
2021-06-16 00:00:00 UTC,38.703332532705154,0.0,7910489.289622037
2021-06-17 00:00:00 UTC,9.5413059972272,0.0,19994210.17464542
2021-06-18 00:00:00 UTC,6.062157731607847e-08,0.0,6268248.198983207
2021-06-19 00:00:00 UTC,8.023168810423096e-08,0.0,4092707.950553017
2021-06-20 00:00:00 UTC,1.3885335022458587e-07,0.0,2770860.7429757277
2021-06-21 00:00:00 UTC,1.526689401812675e-07,0.0,2970785.5058237626
2021-06-22 00:00:00 UTC,1.0217509430226434e-07,0.0,1615008.4670142422
2021-06-23 00:00:00 UTC,1.1112833032521403e-07,0.0,6.727944112591471
2021-06-24 00:00:00 UTC,3.184251378988652e-08,0.0,424562.9090283116
2021-06-25 00:00:00 UTC,4.572243834445082e-08,0.0,834626.0105501419
2021-06-26 00:00:00 UTC,4.106383466799424e-08,0.0,460966.5345156184
2021-06-27 00:00:00 UTC,4.568920099085042e-08,0.0,150948.7521414389
2021-06-28 00:00:00 UTC,5.497377999400099e-08,0.0,566506.744513468
2021-06-29 00:00:00 UTC,2.042201016725238e-07,0.0,3939260.0274710394
2021-06-30 00:00:00 UTC,5.892001747859945e-07,0.0,11672802.438244363
2021-07-01 00:00:00 UTC,1.9789604893771725e-06,0.0,26494075.910458423
2021-07-02 00:00:00 UTC,1.6508312750537542e-06,0.0,30577933.318589948
2021-07-03 00:00:00 UTC,1.8172207636783035e-06,0.0,12419534.431115793
2021-07-04 00:00:00 UTC,1.3528910673783763e-06,0.0,7820022.351994404
2021-07-05 00:00:00 UTC,1.2200578094691096e-06,0.0,9198597.899834672
2021-07-06 00:00:00 UTC,2.5920108132415163e-06,0.0,20794305.78281402
2021-07-07 00:00:00 UTC,2.1469564658156727e-06,0.0,13283953.871144734
2021-07-08 00:00:00 UTC,1.8070793111726512e-06,0.0,6102158.863140184
2021-07-09 00:00:00 UTC,1.7226211400460272e-06,0.0,4194661.066672534
2021-07-10 00:00:00 UTC,1.6276778913580451e-06,0.0,4713213.7477484
2021-07-11 00:00:00 UTC,1.5270540068427592e-06,0.0,2366516.681570094
2021-07-12 00:00:00 UTC,1.814395120915891e-06,0.0,5385069.820959455
2021-07-13 00:00:00 UTC,1.4487782746811292e-06,0.0,5964258.61310812
2021-07-14 00:00:00 UTC,1.4028704021932257e-06,0.0,3416652.0986555754
2021-07-15 00:00:00 UTC,1.1890391742805295e-06,0.0,4509272.5094012
2021-07-16 00:00:00 UTC,1.1673724413450708e-06,0.0,3515227.091675502
2021-07-17 00:00:00 UTC,1.0333682089784184e-06,0.0,2491040.7906556716
2021-07-18 00:00:00 UTC,7.856176980676567e-07,0.0,3565620.685733029
2021-07-19 00:00:00 UTC,8.931038836483101e-07,0.0,1659464.5175229316
2021-07-20 00:00:00 UTC,7.886735720043758e-07,0.0,1752343.2739083844
2021-07-21 00:00:00 UTC,7.128107712979024e-07,0.0,1574356.8633537313
2021-07-22 00:00:00 UTC,8.093424537763293e-07,0.0,973085.080912732
2021-07-23 00:00:00 UTC,1.127740753192875e-06,0.0,2511431.4968821597
2021-07-24 00:00:00 UTC,9.636417557325153e-07,0.0,1663178.4093594544
2021-07-25 00:00:00 UTC,8.198434079435378e-07,0.0,1306862.6959783672
2021-07-26 00:00:00 UTC,7.677358312341113e-07,0.0,876144.9365706743
2021-07-27 00:00:00 UTC,7.701960520862698e-07,0.0,598341.2110093707
2021-07-28 00:00:00 UTC,7.088525776893711e-07,0.0,333640.33775843395
2021-07-29 00:00:00 UTC,6.961644787440935e-07,0.0,205380.52810119628
