Date,Price
17-Jun-21,0.822
16-Jun-21,0.778
15-Jun-21,0.792
14-Jun-21,0.778
11-Jun-21,0.748
10-Jun-21,0.804
9-Jun-21,0.83
8-Jun-21,0.865
7-Jun-21,0.921
5-Jun-21,0.877
4-Jun-21,0.879
3-Jun-21,0.9
2-Jun-21,0.878
1-Jun-21,0.905
31-May-21,0.916
28-May-21,0.915
27-May-21,0.936
26-May-21,0.922
25-May-21,0.965
24-May-21,1.02
21-May-21,1.034
20-May-21,1.055
19-May-21,1.117
18-May-21,1.107
17-May-21,1.11
14-May-21,1.073
13-May-21,1.018
12-May-21,0.984
11-May-21,0.947
10-May-21,0.89
7-May-21,0.918
6-May-21,0.872
5-May-21,0.854
4-May-21,0.821
3-May-21,0.834
30-Apr-21,0.86
29-Apr-21,0.876
28-Apr-21,0.831
27-Apr-21,0.822
26-Apr-21,0.8
23-Apr-21,0.784
22-Apr-21,0.756
21-Apr-21,0.756
20-Apr-21,0.782
19-Apr-21,0.793
16-Apr-21,0.748
15-Apr-21,0.731
14-Apr-21,0.782
13-Apr-21,0.746
12-Apr-21,0.739
9-Apr-21,0.737
8-Apr-21,0.666
7-Apr-21,0.701
6-Apr-21,0.699
5-Apr-21,0.629
2-Apr-21,0.628
1-Apr-21,0.632
31-Mar-21,0.669
30-Mar-21,0.684
29-Mar-21,0.641
26-Mar-21,0.614
25-Mar-21,0.578
24-Mar-21,0.593
23-Mar-21,0.604
22-Mar-21,0.648
19-Mar-21,0.672
18-Mar-21,0.692
17-Mar-21,0.701
16-Mar-21,0.627
15-Mar-21,0.602
12-Mar-21,0.632
11-Mar-21,0.607
10-Mar-21,0.682
9-Mar-21,0.699
8-Mar-21,0.762
5-Mar-21,0.772
4-Mar-21,0.756
3-Mar-21,0.759
2-Mar-21,0.686
1-Mar-21,0.664
26-Feb-21,0.771
25-Feb-21,0.804
24-Feb-21,0.697
23-Feb-21,0.646
22-Feb-21,0.599
19-Feb-21,0.625
18-Feb-21,0.655
17-Feb-21,0.585
16-Feb-21,0.569
15-Feb-21,0.529
12-Feb-21,0.486
11-Feb-21,0.454
10-Feb-21,0.505
9-Feb-21,0.517
8-Feb-21,0.511
5-Feb-21,0.543
4-Feb-21,0.548
3-Feb-21,0.586
2-Feb-21,0.656
1-Feb-21,0.624
29-Jan-21,0.643
28-Jan-21,0.639
27-Jan-21,0.621
26-Jan-21,0.617
25-Jan-21,0.647
22-Jan-21,0.714
21-Jan-21,0.654
20-Jan-21,0.585
19-Jan-21,0.56
18-Jan-21,0.604
15-Jan-21,0.583
14-Jan-21,0.609
13-Jan-21,0.557
12-Jan-21,0.64
11-Jan-21,0.54
8-Jan-21,0.498
7-Jan-21,0.531
6-Jan-21,0.541
5-Jan-21,0.532
4-Jan-21,0.52
1-Jan-21,0.503
31-Dec-20,0.521
30-Dec-20,0.525
29-Dec-20,0.522
28-Dec-20,0.509
25-Dec-20,0.557
24-Dec-20,0.564
23-Dec-20,0.562
22-Dec-20,0.522
21-Dec-20,0.543
18-Dec-20,0.536
17-Dec-20,0.506
16-Dec-20,0.504
15-Dec-20,0.483
14-Dec-20,0.511
11-Dec-20,0.522
10-Dec-20,0.527
9-Dec-20,0.542
8-Dec-20,0.551
7-Dec-20,0.577
4-Dec-20,0.593
3-Dec-20,0.567
2-Dec-20,0.604
1-Dec-20,0.642
30-Nov-20,0.585
27-Nov-20,0.56
26-Nov-20,0.566
25-Nov-20,0.577
24-Nov-20,0.573
23-Nov-20,0.596
21-Nov-20,0.598
20-Nov-20,0.599
19-Nov-20,0.61
18-Nov-20,0.615
17-Nov-20,0.603
16-Nov-20,0.616
13-Nov-20,0.636
12-Nov-20,0.65
11-Nov-20,0.7
10-Nov-20,0.724
9-Nov-20,0.72
6-Nov-20,0.618
5-Nov-20,0.633
4-Nov-20,0.661
3-Nov-20,0.699
2-Nov-20,0.716
30-Oct-20,0.718
29-Oct-20,0.701
28-Oct-20,0.768
27-Oct-20,0.704
26-Oct-20,0.731
23-Oct-20,0.764
22-Oct-20,0.803
21-Oct-20,0.745
20-Oct-20,0.74
19-Oct-20,0.718
16-Oct-20,0.655
15-Oct-20,0.695
14-Oct-20,0.658
13-Oct-20,0.664
12-Oct-20,0.674
9-Oct-20,0.714
8-Oct-20,0.758
7-Oct-20,0.786
6-Oct-20,0.784
5-Oct-20,0.8
2-Oct-20,0.789
1-Oct-20,0.833
