Date,Price
7-Jun-21,0.829
4-Jun-21,0.822
3-Jun-21,0.805
2-Jun-21,0.819
1-Jun-21,0.833
31-May-21,0.834
28-May-21,0.845
27-May-21,0.879
26-May-21,0.863
25-May-21,0.905
24-May-21,0.977
21-May-21,0.971
20-May-21,1.036
19-May-21,1.081
18-May-21,1.077
17-May-21,1.105
14-May-21,1.065
13-May-21,1.066
12-May-21,1.023
11-May-21,1.012
10-May-21,0.996
7-May-21,1.01
6-May-21,0.971
5-May-21,0.975
4-May-21,1.005
3-May-21,0.986
30-Apr-21,0.989
29-Apr-21,0.981
28-Apr-21,0.951
27-Apr-21,0.917
26-Apr-21,0.902
23-Apr-21,0.89
22-Apr-21,0.896
21-Apr-21,0.9
20-Apr-21,0.924
19-Apr-21,0.909
16-Apr-21,0.903
15-Apr-21,0.902
14-Apr-21,0.911
13-Apr-21,0.92
12-Apr-21,0.878
9-Apr-21,0.873
8-Apr-21,0.827
7-Apr-21,0.856
6-Apr-21,0.853
5-Apr-21,0.825
2-Apr-21,0.828
1-Apr-21,0.818
31-Mar-21,0.869
30-Mar-21,0.903
29-Mar-21,0.867
26-Mar-21,0.875
25-Mar-21,0.857
24-Mar-21,0.86
23-Mar-21,0.873
22-Mar-21,0.916
19-Mar-21,0.931
18-Mar-21,0.96
17-Mar-21,0.957
16-Mar-21,0.871
15-Mar-21,0.826
12-Mar-21,0.827
11-Mar-21,0.785
10-Mar-21,0.843
9-Mar-21,0.902
8-Mar-21,0.95
5-Mar-21,0.966
4-Mar-21,0.967
3-Mar-21,0.985
2-Mar-21,1.002
1-Mar-21,1.029
26-Feb-21,1.113
25-Feb-21,1.12
24-Feb-21,1.011
23-Feb-21,0.931
22-Feb-21,0.892
19-Feb-21,0.892
18-Feb-21,0.877
17-Feb-21,0.816
16-Feb-21,0.772
15-Feb-21,0.773
12-Feb-21,0.752
11-Feb-21,0.758
10-Feb-21,0.785
9-Feb-21,0.775
8-Feb-21,0.674
7-Feb-21,0.659
6-Feb-21,0.659
5-Feb-21,0.675
4-Feb-21,0.651
3-Feb-21,0.645
2-Feb-21,0.678
1-Feb-21,0.679
31-Jan-21,0.674
30-Jan-21,0.674
29-Jan-21,0.685
28-Jan-21,0.693
27-Jan-21,0.675
26-Jan-21,0.684
25-Jan-21,0.687
22-Jan-21,0.697
21-Jan-21,0.655
20-Jan-21,0.659
19-Jan-21,0.686
18-Jan-21,0.7
15-Jan-21,0.667
14-Jan-21,0.688
13-Jan-21,0.705
12-Jan-21,0.687
11-Jan-21,0.652
9-Jan-21,0.583
8-Jan-21,0.595
7-Jan-21,0.621
6-Jan-21,0.629
5-Jan-21,0.624
4-Jan-21,0.632
31-Dec-20,0.628
30-Dec-20,0.628
29-Dec-20,0.637
28-Dec-20,0.64
25-Dec-20,0.645
24-Dec-20,0.656
23-Dec-20,0.66
22-Dec-20,0.668
21-Dec-20,0.664
18-Dec-20,0.652
17-Dec-20,0.588
16-Dec-20,0.586
15-Dec-20,0.565
14-Dec-20,0.607
12-Dec-20,0.591
11-Dec-20,0.603
10-Dec-20,0.622
9-Dec-20,0.616
8-Dec-20,0.647
7-Dec-20,0.64
4-Dec-20,0.641
3-Dec-20,0.637
2-Dec-20,0.697
1-Dec-20,0.658
30-Nov-20,0.643
29-Nov-20,0.647
28-Nov-20,0.647
27-Nov-20,0.66
26-Nov-20,0.687
25-Nov-20,0.693
24-Nov-20,0.678
23-Nov-20,0.679
21-Nov-20,0.689
20-Nov-20,0.704
19-Nov-20,0.706
18-Nov-20,0.673
17-Nov-20,0.685
16-Nov-20,0.731
15-Nov-20,0.746
13-Nov-20,0.768
12-Nov-20,0.821
11-Nov-20,0.831
10-Nov-20,0.861
9-Nov-20,0.873
7-Nov-20,0.812
6-Nov-20,0.826
5-Nov-20,0.868
4-Nov-20,0.872
3-Nov-20,0.909
2-Nov-20,0.938
31-Oct-20,0.933
30-Oct-20,0.944
29-Oct-20,0.973
28-Oct-20,1.045
27-Oct-20,0.938
26-Oct-20,0.926
23-Oct-20,0.924
22-Oct-20,0.937
21-Oct-20,0.915
20-Oct-20,0.852
19-Oct-20,0.824
18-Oct-20,0.78
17-Oct-20,0.78
16-Oct-20,0.787
15-Oct-20,0.838
14-Oct-20,0.771
13-Oct-20,0.786
12-Oct-20,0.814
11-Oct-20,0.864
9-Oct-20,0.873
8-Oct-20,0.893
7-Oct-20,0.945
6-Oct-20,0.975
5-Oct-20,0.976
3-Oct-20,0.983
2-Oct-20,0.987
1-Oct-20,1.018
30-Sep-20,1.022
29-Sep-20,1.021
28-Sep-20,1.037
26-Sep-20,1.018
25-Sep-20,1.024
24-Sep-20,1.023
23-Sep-20,1.014
22-Sep-20,1.055
21-Sep-20,1.081
19-Sep-20,1.071
18-Sep-20,1.074
17-Sep-20,1.071
16-Sep-20,1.066
15-Sep-20,1.093
14-Sep-20,1.091
13-Sep-20,1.11
