Date,reserves
2016-08-10,323645
2016-08-03,320728
2016-07-27,319040
2016-07-20,319931
2016-07-13,317053
2016-07-06,319679
2016-06-29,316666
2016-06-22,315851
2016-06-15,315182
2016-06-08,315276
2016-06-01,317689
2016-05-25,317800
2016-05-18,317528
2016-05-11,317932
2016-05-04,318068
2016-04-27,317165
2016-04-20,319093
2016-04-13,319051
2016-04-06,318419
2016-03-30,313863
2016-03-23,314226
2016-03-16,315435
2016-03-09,312137
2016-03-02,314843
2016-02-24,314415
2016-02-17,316165
2016-02-10,317318
2016-02-03,315378
2016-01-27,311501
2016-01-20,315863
2016-01-13,314629
2016-01-06,311981
2015-12-30,310112
2015-12-23,309769
2015-12-16,300926
2015-12-09,296547
2015-12-02,311934
2015-11-25,314545
2015-11-18,315467
2015-11-11,315331
2015-11-04,315984
2015-10-28,316052
2015-10-21,316345
2015-10-14,313758
2015-10-07,314821
2015-09-30,311762
2015-09-23,308068
2015-09-16,304930
2015-09-09,301128
2015-09-02,317245
2015-08-26,317865
2015-08-19,318345
2015-08-12,316861
2015-08-05,316892
2015-07-29,317794
2015-07-22,317300
2015-07-15,316813
2015-07-08,314924
2015-07-01,314944
2015-06-24,315669
2015-06-17,315355
2015-06-10,314440
2015-06-03,316634
2015-05-27,317155
2015-05-20,318172
2015-05-13,313855
2015-05-06,312342
2015-04-29,312707
2015-04-22,309803
2015-04-15,309000
2015-04-08,304285
2015-04-01,304265
2015-03-25,305656
2015-03-18,304713
2015-03-11,303217
2015-03-04,306862
2015-02-25,307017
2015-02-18,307311
2015-02-11,306302
2015-02-04,306174
2015-01-28,304983
2015-01-21,304769
2015-01-14,303304
2015-01-07,301237
2014-12-31,298544
2014-12-24,299414
2014-12-17,300352
2014-12-10,300956
2014-12-03,303668
2014-11-26,303509
2014-11-19,304297
2014-11-12,304993
2014-11-05,304766
2014-10-29,302106
2014-10-22,304393
2014-10-15,300727
2014-10-08,299079
2014-10-01,293613
2014-09-24,289788
2014-09-17,289724
2014-09-10,288265
2014-09-03,301950
2014-08-27,302778
2014-08-20,303539
2014-08-13,303843
2014-08-06,304120
2014-07-30,303183
2014-07-23,303509
2014-07-16,303931
2014-07-09,303718
2014-07-02,303764
2014-06-25,303599
2014-06-18,303435
2014-06-11,303405
2014-06-04,305980
2014-05-28,305548
2014-05-21,304879
2014-05-14,304876
2014-05-07,304262
2014-04-30,303808
2014-04-23,303399
2014-04-16,299695
2014-04-09,300649
2014-04-02,299696
2014-03-26,300100
2014-03-19,299620
2014-03-12,295540
2014-03-05,306104
2014-02-26,305743
2014-02-19,305951
2014-02-12,303994
2014-02-05,302188
2014-01-29,302310
2014-01-22,300583
2014-01-15,300820
2014-01-08,299413
2014-01-01,297036
2013-12-25,297183
2013-12-18,297716
2013-12-11,298923
2013-12-04,301488
2013-11-27,300503
2013-11-20,302828
2013-11-13,303169
2013-11-06,302399
2013-10-30,302460
2013-10-23,298058
2013-10-16,299272
2013-10-09,299406
2013-10-02,298608
2013-09-25,294255
2013-09-18,294143
2013-09-11,294157
2013-09-04,297861
2013-08-28,296693
2013-08-21,298658
2013-08-14,295269
2013-08-07,295309
2013-07-31,294511
2013-07-24,293962
2013-07-17,294217
2013-07-10,294490
2013-07-03,290697
2013-06-26,290518
2013-06-19,290587
2013-06-12,289955
2013-06-05,287898
2013-05-29,288739
2013-05-22,289286
2013-05-15,289598
2013-05-08,289882
2013-05-01,286412
2013-04-24,286409
2013-04-17,286447
2013-04-10,286481
2013-04-03,281182
2013-03-27,278830
2013-03-20,278781
2013-03-13,276655
2013-03-06,280508
2013-02-27,279399
2013-02-20,279727
2013-02-13,278027
2013-02-06,272056
2013-01-30,272248
2013-01-23,273214
2013-01-16,278180
2013-01-09,276817
2013-01-02,271426
2012-12-26,271149
2012-12-19,274966
2012-12-12,277013
2012-12-05,279609
2012-11-28,280236
2012-11-21,281745
2012-11-14,281161
2012-11-07,281894
2012-10-31,280715
2012-10-24,277247
2012-10-17,275186
2012-10-10,272143
2012-10-03,269072
2012-09-26,266460
2012-09-19,262639
2012-09-12,259831
2012-09-05,260246
2012-08-29,256543
2012-08-22,255586
2012-08-15,251906
2012-08-08,248181
2012-08-01,246060
2012-07-25,242432
2012-07-18,237557
2012-07-11,231803
2012-07-04,229604
2012-06-27,230282
2012-06-20,226179
2012-06-13,227237
2012-06-06,229131
2012-05-30,229369
