"","year","period","periodName","latest","value","footnotes","seriesID","date"
"1",2022,"M12","December","true",152301,"","LNS16000000",2022-12-01
"2",2022,"M11","November",NA,151475,"","LNS16000000",2022-11-01
"3",2022,"M10","October",NA,151362,"","LNS16000000",2022-10-01
"4",2022,"M09","September",NA,151905,"","LNS16000000",2022-09-01
"5",2022,"M08","August",NA,151871,"","LNS16000000",2022-08-01
"6",2022,"M07","July",NA,151348,"","LNS16000000",2022-07-01
"7",2022,"M06","June",NA,150828,"","LNS16000000",2022-06-01
"8",2022,"M05","May",NA,150626,"","LNS16000000",2022-05-01
"9",2022,"M04","April",NA,150522,"","LNS16000000",2022-04-01
"10",2022,"M03","March",NA,150514,"","LNS16000000",2022-03-01
"11",2022,"M02","February",NA,149896,"","LNS16000000",2022-02-01
"12",2022,"M01","January",NA,148567,"","LNS16000000",2022-01-01
"13",2021,"M12","December",NA,148058,"","LNS16000000",2021-12-01
"14",2021,"M11","November",NA,147742,"","LNS16000000",2021-11-01
"15",2021,"M10","October",NA,146311,"","LNS16000000",2021-10-01
"16",2021,"M09","September",NA,145644,"","LNS16000000",2021-09-01
"17",2021,"M08","August",NA,145033,"","LNS16000000",2021-08-01
"18",2021,"M07","July",NA,144928,"","LNS16000000",2021-07-01
"19",2021,"M06","June",NA,144518,"","LNS16000000",2021-06-01
"20",2021,"M05","May",NA,143780,"","LNS16000000",2021-05-01
"21",2021,"M04","April",NA,143152,"","LNS16000000",2021-04-01
"22",2021,"M03","March",NA,142792,"","LNS16000000",2021-03-01
"23",2021,"M02","February",NA,141852,"","LNS16000000",2021-02-01
"24",2021,"M01","January",NA,141817,"","LNS16000000",2021-01-01
"25",2020,"M12","December",NA,141281,"","LNS16000000",2020-12-01
"26",2020,"M11","November",NA,141802,"","LNS16000000",2020-11-01
"27",2020,"M10","October",NA,142154,"","LNS16000000",2020-10-01
"28",2020,"M09","September",NA,139649,"","LNS16000000",2020-09-01
"29",2020,"M08","August",NA,139813,"","LNS16000000",2020-08-01
"30",2020,"M07","July",NA,136651,"","LNS16000000",2020-07-01
"31",2020,"M06","June",NA,134481,"","LNS16000000",2020-06-01
"32",2020,"M05","May",NA,126836,"","LNS16000000",2020-05-01
"33",2020,"M04","April",NA,121344,"","LNS16000000",2020-04-01
"34",2020,"M03","March",NA,147195,"","LNS16000000",2020-03-01
"35",2020,"M02","February",NA,152092,"","LNS16000000",2020-02-01
"36",2020,"M01","January",NA,152236,"","LNS16000000",2020-01-01
"37",2019,"M12","December",NA,151893,"","LNS16000000",2019-12-01
"38",2019,"M11","November",NA,152042,"","LNS16000000",2019-11-01
"39",2019,"M10","October",NA,152183,"","LNS16000000",2019-10-01
"40",2019,"M09","September",NA,152107,"","LNS16000000",2019-09-01
"41",2019,"M08","August",NA,151830,"","LNS16000000",2019-08-01
"42",2019,"M07","July",NA,150963,"","LNS16000000",2019-07-01
"43",2019,"M06","June",NA,150947,"","LNS16000000",2019-06-01
"44",2019,"M05","May",NA,150342,"","LNS16000000",2019-05-01
"45",2019,"M04","April",NA,150327,"","LNS16000000",2019-04-01
"46",2019,"M03","March",NA,150081,"","LNS16000000",2019-03-01
"47",2019,"M02","February",NA,149874,"","LNS16000000",2019-02-01
"48",2019,"M01","January",NA,149400,"","LNS16000000",2019-01-01
