Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
10/1/2020,1813961,-69.90%,1150563,-50.20%,86100,-73%,62100,-79%,22309,-29.40%,870606,-7.10%
9/30/2020,1744524,-70.70%,1077000,-55%,89200,-73%,61500,-79%,21424,-31.00%,822683,-11.10%
9/29/2020,1664896,-67.90%,1023100,-50%,88400,-73%,59700,-79%,20517,-26.40%,790861,-9.50%
9/28/2020,1492611,-68.70%,955300,-50%,89700,-73%,63800,-78%,17678,-25.90%,753159,-13.30%
9/27/2020,846184,-66.70%,586900,-46%,40000,-60%,45200,-57%,9491,-49.30%,731091,-20.40%
9/26/2020,1120175,-65.10%,756300,-46%,47200,-60%,66800,-56%,12128,-28.80%,824515,-15.10%
9/25/2020,1765299,-70.00%,1077600,-53%,92500,-72%,67900,-76%,21233,-25.90%,912599,-10.70%
9/24/2020,1726180,-71.50%,1070500,-55%,89100,-73%,62400,-78%,21554,-29.60%,857578,-11.90%
9/23/2020,1739043,-71.30%,1093600,-55%,89000,-73%,62300,-78%,22501,-29.20%,834469,-12.00%
9/22/2020,1702325,-71.70%,1061900,-55%,87400,-73%,61000,-79%,21103,-29.80%,808351,-12.40%
9/21/2020,1627636,-71.70%,1021200,-56%,89700,-73%,61800,-79%,19488,-30.50%,788505,-14.60%
9/20/2020,828365,-68.30%,585500,-48%,39000,-61%,41800,-60%,9269,-50.50%,705596,-24.50%
9/19/2020,1137948,-65.80%,761600,-47%,46800,-60%,64600,-58%,12246,-30.70%,802614,-17.50%
9/18/2020,1728810,-71.10%,1074200,-54%,90700,-72%,65700,-77%,20702,-28.30%,894931,-11.80%
9/17/2020,1695985,-71.90%,1060400,-56%,86900,-73%,61500,-79%,21005,-32.20%,848024,-13.50%
9/16/2020,1690405,-71.80%,1075300,-56%,87000,-73%,60700,-79%,22070,-31.30%,816708,-13.60%
9/15/2020,1681774,-71.80%,1087600,-55%,87000,-73%,60800,-79%,20763,-32.40%,815700,-12.40%
9/14/2020,1607896,-71.70%,1044500,-56%,89500,-73%,60900,-79%,19888,-29.60%,799573,-13.90%
9/13/2020,796744,-68.90%,577400,-48%,36700,-63%,38100,-64%,9315,-49.60%,703809,-23.50%
9/12/2020,1083727,-65.40%,759700,-45%,44500,-62%,60500,-60%,12349,-26.90%,800190,-14.80%
9/11/2020,1693776,-71.20%,1072600,-54%,88600,-73%,65100,-77%,20809,-29.40%,895766,-11.90%
9/10/2020,1547065,-74.00%,989000,-59%,82100,-75%,57100,-80%,20181,-35.10%,801431,-17.50%
9/9/2020,1613662,-72.90%,1081700,-56%,86100,-74%,61500,-79%,21801,-30.90%,825412,-11.90%
9/8/2020,1559312,-73.60%,1032900,-57%,90600,-72%,63300,-78%,19806,-36.20%,833996,-10.10%
9/7/2020,872174,-60.90%,650300,-31%,80000,-76%,40300,-86%,9261,-3.00%,697865,-24.00%
9/6/2020,819600,-67.40%,580400,-47%,44700,-55%,45400,-57%,10160,-46.30%,753036,-16.20%
9/5/2020,1013746,-68.50%,740100,-48%,50500,-57%,64700,-58%,12118,-28.50%,798823,-14.50%
9/4/2020,1571533,-72.10%,1034500,-52%,88300,-73%,64200,-78%,20223,-29.60%,936602,-3.60%
9/3/2020,1532512,-73.40%,1030700,-55%,82600,-75%,58000,-80%,19992,-34.00%,869126,-9.10%
9/2/2020,1491161,-72.90%,994000,-54%,77600,-76%,53000,-82%,19990,-34.40%,810144,-13.60%
9/1/2020,1472491,-72.30%,996600,-53%,76500,-77%,53100,-82%,18929,-33.90%,809685,-14.90%
8/31/2020,1400448,-73.60%,987400,-54%,78100,-75%,52700,-81%,18185,-36.50%,817544,10.30%
8/30/2020,748886,-70.00%,822300,-24%,45100,-57%,41600,-60%,9752,-47.90%,805096,-10.20%
8/29/2020,774465,-73.40%,892800,-33%,37600,-72%,41300,-73%,9814,-40.00%,645956,-31.40%
8/28/2020,1391299,-71.70%,1333400,-33%,76100,-76%,53100,-81%,18845,-29.50%,899892,-13.00%
8/27/2020,1361128,-74.20%,1274100,-39%,73100,-77%,48800,-82%,19271,-31.10%,847285,-17.00%
8/26/2020,1410651,-72.90%,1361400,-33%,76600,-76%,50800,-81%,20659,-28.80%,859625,-9.00%
8/25/2020,1349335,-74.10%,1273400,-38%,73300,-77%,49700,-82%,18682,-33.70%,821597,-12.70%
8/24/2020,1310101,-73.10%,1270700,-34%,75100,-76%,50100,-82%,17643,-30.50%,815665,-11.90%
8/23/2020,672193,-71.20%,783200,-29%,37900,-64%,35300,-66%,8297,-53.20%,737097,-20.60%
8/22/2020,883393,-69.60%,998700,-27%,49100,-63%,51600,-66%,11456,-30.70%,812308,-17.50%
8/21/2020,1390232,-71.50%,1335800,-30%,76100,-76%,53000,-81%,19035,-29.70%,909773,-10.10%
8/20/2020,1413449,-72.30%,1352700,-32%,75600,-76%,50900,-81%,19344,-31.70%,889782,-10.70%
8/19/2020,1294931,-74.50%,1212800,-39%,70100,-78%,47700,-83%,19915,-31.70%,816805,-14.20%
8/18/2020,1372568,-73.10%,1307400,-35%,74200,-76%,47900,-82%,19274,-31.90%,838008,-12.00%
8/17/2020,1307543,-72.90%,1275000,-34%,74500,-76%,49400,-82%,17377,-33.10%,806108,-14.30%
8/16/2020,554980,-75.60%,622000,-43%,29900,-71%,28500,-73%,7902,-55.90%,620686,-31.90%
8/15/2020,861763,-69.90%,1001000,-28%,46800,-65%,51400,-66%,11487,-30.80%,804346,-15.10%
8/14/2020,1358798,-72.90%,1321800,-33%,72900,-77%,50700,-81%,18113,-33.10%,893657,-11.40%
8/13/2020,1294248,-75.70%,1198800,-42%,69200,-78%,46500,-83%,18608,-35.40%,819019,-17.90%
8/12/2020,1302087,-75.20%,1227500,-39%,68300,-78%,46800,-83%,19346,-35.50%,800865,-15.40%
8/11/2020,1322978,-74.30%,1256400,-36%,72400,-77%,46700,-83%,18546,-34.20%,821976,-9.30%
8/10/2020,1278263,-74.60%,1243700,-37%,73500,-76%,46800,-83%,18178,-30.60%,826001,-12.70%
8/9/2020,663642,-73.20%,766700,-30%,37600,-64%,32200,-69%,8287,-53.50%,744618,-18.60%
8/8/2020,834093,-72.40%,962000,-30%,41700,-69%,43600,-71%,10613,-37.60%,730739,-25.30%
8/7/2020,1286635,-75.10%,1256300,-38%,66000,-79%,42400,-84%,17502,-36.10%,844097,-17.50%
8/6/2020,1337819,-75.40%,1241800,-41%,66700,-79%,38800,-86%,19117,-34.20%,847497,-15.30%
8/5/2020,1351026,-74.30%,1305000,-34%,58000,-81%,36900,-86%,18299,-37.70%,847330,-7.50%
8/4/2020,1028686,-80.80%,968100,-54%,36800,-88%,31100,-89%,14924,-48.80%,577415,-38.20%
8/3/2020,1275951,-75.20%,1268300,-38%,70800,-77%,45900,-83%,17594,-34.40%,818732,-13.00%
8/2/2020,590675,-75.90%,707000,-38%,30500,-71%,28100,-73%,7431,-59.80%,648735,-29.90%
8/1/2020,843372,-72.00%,969300,-31%,44400,-67%,48700,-68%,10685,-35.90%,799745,-14.80%
7/31/2020,1260968,-75.90%,1220700,-40%,67600,-79%,50900,-82%,17654,-35.50%,859774,-15.70%
7/30/2020,1272918,-76.70%,1224100,-43%,69000,-78%,48600,-83%,17333,-40.10%,820275,-18.80%
7/29/2020,1298880,-75.80%,1273100,-38%,70000,-78%,48500,-83%,18216,-38.20%,816959,-13.50%
7/28/2020,1244405,-77.00%,1210600,-43%,66700,-79%,45800,-84%,16892,-41.70%,782226,-17.50%
7/27/2020,1206129,-76.60%,1185000,-43%,70100,-78%,45700,-84%,16607,-37.10%,793225,-15.90%
7/26/2020,607452,-75.10%,721100,-36%,36200,-65%,32300,-70%,7429,-59.00%,697533,-26.70%
7/25/2020,817403,-73.20%,967300,-31%,43300,-66%,47600,-69%,10350,-38.70%,769898,-21.80%
7/24/2020,1220649,-77.00%,1134300,-44%,65900,-79%,49000,-83%,17311,-37.30%,826030,-20.40%
7/23/2020,1236427,-77.80%,1180200,-45%,65600,-79%,47000,-83%,17056,-41.90%,791577,-21.90%
7/22/2020,1236384,-77.90%,1189100,-46%,65300,-79%,46700,-83%,17582,-42.10%,784013,-19.90%
7/21/2020,1244544,-76.40%,1204300,-41%,67600,-79%,48000,-83%,16831,-42.10%,792955,-13.30%
7/20/2020,1159163,-77.10%,1130400,-43%,67700,-79%,46800,-83%,15957,-39.40%,770607,-15.60%
7/19/2020,585498,-73.10%,692800,-33%,36400,-65%,29900,-72%,7052,-54.40%,696110,-20.30%
7/18/2020,779722,-70.50%,913700,-28%,41200,-68%,45500,-71%,9785,-34.80%,747445,-19.20%
7/17/2020,1209692,-76.80%,1176200,-43%,64800,-80%,47400,-83%,16401,-39.20%,819471,-20.30%
7/16/2020,1251884,-76.90%,1211800,-41%,66700,-79%,47400,-83%,17230,-40.50%,819850,-16.20%
7/15/2020,1251164,-77.20%,1229000,-42%,66500,-79%,46900,-83%,18149,-40.50%,803399,-15.20%
7/14/2020,1243749,-77.60%,1211300,-44%,66300,-79%,46200,-84%,17081,-43.10%,794838,-16.90%
7/13/2020,1178204,-77.80%,1144100,-45%,66400,-79%,46200,-84%,15928,-41.00%,756123,-20.40%
7/12/2020,628918,-74.20%,727700,-36%,34900,-67%,31800,-70%,7395,-58.90%,703590,-25.90%
7/11/2020,693789,-77.10%,852600,-41%,30100,-76%,35300,-77%,8453,-50.70%,625288,-37.10%
7/10/2020,1032749,-80.90%,926800,-55%,55900,-82%,39700,-86%,15738,-43.40%,712635,-30.00%
7/9/2020,1213851,-77.90%,1195700,-43%,65500,-79%,45500,-84%,17017,-42.60%,818034,-15.70%
7/8/2020,1174733,-78.90%,1114900,-49%,63000,-80%,43400,-85%,16980,-43.50%,758208,-20.90%
7/7/2020,1159588,-78.80%,1118800,-48%,61800,-80%,44100,-84%,16003,-46.30%,749833,-21.00%
7/6/2020,1087178,-78.80%,1030200,-50%,63900,-80%,44300,-84%,14886,-45.00%,750584,-18.80%
7/5/2020,534220,-76.90%,658700,-40%,34600,-67%,30600,-71%,6280,-65.30%,659099,-24.80%
7/4/2020,592295,-77.20%,754900,-41%,38400,-70%,41800,-73%,8391,-42.10%,569212,-28.30%
7/3/2020,853015,-68.70%,968200,-13%,56200,-82%,42900,-85%,10915,-16.20%,713240,-16.60%
7/2/2020,1172848,-77.60%,1178500,-43%,64300,-80%,45500,-84%,15981,-46.60%,881471,14.60%
7/1/2020,1122842,-78.50%,1102200,-47%,56500,-82%,40000,-86%,16451,-45.00%,779409,-22.80%
6/30/2020,1115510,-79.10%,1082000,-48%,58000,-83%,40900,-86%,15291,-48.20%,758785,-19.90%
6/29/2020,1103086,-78.80%,1087500,-47%,63300,-81%,42600,-86%,14705,-44.80%,767165,-19.90%
6/28/2020,536488,-82.30%,641800,-42%,25700,-74%,26200,-76%,5748,-66.30%,623131,-33.20%
6/27/2020,616084,-80.70%,753900,-43%,26800,-78%,34800,-78%,8541,-46.90%,630731,-34.80%
6/26/2020,1104497,-79.80%,1130100,-43%,55600,-83%,41500,-86%,15048,-46.00%,830887,-20.50%
6/25/2020,1081006,-80.90%,1088500,-48%,53400,-84%,38200,-87%,14854,-49.80%,781618,-25.20%
6/24/2020,1070527,-81.50%,1099900,-51%,52400,-84%,38000,-87%,15155,-50.70%,752750,-25.90%
6/23/2020,1053005,-81.00%,1086200,-48%,52900,-84%,37600,-87%,15069,-49.50%,744822,-22.10%
6/22/2020,1002073,-81.50%,1016200,-52%,53900,-84%,38400,-87%,13314,-51.00%,733291,-25.20%
6/21/2020,449497,-82.90%,592400,-47%,27100,-72%,27600,-75%,6328,-66.20%,654914,-32.40%
6/20/2020,576097,-82.60%,768500,-45%,29000,-76%,36000,-77%,8185,-53.00%,666226,-33.60%
6/19/2020,988680,-82.20%,1035300,-45%,50200,-85%,38800,-87%,13868,-51.40%,797519,-22.30%
6/18/2020,944318,-83.40%,977700,-52%,47900,-86%,35800,-88%,13808,-53.90%,729487,-27.00%
6/17/2020,950318,-83.40%,977200,-55%,47200,-86%,36300,-88%,14595,-53.20%,709680,-26.80%
6/16/2020,934545,-83.30%,961000,-54%,46900,-86%,34100,-88%,12939,-57.10%,695359,-25.30%
6/15/2020,898925,-83.50%,940900,-57%,47500,-86%,34500,-88%,12953,-52.50%,674785,-29.00%
6/14/2020,430446,-81.50%,571200,-45%,20900,-79%,22700,-79%,5195,-72.10%,563725,-39.50%
6/13/2020,545333,-83.00%,706800,-50%,25400,-79%,32400,-80%,7794,-56.60%,631065,-37.50%
6/12/2020,898314,-84.30%,966300,-57%,45100,-86%,33700,-89%,13224,-54.20%,765492,-26.50%
6/11/2020,819873,-85.60%,830100,-62%,41000,-88%,29100,-90%,12514,-57.60%,656696,-32.40%
6/10/2020,858782,-85.40%,914700,-61%,43100,-87%,30800,-90%,13616,-57.50%,680270,-30.60%
6/9/2020,843968,-85.30%,916900,-59%,42300,-87%,29500,-90%,12869,-56.20%,680462,-29.10%
6/8/2020,806138,-84.70%,863400,-58%,42600,-87%,30500,-90%,11957,-54.10%,644830,-26.50%
6/7/2020,378085,-85.40%,531900,-51%,16800,-83%,18500,-83%,4650,-74.10%,538419,-39.60%
6/6/2020,464207,-85.80%,648000,-54%,18100,-85%,23600,-85%,6591,-63.10%,551793,-43.00%
6/5/2020,704825,-87.60%,772900,-65%,33500,-90%,25200,-91%,11698,-59.50%,643562,-37.60%
6/4/2020,728018,-87.30%,797700,-63%,29800,-91%,25500,-91%,12000,-59.80%,650868,-35.20%
6/3/2020,683037,-88.10%,741200,-68%,32500,-90%,23500,-92%,11962,-61.30%,582624,-39.70%
6/2/2020,695276,-87.40%,724400,-66%,33800,-90%,24600,-92%,11206,-62.20%,579412,-39.10%
6/1/2020,688520,-87.60%,764300,-66%,34300,-90%,24500,-92%,10760,-62.20%,595060,-37.80%
5/31/2020,344428,-86.40%,468300,-57%,13600,-86%,14700,-86%,4216,-76.70%,495488,-44.70%
5/30/2020,426755,-86.50%,622000,-56%,15600,-87%,20300,-87%,6143,-64.60%,537180,-44.40%
5/29/2020,658353,-88.60%,720800,-67%,25100,-92%,21200,-93%,10185,-63.50%,598608,-43.00%
5/28/2020,659248,-88.50%,710800,-68%,25200,-92%,20400,-93%,10030,-65.00%,584629,-40.10%
5/27/2020,675705,-88.10%,719200,-67%,26500,-92%,21000,-93%,11088,-62.30%,601140,-36.60%
5/26/2020,657939,-87.90%,709000,-67%,26700,-92%,21800,-92%,9875,-65.10%,587270,-36.60%
5/25/2020,394359,-84.90%,531600,-54%,19300,-94%,19000,-93%,5428,-49.70%,445015,-43.50%
5/24/2020,320376,-87.40%,461200,-57%,11900,-88%,14100,-86%,4117,-77.70%,461171,-47.40%
5/23/2020,336250,-88.80%,460700,-65%,11000,-91%,14000,-91%,5550,-65.00%,394091,-56.40%
5/22/2020,634929,-88.30%,690200,-69%,22800,-93%,19900,-93%,9782,-64.80%,626984,-40.40%
5/21/2020,630367,-88.90%,655300,-70%,22600,-93%,19200,-93%,9731,-67.30%,585553,-42.20%
5/20/2020,624793,-89.40%,654800,-72%,22200,-93%,18500,-94%,10224,-67.30%,542409,-45.30%
5/19/2020,611951,-89.60%,643600,-72%,21600,-93%,18700,-93%,9290,-69.10%,524483,-45.90%
5/18/2020,596505,-89.30%,624200,-72%,22100,-93%,19200,-93%,8969,-67.50%,505315,-47.70%
5/17/2020,287755,-89.00%,413500,-63%,8800,-91%,3300,-97%,3577,-80.90%,391606,-58.70%
5/16/2020,361329,-89.40%,530600,-63%,11100,-91%,18400,-88%,5947,-66.30%,477098,-52.10%
5/15/2020,588784,-89.70%,671500,-70%,20100,-94%,45300,-84%,9473,-66.90%,562991,-46.60%
5/14/2020,568315,-90.40%,616000,-74%,19300,-94%,16400,-94%,8855,-70.60%,520395,-49.00%
5/13/2020,566333,-90.40%,611300,-74%,19400,-94%,17200,-94%,9437,-70.50%,509243,-47.90%
5/12/2020,554286,-90.40%,594900,-74%,19000,-94%,16700,-94%,8271,-72.10%,488406,-47.90%
5/11/2020,521702,-90.40%,553300,-74%,18300,-94%,16700,-94%,7636,-71.00%,458042,-49.40%
5/10/2020,272353,-86.90%,386000,-54%,8000,-92%,9200,-91%,3962,-79.80%,415868,-51.20%
5/9/2020,317372,-90.10%,462400,-68%,7700,-94%,11100,-93%,5055,-72.20%,371426,-62.60%
5/8/2020,526865,-90.70%,573700,-75%,15700,-95%,15200,-95%,8656,-69.60%,483831,-52.60%
5/7/2020,536003,-90.90%,605600,-74%,16100,-95%,16200,-94%,8509,-72.40%,488836,-50.50%
5/6/2020,509646,-91.30%,538800,-78%,14500,-95%,14700,-95%,8832,-72.30%,444179,-53.80%
5/5/2020,522979,-91.00%,583400,-75%,13300,-96%,15500,-95%,8445,-72.70%,462086,-50.60%
5/4/2020,512763,-90.90%,578300,-75%,11200,-97%,15800,-94%,8287,-70.70%,447424,-51.80%
5/3/2020,259199,-88.90%,375900,-55%,3300,-97%,7600,-93%,3263,-81.40%,353314,-55.70%
5/2/2020,326354,-89.90%,478600,-66%,4000,-97%,10900,-93%,5493,-68.80%,401938,-57.00%
5/1/2020,495312,-91.40%,555300,-75%,6200,-98%,12400,-96%,8332,-71.00%,445621,-55.90%
4/30/2020,466633,-92.10%,488800,-79%,9300,-97%,14400,-95%,7253,-75.50%,405169,-58.80%
4/29/2020,478589,-91.80%,519600,-78%,9100,-97%,14800,-95%,7844,-74.50%,410502,-56.90%
4/28/2020,490073,-91.50%,555600,-76%,9200,-97%,15400,-95%,7542,-74.50%,436347,-53.00%
4/27/2020,463700,-91.70%,518400,-77%,8800,-97%,15000,-95%,6922,-74.60%,384124,-57.60%
4/26/2020,219096,-90.90%,293500,-70%,1900,-98%,5400,-95%,2506,-85.70%,231541,-72.40%
4/25/2020,295836,-90.90%,430800,-68%,2900,-97%,9100,-94%,4719,-71.20%,350300,-62.00%
4/24/2020,444644,-91.20%,475400,-73%,7800,-97%,13200,-95%,7040,-72.30%,386935,-57.10%
4/23/2020,454300,-91.70%,487300,-75%,8400,-97%,13800,-95%,6969,-75.10%,386938,-58.90%
4/22/2020,459574,-91.50%,518900,-74%,8700,-97%,14100,-95%,7496,-74.40%,398703,-57.70%
4/21/2020,422860,-92.20%,450900,-78%,8300,-97%,13700,-95%,6613,-76.10%,356099,-61.80%
4/20/2020,438622,-91.10%,498700,-73%,8900,-97%,14800,-95%,7050,-70.50%,371776,-59.60%
4/19/2020,224751,-90.40%,318100,-68%,2200,-98%,6000,-94%,2742,-85.80%,276406,-68.60%
4/18/2020,254792,-91.00%,352000,-71%,2400,-98%,7200,-95%,4202,-71.60%,254735,-69.80%
4/17/2020,433106,-90.90%,470300,-73%,8300,-97%,13500,-95%,7048,-71.20%,378350,-60.80%
4/16/2020,421013,-92.90%,447000,-80%,8500,-97%,13800,-95%,6563,-77.80%,346342,-65.40%
4/15/2020,419851,-93.00%,454100,-81%,8600,-97%,13800,-95%,6928,-78.00%,340213,-64.90%
4/14/2020,430946,-92.70%,470900,-80%,8800,-97%,14100,-95%,6585,-78.10%,356104,-62.40%
4/13/2020,363961,-93.50%,347800,-84%,8200,-97%,13000,-95%,6205,-77.80%,284609,-68.70%
4/12/2020,198693,-92.00%,279100,-72%,2200,-98%,5100,-95%,2525,-86.40%,217871,-74.40%
4/11/2020,257467,-92.20%,378200,-73%,2700,-98%,7600,-95%,4235,-76.00%,254755,-73.10%
4/10/2020,400947,-93.00%,414100,-81%,8200,-97%,13000,-95%,5378,-81.50%,314100,-68.60%
4/9/2020,405325,-93.00%,401900,-83%,8400,-97%,12900,-96%,6243,-80.10%,303481,-68.80%
4/8/2020,428206,-92.70%,431700,-82%,9000,-97%,13500,-95%,6950,-78.30%,324882,-65.80%
4/7/2020,435718,-92.40%,441000,-81%,9300,-97%,14100,-95%,7041,-76.70%,335470,-63.30%
4/6/2020,446273,-92.00%,454900,-80%,10100,-97%,14400,-95%,7093,-75.00%,335769,-63.10%
4/5/2020,227603,-90.90%,299600,-70%,3000,-97%,5600,-95%,2763,-85.60%,209152,-76.60%
4/4/2020,282703,-91.40%,383400,-73%,3700,-97%,8100,-95%,4375,-75.50%,243323,-74.00%
4/3/2020,484200,-91.50%,483800,-78%,9700,-97%,13200,-95%,7794,-72.70%,340273,-65.10%
4/2/2020,486468,-91.80%,472700,-80%,10100,-97%,13700,-95%,7077,-77.50%,339734,-65.20%
4/1/2020,514201,-91.30%,495400,-79%,10500,-97%,13600,-95%,8151,-74.80%,342222,-63.30%
3/31/2020,509149,-91.20%,514300,-78%,,,,,7672,-74.30%,337626,-62.70%
3/30/2020,546355,-90.20%,563900,-75%,,,,,8084,-71.70%,344690,-61.60%
3/29/2020,264119,-88.30%,306800,-69%,,,,,3374,-80.60%,197154,-75.80%
3/28/2020,332993,-89.80%,403700,-71%,,,,,4491,-74.00%,240702,-74.10%
3/27/2020,658312,-88.20%,641800,-71%,,,,,8409,-70.60%,396778,-59.80%
3/26/2020,681923,-88.20%,646100,-72%,,,,,8795,-71.20%,390117,-59.70%
3/25/2020,691604,-87.90%,618000,-73%,,,,,9512,-69.80%,375767,-59.40%
3/24/2020,743314,-86.90%,657800,-72%,,,,,9133,-69.90%,395493,-56.30%
3/23/2020,711138,-86.90%,578200,-74%,,,,,9902,-65.20%,361514,-59.30%
3/22/2020,409364,-83.10%,378900,-65%,,,,,4824,-73.90%,277051,-68.20%
3/21/2020,620662,-79.50%,564900,-57%,,,,,6467,-60.80%,382993,-56.70%
3/20/2020,1312249,-76.10%,868600,-59%,,,,,12744,-54.70%,563262,-41.60%
3/19/2020,1425564,-74.40%,933600,-57%,,,,,14116,-51.70%,569696,-38.00%
3/18/2020,1629413,-71.40%,1059500,-55%,,,,,15942,-50.00%,634853,-31.20%
3/17/2020,1793359,-68.20%,1094900,-53%,,,,,18173,-40.60%,650445,-28.40%
3/16/2020,2184296,-59.50%,1237300,-45%,,,,,21145,-24.40%,708870,-20.60%
3/15/2020,1159079,-52.40%,711600,-31%,,,,,12480,-31.70%,535988,-36.40%
3/14/2020,1672800,-47.50%,993300,-27%,,,,,13394,-20.90%,631101,-30.20%
3/13/2020,3496765,-38.00%,1715700,-23%,,,,,26640,-8.20%,860419,-13.80%
3/12/2020,4163674,-28.40%,1938400,-18%,,,,,30814,-1.50%,881188,-8.70%
3/11/2020,4712462,-18.50%,2113000,-10%,,,,,32198,0.60%,866706,-6.70%
3/10/2020,4883623,-15.10%,2112000,-9%,,,,,31315,2.10%,855585,-5.80%
3/9/2020,4989635,-10.40%,2124800,-7%,,,,,29609,2.70%,860073,-4.70%
3/8/2020,2122328,0.40%,957200,7%,,,,,19477,13.40%,765084,-0.60%
3/7/2020,2817082,-9.60%,1249100,-9%,,,,,18117,3.70%,827908,-7.60%
3/6/2020,5204732,-8.40%,2066700,-7%,,,,,30970,6.70%,945408,-4.00%
3/5/2020,5513656,-4.40%,2244500,-1%,,,,,33209,7.10%,929298,-0.90%
3/4/2020,5515945,-3.20%,2177200,-3%,,,,,34297,8.70%,905558,-0.10%
3/3/2020,5498556,-3.90%,2228600,-3%,,,,,32767,6.90%,882175,-1.70%
3/2/2020,5347055,23.90%,2209100,40%,,,,,30338,28.20%,874620,27.50%
3/1/2020,2214601,-1.30%,984900,1%,,,,,19922,18.80%,786961,7.80%
