Income,Standard_$,Standard_Marginal%,Standard_Average%,IBR_$,IBR_Marginal%,IBR_Average%,REPAYE_$,REPAYE_Marginal%,REPAYE_Average%,PAYE_$,PAYE_Marginal%,PAYE_Average%,ICR_$,ICR_Marginal%,ICR_Average%,LowestMnthly_$,LowestMnthly_Marginal%,LowestMnthly_Average%,,,,,,,,
40000,3731.04,0,0.093276,4068,0.15,0.1017,2712,0.1,0.0678,2712,0.1,0.0678,3240,0,0.081,2712,0.1,0.0678,,,,,,,,
41000,3731.04,0,0.091000976,4218,0.15,0.102878049,2812,0.1,0.068585366,2812,0.1,0.068585366,3240,0,0.07902439,2812,0.1,0.068585366,,,,,,,,
42000,3731.04,0,0.088834286,4368,0.15,0.104,2912,0.1,0.069333333,2912,0.1,0.069333333,3240,0,0.077142857,2912,0.1,0.069333333,,,,,,,,
43000,3731.04,0,0.086768372,4518,0.15,0.105069767,3012,0.1,0.070046512,3012,0.1,0.070046512,3240,0,0.075348837,3012,0.1,0.070046512,,,,,,,,
44000,3731.04,0,0.084796364,4668,0.15,0.106090909,3112,0.1,0.070727273,3112,0.1,0.070727273,3240,0,0.073636364,3112,0.1,0.070727273,,,,,,,,
45000,3731.04,0,0.082912,4818,0.15,0.107066667,3212,0.1,0.071377778,3212,0.1,0.071377778,3240,0,0.072,3212,0.1,0.071377778,,,,,,,,
46000,3731.04,0,0.081109565,4968,0.15,0.108,3312,0.1,0.072,3312,0.1,0.072,3240,0,0.070434783,3240,0.028,0.070434783,,,,,,,,
47000,3731.04,0,0.07938383,5118,0.15,0.108893617,3412,0.1,0.072595745,3412,0.1,0.072595745,3240,0,0.06893617,3240,0,0.06893617,,,,,,,,
48000,3731.04,0,0.07773,5268,0.15,0.10975,3512,0.1,0.073166667,3512,0.1,0.073166667,3240,0,0.0675,3240,0,0.0675,,,,,,,,
49000,3731.04,0,0.076143673,5418,0.15,0.110571429,3612,0.1,0.073714286,3612,0.1,0.073714286,3240,0,0.066122449,3240,0,0.066122449,,,,,,,,
50000,3731.04,0,0.0746208,5568,0.15,0.11136,3712,0.1,0.07424,3712,0.1,0.07424,3240,0,0.0648,3240,0,0.0648,,,,,,,,
51000,3731.04,0,0.073157647,5718,0.15,0.112117647,3812,0.1,0.074745098,3731.04,0.01904,0.073157647,3240,0,0.063529412,3240,0,0.063529412,,,,,,,,
52000,3731.04,0,0.071750769,5868,0.15,0.112846154,3912,0.1,0.075230769,3731.04,0,0.071750769,3240,0,0.062307692,3240,0,0.062307692,,,,,,,,
53000,3731.04,0,0.070396981,6018,0.15,0.11354717,4012,0.1,0.075698113,3731.04,0,0.070396981,3240,0,0.061132075,3240,0,0.061132075,,,,,,,,
54000,3731.04,0,0.069093333,6168,0.15,0.114222222,4112,0.1,0.076148148,3731.04,0,0.069093333,3240,0,0.06,3240,0,0.06,,,,,,,,
55000,3731.04,0,0.067837091,6318,0.15,0.114872727,4212,0.1,0.076581818,3731.04,0,0.067837091,3240,0,0.058909091,3240,0,0.058909091,,,,,,,,
56000,3731.04,0,0.066625714,6468,0.15,0.1155,4312,0.1,0.077,3731.04,0,0.066625714,3240,0,0.057857143,3240,0,0.057857143,,,,,,,,
57000,3731.04,0,0.065456842,6618,0.15,0.116105263,4412,0.1,0.077403509,3731.04,0,0.065456842,3240,0,0.056842105,3240,0,0.056842105,,,,,,,,
58000,3731.04,0,0.064328276,6768,0.15,0.116689655,4512,0.1,0.077793103,3731.04,0,0.064328276,3240,0,0.055862069,3240,0,0.055862069,,,,,,,,
59000,3731.04,0,0.063237966,6918,0.15,0.117254237,4612,0.1,0.078169492,3731.04,0,0.063237966,3240,0,0.054915254,3240,0,0.054915254,,,,,,,,
60000,3731.04,0,0.062184,7068,0.15,0.1178,4712,0.1,0.078533333,3731.04,0,0.062184,3240,0,0.054,3240,0,0.054,,,,,,,,
61000,3731.04,0,0.06116459,7218,0.15,0.118327869,4812,0.1,0.078885246,3731.04,0,0.06116459,3240,0,0.053114754,3240,0,0.053114754,,,,,,,,
62000,3731.04,0,0.060178065,7368,0.15,0.11883871,4912,0.1,0.079225806,3731.04,0,0.060178065,3240,0,0.052258065,3240,0,0.052258065,,,,,,,,
63000,3731.04,0,0.059222857,7518,0.15,0.119333333,5012,0.1,0.079555556,3731.04,0,0.059222857,3240,0,0.051428571,3240,0,0.051428571,,,,,,,,
64000,3731.04,0,0.0582975,7668,0.15,0.1198125,5112,0.1,0.079875,3731.04,0,0.0582975,3240,0,0.050625,3240,0,0.050625,,,,,,,,
65000,3731.04,0,0.057400615,7818,0.15,0.120276923,5212,0.1,0.080184615,3731.04,0,0.057400615,3240,0,0.049846154,3240,0,0.049846154,,,,,,,,
66000,3731.04,0,0.056530909,7968,0.15,0.120727273,5312,0.1,0.080484848,3731.04,0,0.056530909,3240,0,0.049090909,3240,0,0.049090909,,,,,,,,
67000,3731.04,0,0.055687164,8118,0.15,0.121164179,5412,0.1,0.080776119,3731.04,0,0.055687164,3240,0,0.048358209,3240,0,0.048358209,,,,,,,,
68000,3731.04,0,0.054868235,8268,0.15,0.121588235,5512,0.1,0.081058824,3731.04,0,0.054868235,3240,0,0.047647059,3240,0,0.047647059,,,,,,,,
69000,3731.04,0,0.054073043,8418,0.15,0.122,5612,0.1,0.081333333,3731.04,0,0.054073043,3240,0,0.046956522,3240,0,0.046956522,,,,,,,,
70000,3731.04,0,0.053300571,8568,0.15,0.1224,5712,0.1,0.0816,3731.04,0,0.053300571,3240,0,0.046285714,3240,0,0.046285714,,,,,,,,
71000,3731.04,0,0.052549859,8718,0.15,0.122788732,5812,0.1,0.081859155,3731.04,0,0.052549859,3240,0,0.045633803,3240,0,0.045633803,,,,,,,,
72000,3731.04,0,0.05182,8868,0.15,0.123166667,5912,0.1,0.082111111,3731.04,0,0.05182,3240,0,0.045,3240,0,0.045,,,,,,,,
73000,3731.04,0,0.051110137,9018,0.15,0.123534247,6012,0.1,0.082356164,3731.04,0,0.051110137,3240,0,0.044383562,3240,0,0.044383562,,,,,,,,
74000,3731.04,0,0.050419459,9168,0.15,0.123891892,6112,0.1,0.082594595,3731.04,0,0.050419459,3240,0,0.043783784,3240,0,0.043783784,,,,,,,,
75000,3731.04,0,0.0497472,9318,0.15,0.12424,6212,0.1,0.082826667,3731.04,0,0.0497472,3240,0,0.0432,3240,0,0.0432,,,,,,,,
76000,3731.04,0,0.049092632,9468,0.15,0.124578947,6312,0.1,0.083052632,3731.04,0,0.049092632,3240,0,0.042631579,3240,0,0.042631579,,,,,,,,
77000,3731.04,0,0.048455065,9618,0.15,0.124909091,6412,0.1,0.083272727,3731.04,0,0.048455065,3240,0,0.042077922,3240,0,0.042077922,,,,,,,,
78000,3731.04,0,0.047833846,9768,0.15,0.125230769,6512,0.1,0.083487179,3731.04,0,0.047833846,3240,0,0.041538462,3240,0,0.041538462,,,,,,,,
79000,3731.04,0,0.047228354,9918,0.15,0.125544304,6612,0.1,0.083696203,3731.04,0,0.047228354,3240,0,0.041012658,3240,0,0.041012658,,,,,,,,
80000,3731.04,0,0.046638,10068,0.15,0.12585,6712,0.1,0.0839,3731.04,0,0.046638,3240,0,0.0405,3240,0,0.0405,,,,,,,,
81000,3731.04,0,0.046062222,10218,0.15,0.126148148,6812,0.1,0.084098765,3731.04,0,0.046062222,3240,0,0.04,3240,0,0.04,,,,,,,,
82000,3731.04,0,0.045500488,10368,0.15,0.126439024,6912,0.1,0.084292683,3731.04,0,0.045500488,3240,0,0.039512195,3240,0,0.039512195,,,,,,,,
83000,3731.04,0,0.044952289,10518,0.15,0.126722892,7012,0.1,0.084481928,3731.04,0,0.044952289,3240,0,0.039036145,3240,0,0.039036145,,,,,,,,
84000,3731.04,0,0.044417143,10668,0.15,0.127,7112,0.1,0.084666667,3731.04,0,0.044417143,3240,0,0.038571429,3240,0,0.038571429,,,,,,,,
85000,3731.04,0,0.043894588,10818,0.15,0.127270588,7212,0.1,0.084847059,3731.04,0,0.043894588,3240,0,0.038117647,3240,0,0.038117647,,,,,,,,
86000,3731.04,0,0.043384186,10968,0.15,0.127534884,7312,0.1,0.085023256,3731.04,0,0.043384186,3240,0,0.037674419,3240,0,0.037674419,,,,,,,,
87000,3731.04,0,0.042885517,11118,0.15,0.127793103,7412,0.1,0.085195402,3731.04,0,0.042885517,3240,0,0.037241379,3240,0,0.037241379,,,,,,,,
88000,3731.04,0,0.042398182,11268,0.15,0.128045455,7512,0.1,0.085363636,3731.04,0,0.042398182,3240,0,0.036818182,3240,0,0.036818182,,,,,,,,
89000,3731.04,0,0.041921798,11418,0.15,0.128292135,7612,0.1,0.08552809,3731.04,0,0.041921798,3240,0,0.036404494,3240,0,0.036404494,,,,,,,,
90000,3731.04,0,0.041456,11568,0.15,0.128533333,7712,0.1,0.085688889,3731.04,0,0.041456,3240,0,0.036,3240,0,0.036,,,,,,,,
91000,3731.04,0,0.04100044,11718,0.15,0.128769231,7812,0.1,0.085846154,3731.04,0,0.04100044,3240,0,0.035604396,3240,0,0.035604396,,,,,,,,
92000,3731.04,0,0.040554783,11868,0.15,0.129,7912,0.1,0.086,3731.04,0,0.040554783,3240,0,0.035217391,3240,0,0.035217391,,,,,,,,
93000,3731.04,0,0.04011871,12018,0.15,0.129225806,8012,0.1,0.086150538,3731.04,0,0.04011871,3240,0,0.03483871,3240,0,0.03483871,,,,,,,,
94000,3731.04,0,0.039691915,12168,0.15,0.129446809,8112,0.1,0.086297872,3731.04,0,0.039691915,3240,0,0.034468085,3240,0,0.034468085,,,,,,,,
95000,3731.04,0,0.039274105,12318,0.15,0.129663158,8212,0.1,0.086442105,3731.04,0,0.039274105,3240,0,0.034105263,3240,0,0.034105263,,,,,,,,
96000,3731.04,0,0.038865,12468,0.15,0.129875,8312,0.1,0.086583333,3731.04,0,0.038865,3240,0,0.03375,3240,0,0.03375,,,,,,,,
97000,3731.04,0,0.03846433,12618,0.15,0.130082474,8412,0.1,0.086721649,3731.04,0,0.03846433,3240,0,0.033402062,3240,0,0.033402062,,,,,,,,
98000,3731.04,0,0.038071837,12768,0.15,0.130285714,8512,0.1,0.086857143,3731.04,0,0.038071837,3240,0,0.033061224,3240,0,0.033061224,,,,,,,,
99000,3731.04,0,0.037687273,12918,0.15,0.130484848,8612,0.1,0.086989899,3731.04,0,0.037687273,3240,0,0.032727273,3240,0,0.032727273,,,,,,,,
100000,3731.04,0,0.0373104,13068,0.15,0.13068,8712,0.1,0.08712,3731.04,0,0.0373104,3240,0,0.0324,3240,0,0.0324,,,,,,,,
