Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"ZQU22 (Sep '22)",97.4425,0,97.4425,97.445,97.4425,97.4425,10197,199902,2022-09-27
"ZQV22 (Oct '22)",96.91,0,96.915,96.915,96.91,96.91,1241,0,"20:19 CT"
"ZQX22 (Nov '22)",96.29,0.010000000000005,96.3,96.3,96.29,96.28,237,376478,"20:19 CT"
"ZQZ22 (Dec '22)",95.985,0.015,96.005,96.005,95.985,95.97,408,0,"20:19 CT"
"ZQF23 (Jan '23)",95.78,0.015,95.79,95.795,95.78,95.765,308,0,"20:19 CT"
"ZQG23 (Feb '23)",95.545,0.010000000000005,95.555,95.56,95.54,95.535,566,136821,"20:22 CT"
"ZQH23 (Mar '23)",95.52,0.0099999999999909,95.535,95.535,95.51,95.51,395,36683,"20:25 CT"
"ZQJ23 (Apr '23)",95.465,0.0050000000000097,95.48,95.485,95.46,95.46,536,59488,"20:31 CT"
"ZQK23 (May '23)",95.455,0.01,95.465,95.475,95.455,95.445,435,0,"20:19 CT"
"ZQM23 (Jun '23)",95.465,0.01,95.475,95.49,95.455,95.455,61,0,"20:19 CT"
"ZQN23 (Jul '23)",95.47,0.01,95.49,95.49,95.465,95.46,382,0,"20:19 CT"
"ZQQ23 (Aug '23)",95.48,0.015,95.5,95.5,95.48,95.465,394,0,"20:19 CT"
"ZQU23 (Sep '23)",95.47,0.12,95.395,95.535,95.39,95.35,1578,4825,2022-09-27
"ZQV23 (Oct '23)",95.5,0.015,95.5,95.5,95.5,95.485,4,0,"20:19 CT"
"ZQX23 (Nov '23)",95.6,0.045,95.605,95.605,95.6,95.555,12,0,"19:21 CT"
"ZQZ23 (Dec '23)",95.625,0.045,95.625,95.625,95.625,95.58,2,0,"18:59 CT"
"ZQF24 (Jan '24)",95.645,0.045,95.645,95.645,95.645,95.6,21,0,"18:59 CT"
"ZQG24 (Feb '24)",95.645,0.075,95.675,95.77,95.605,95.57,1146,1288,2022-09-27
"ZQH24 (Mar '24)",95.685,0.075,95.695,95.705,95.665,95.61,35,152,2022-09-27
"ZQJ24 (Apr '24)",95.74,0.075,0,95.845,95.74,95.665,17,189,2022-09-27
"ZQK24 (May '24)",95.785,0.075,95.8,95.8,95.785,95.71,1,9,2022-09-27
"ZQM24 (Jun '24)",95.87,0.094999999999999,95.87,95.87,95.87,95.775,N/A,1,2022-09-27
"ZQN24 (Jul '24)",95.925,0.115,0,95.925,95.925,95.81,0,4,2022-09-27
"ZQQ24 (Aug '24)",95.935,0.11500000000001,95.935,95.935,95.935,95.82,N/A,N/A,2022-09-27
"ZQU24 (Sep '24)",95.935,0.11500000000001,95.935,95.935,95.935,95.82,N/A,N/A,2022-09-27
"ZQV24 (Oct '24)",95.935,0.11500000000001,95.935,95.935,95.935,95.82,N/A,N/A,2022-09-27
"ZQX24 (Nov '24)",95.935,0.11500000000001,95.935,95.935,95.935,95.82,N/A,N/A,2022-09-27
"ZQZ24 (Dec '24)",95.995,0.115,0,95.995,95.995,95.88,30,59,2022-09-27
"ZQF25 (Jan '25)",96.08,0.115,0,96.08,96.08,95.965,0,1,2022-09-27
"ZQG25 (Feb '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
"ZQH25 (Mar '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
"ZQJ25 (Apr '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
"ZQK25 (May '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
"ZQM25 (Jun '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
"ZQN25 (Jul '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
"ZQQ25 (Aug '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
"ZQU25 (Sep '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
"ZQV25 (Oct '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
"ZQX25 (Nov '25)",96.08,0.11499999999999,96.08,96.08,96.08,95.965,N/A,N/A,2022-09-27
