Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"ZQX22 (Nov '22)",96.215,0,96.215,96.2175,96.2125,96.215,40467,403467,2022-11-04
"ZQZ22 (Dec '22)",95.85,0.015,95.835,95.85,95.815,95.835,31664,191677,2022-11-04
"ZQF23 (Jan '23)",95.6,0.025,95.57,95.6,95.54,95.575,110716,299967,2022-11-04
"ZQG23 (Feb '23)",95.215,0.035,95.17,95.215,95.12,95.18,70408,160603,2022-11-04
"ZQH23 (Mar '23)",95.14,0.04,95.095,95.14,95.02,95.1,20100,46782,2022-11-04
"ZQJ23 (Apr '23)",95.01,0.045,94.955,95.01,94.85,94.965,37962,90740,2022-11-04
"ZQK23 (May '23)",94.925,0.045,94.87,94.93,94.75,94.88,32232,63252,2022-11-04
"ZQM23 (Jun '23)",94.915,0.05,94.86,94.925,94.74,94.865,15605,22654,2022-11-04
"ZQN23 (Jul '23)",94.915,0.055,94.855,94.93,94.72,94.86,26325,48563,2022-11-04
"ZQQ23 (Aug '23)",94.945,0.06,94.875,94.965,94.745,94.885,19124,40398,2022-11-04
"ZQU23 (Sep '23)",94.965,0.065,94.89,94.98,94.765,94.9,5680,7496,2022-11-04
"ZQV23 (Oct '23)",95,0.07,94.925,95.015,94.81,94.93,6979,26444,2022-11-04
"ZQX23 (Nov '23)",95.1,0.07,95.03,95.115,94.86,95.03,3921,22250,2022-11-04
"ZQZ23 (Dec '23)",95.165,0.075,95.06,95.17,94.98,95.09,852,5617,2022-11-04
"ZQF24 (Jan '24)",95.205,0.075,95.12,95.205,94.95,95.13,956,8947,2022-11-04
"ZQG24 (Feb '24)",95.305,0.08,95.155,95.305,95.155,95.225,1657,3693,2022-11-04
"ZQH24 (Mar '24)",95.355,0.079999999999998,95.355,95.355,95.355,95.275,1,221,2022-11-04
"ZQJ24 (Apr '24)",95.44,0.079999999999998,95.44,95.44,95.26,95.36,2,178,2022-11-04
"ZQK24 (May '24)",95.545,0.079999999999998,95.545,95.545,95.545,95.465,1,43,2022-11-04
"ZQM24 (Jun '24)",95.6,0.065,95.42,95.6,95.42,95.535,2,35,2022-11-04
"ZQN24 (Jul '24)",95.645,0.064999999999998,95.645,95.645,95.505,95.58,N/A,45,2022-11-04
