DATE,EPOP_ECI
2018-01-01,6.0263
2018-04-01,4.9471
2018-07-01,5.49887
2018-10-01,4.66662
2019-01-01,4.62981
2019-04-01,3.13338
2019-07-01,5.672
2019-10-01,3.94895
2020-01-01,1.52567
2020-04-01,-45.24249
2020-07-01,33.60694
2020-10-01,16.71285
2021-01-01,5.26226
2021-04-01,7.45354
2021-07-01,11.45419
2021-10-01,12.43903
2022-01-01,11.66685
2022-04-01,9.26851
