Year,Auckland,New Zealand excluding Auckland
1999,21.3,18.7
2000,21.2,17.8
2001,21.1,17.2
2002,22.5,18.1
2003,22.3,18.4
2004,21.7,18.8
2005,20.9,19
2006,20.4,18.9
2007,20,18.7
2008,21,19.4
2009,21,19.1
2010,20.8,19
2011,21.1,18.8
2012,21.8,19.4
2013,21.3,19.2
2014,21.4,19.4
2015,21.4,19.3
2016,21.7,20
2017,21.8,20.2
2018,21.3,20.5
2019,20.8,20.8
2020,20.5,21
2021,19.8,22
2022,19,22.2
