"","date","ITA","GER","FRA","JPN","US","UK","CAN"
"1",2018-01-01,98.7359601665526,98.8394150080796,97.6759060636454,99.3741097956692,96.9391641014249,98.4145905352247,99.07592180947
"2",2018-04-01,98.8439511106811,99.4927646770096,97.7651850132089,99.7767106457862,97.3247437402812,98.4384312790559,99.5725257166189
"3",2018-07-01,98.9593949899235,98.6916444816629,98.148883352503,99.2363883680593,97.7785535209927,98.6291572297056,99.618726985744
"4",2018-10-01,99.2884914474829,99.2483994672356,98.8272189062789,99.0669123304316,97.7737932785377,98.61723685779,99.352609414736
"5",2019-01-01,99.4451997065145,99.748269443066,99.5545058473484,99.4183538437462,98.2815524737393,99.2013350816545,99.3850704049517
"6",2019-04-01,99.8750021566454,99.7647753963785,100.05076291614,99.8380936779138,98.9892418520517,99.3920610323042,100.203955537726
"7",2019-07-01,100,100,100,100,100,100,100
"8",2019-10-01,99.3941390911008,99.9281003258907,99.4023962195658,97.2121489769602,100.536320649932,99.880796280844,99.7296690208271
"9",2020-01-01,93.5314216422083,97.6869334089961,94.247011444919,97.8725471367624,99.0384310240868,97.0556681368459,97.5270678825834
"10",2020-04-01,82.6878545756953,89.018060461985,82.5670397434114,90.3834782658113,91.1570562660658,77.2440100131124,86.6193422511352
"11",2020-07-01,94.2819833317486,96.7541869969857,95.4143028433129,95.3525984000505,98.2434705340992,90.2252950292049,94.4335130943778
"12",2020-10-01,93.9040883218617,97.8679879582644,95.2127102965667,97.3750361529531,99.2574021770176,91.4650137084277,96.2104520160354
"13",2021-01-01,95.5280718331117,96.7707208710388,95.4712886080263,97.9279068896108,100.644219478912,90.5471450709262,97.5165461675382
"14",2021-04-01,98.1739052485762,99.2126969058415,96.5980282162411,98.5257575291031,102.173844054457,97.2106329717487,97.0018471424318
"15",2021-07-01,101.017467289455,99.2115381041134,99.269145860286,97.9447304666373,102.943416584685,98.5933961139587,98.3763875779123
"16",2021-10-01,101.89804350476,99.7889618604586,99.7897994074569,99.3425405678476,104.703119545556,99.8092740493503,99.3822588519173
"17",2022-01-01,102.135807574519,100.039999808786,99.5678414403016,99.0502352456987,104.374662816159,100.047681487662,100.027573774611
"18",2022-04-01,103.643441408146,99.2583827836382,99.8980371955556,100.189946355195,104.344514613944,99.8569555370128,100.663492553725
"19",2022-07-01,104.089175623063,99.5857958386241,100.354928979789,99.9110966302923,104.907809971121,99.6543092144475,100.466127477059
"20",2022-10-01,104.018199602387,98.9387738759175,100.341210939468,100.453541086818,105.637713814224,99.6423888425319,99.3729186823925
"21",2023-01-01,104.450879374418,98.788071021194,100.30246733392,101.953498450754,106.259718828346,99.4397425199666,99.5854399707502
"22",2023-04-01,104.367409671085,98.5499085913189,100.893316292593,102.679010653044,106.780172003427,99.249016569317,99.2036788502607
"23",2023-07-01,104.688866435669,98.6562325957791,100.917756293379,101.693154660275,107.765542191616,98.8794850399332,98.3032753770386
"24",2023-10-01,104.731692742363,98.1968804795514,101.284238386421,101.849563305671,108.455777347593,98.3311479318155,97.2771974655724
"25",2024-01-01,105.127522084282,98.3663750278717,101.451521560796,101.450624151008,108.769953349624,98.796042436524,97.0539892008399
"26",2024-04-01,105.292893197309,98.2403736713294,101.525519261862,102.354502536071,109.449081273206,99.1178924782453,96.9647956910562
