date,0-1 Years,2-3 Years,4-5 Years,6-10 Years,11+ Years
2018-10-01,0.035,0.038,0.036,0.081,0.809
2019-01-01,0.032,0.037,0.035,0.079,0.816
2019-04-01,0.033,0.038,0.036,0.08,0.813
2019-07-01,0.034,0.038,0.037,0.081,0.809
2019-10-01,0.034,0.039,0.037,0.081,0.809
2020-01-01,0.031,0.038,0.037,0.08,0.815
2020-04-01,0.028,0.037,0.035,0.078,0.822
2020-07-01,0.029,0.038,0.036,0.079,0.818
2020-10-01,0.032,0.039,0.037,0.081,0.812
2021-01-01,0.029,0.037,0.036,0.079,0.817
2021-04-01,0.03,0.038,0.038,0.081,0.813
2021-07-01,0.031,0.04,0.038,0.084,0.807
2021-10-01,0.033,0.04,0.039,0.084,0.804
2022-01-01,0.03,0.04,0.04,0.084,0.806
2022-04-01,0.031,0.04,0.041,0.085,0.803
2022-07-01,0.031,0.041,0.042,0.087,0.799
2022-10-01,0.031,0.041,0.042,0.087,0.799
