ID,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2023 dollars),Cost/km (2023 dollars),Source2,Reference,,
,KR,Seoul,Line 9,Line 9 Phase 1,,,0,25.1,95.62%,24,,,25,160,,"3,464,064",KRW,,,,,1,25.1,24,0,#N/A,,,,https://www.researchgate.net/publication/270429893_Delivery_of_subway_line_9_in_Seoul_South_Korea_-_lessons_in_public-private_partnering,,
,KR,Seoul,Line 7,Line 7 Extension 2,2022,,0,10.7,,,,,7,160,,"1,573,900",KRW,2021,0.0012,1888.68,176.5,1,10.7,0,0,1.124486105,"2,123.80",198.5,,http://www.incheonin.com/news/articleView.html?idxno=86255,,
,KR,Seoul,Line 9,Line 9 Phase 4,2021,2028,0,4.1,100.00%,4.1,,,4,160,,"640,800",KRW,2021,0.0012,768.96,187.6,1,4.1,4.1,0,1.124486105,864.7,210.9,,http://www.redaily.co.kr/news/articleView.html?idxno=571,,
7832,CN,Beijing,Line 6,Line 6 Phase 1,2008,2012,0,30.4,100%,30.4,,,20,156,Wiki,"28,000.00",CNY,2010,0.3,8400,276.3,0,0,0,0,1.397356642,"11,737.80",386.1,Media,http://zqb.cyol.com/html/2012-12/31/nw.D110000zgqnb_20121231_3-06.htm,,
8088,CN,Wuhan,Line 2,Line 2 Northern Extension,2016,,0,19.8,69%,13.7,,,7,156,,"9,437.00",CNY,2016,0.251,2368.69,119.6,0,0,0,0,1.269554638,"3,007.20",151.9,,http://hb.sina.com.cn/news/b/2013-06-03/070979213.html,,
,CN,Beijing,Line 6,Line 6 Phase 2,2011,2014,0,12.4,100%,12.4,,,8,156,,"6,000.00",CNY,2013,0.273,1638,132.1,0,0,0,0,1.307975292,"2,142.50",172.8,,http://politics.people.com.cn/n/2014/1105/c70731-25980932.html,,
7256,IT,Rome,Line B1,Line B1 extension,2005,2015,0,4.7,100.00%,4.7,0,0,3,150,agency,761,EUR,2012,1.3,989.3,210.5,1,4.7,4.7,0,1.327133984,"1,312.90",279.3,Plan,https://www.comune.roma.it/PCR/resources/cms/documents/B1schedaillustrativaintervento.pdf,,
7217,SE,Stockholm,Arenastaden,Arenastaden,2020,2030,0,4.1,100.00%,4.1,0,0,2,140,Plan,"5,643",SEK,2016,0.113,637.659,155.5,1,4.1,4.1,0,1.269554638,809.5,197.4,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf,,
7218,SE,Stockholm,Nacka/Söderort,Nacka/Söderort,2020,2030,0,11.5,100.00%,11.5,0,0,6,140,Plan,"20,884",SEK,2016,0.113,2359.892,205.2,1,11.5,11.5,0,1.269554638,"2,996.00",260.5,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf,,
7219,SE,Stockholm,Barkarby,Barkarby,2020,2026,0,3.3,100.00%,3.3,0,0,2,140,Plan,"5,286",SEK,2016,0.113,597.318,181,1,3.3,3.3,0,1.269554638,758.3,229.8,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf,,
7618,TR,Istanbul,M5,M5 Phase 1,2011,2018,0,19.7,100.00%,19.7,0,0,16,140,Plan,866,USD,2015,2.3,1991.8,101.1,1,19.7,19.7,0,1.285570233,"2,560.60",130,Media,http://www.uskudarumraniyecekmekoymetrosu.com/ana-sayfa/projenin-tarihcesi.aspx,,
9507,TR,Istanbul,M5,M5 Phase 2-M13,2016,2027,0,17.8,100.00%,17.8,0,0,13,140,Plan,657,USD,2019,3,1971,110.7,1,17.8,17.8,0,1.191839066,"2,349.10",132,Plan,https://ekap.kik.gov.tr/EKAP/Ortak/IhaleArama/index.html,,
7689,CN,Shanghai,Line 9,Line 9 Phase 3 Eastern Extension,2013,2017,0,13.828,100%,13.828,,,9,138,,"12,713.00",CNY,2015,0.258,3279.95,237.2,0,0,0,0,1.285570233,"4,216.60",304.9,Plan,https://www.pudong.gov.cn/zwgkupfiles/temp/2021-11-10/2c4b9a67-37b0-4046-a0ca-7cdc4d3b0d27/46%E5%8F%B7.pdf,https://web.archive.org/web/20201108201629/http://news.sina.com.cn/o/2017-12-27/doc-ifyqchnr6135266.shtml,
7690,CN,Shanghai,Line 10,Line 10 Phase 1,2005,2010,0,36.221,100.00%,36.221,0,0,31,138,Wiki,"23,784.00",CNY,2007,0.333,7920.07,218.7,0,0,0,0,1.469562366,"11,639.00",321.3,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A10%E5%8F%B7%E7%BA%BF,,
