Selected Geographies,Total,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)","Car, truck, or van",Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar, or trolley",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Worked from home,Other method
"NYC-Bronx Community District 8--Riverdale, Kingsbridge, & Marble Hill PUMA; New York",16115,0,2238,1785,10710,966,0,0,0,0,0,315,0,101
"NYC-Bronx Community District 12--Wakefield, Williamsbridge, & Eastchester PUMA; New York",17804,0,3249,2173,10454,1133,103,0,151,0,0,541,0,0
"NYC-Queens Community District 9--Kew Gardens, Richmond Hill, & Woodhaven PUMA; New York",15033,0,2133,2301,9825,327,0,0,0,0,0,151,0,296
NYC-Brooklyn Community District 5--East New York & Cypress Hills PUMA; New York,13830,0,1471,1836,9748,0,0,0,96,0,47,148,0,484
NYC-Queens Community District 10--South Ozone Park & Howard Beach PUMA; New York,15451,0,2653,3306,8816,429,0,0,52,0,0,103,0,92
"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA; New York",17120,0,3329,4591,8539,117,0,0,443,0,0,101,0,0
NYC-Bronx Community District 10--Co-op City & Throgs Neck PUMA; New York,18249,0,6205,2932,8422,72,0,358,95,165,0,0,0,0
NYC-Bronx Community District 11--Pelham Parkway & Morris Park PUMA; New York,14156,0,3323,2344,7922,0,0,133,147,0,80,159,0,48
NYC-Brooklyn Community District 12--Borough Park & Kensington PUMA; New York,11113,0,2301,670,7762,0,0,0,0,0,186,194,0,0
"NYC-Queens Community District 8--Fresh Meadows, Hillcrest, & Briarwood PUMA; New York",13997,0,2579,3160,7550,513,132,0,0,0,63,0,0,0
"NYC-Queens Community District 13--Queens Village, Bellerose, & Rosedale PUMA; New York",17694,0,5126,3777,7444,842,278,0,0,0,0,227,0,0
NYC-Brooklyn Community District 16--Ocean Hill & Brownsville PUMA; New York,7664,0,0,835,6829,0,0,0,0,0,0,0,0,0
Hudson County (Central)--Jersey City (South) PUMA; New Jersey,11551,0,1816,849,6322,654,1701,209,0,0,0,0,0,0
NYC-Brooklyn Community District 13--Coney Island & Brighton Beach PUMA; New York,8530,0,1585,1276,5579,90,0,0,0,0,0,0,0,0
Westchester County (Southwest)--Yonkers City PUMA; New York,16877,0,6155,1652,5160,3803,0,0,0,0,0,0,0,107
Hudson County (Northeast)--Union City & Hoboken PUMA; New Jersey,20092,0,1042,10407,4974,1018,103,1879,123,0,0,231,0,315
