year,Catetory,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
2016,65-74,100,100,99.854973,98.87635,98.622246,10.517151,9.7101364,2.6768227,15.205675,13.28091,29.732738,12.481807,49.769325,8.3781986,50.364788,93.551308,79.076149,86.811852,21.496916,8.6185656,13.260619,9.1101608,80.158897,70.142403,38.823372,5.7533984,33.740734,1.1448585,42.136124,3.7496505,35.151062,6.4840693,27.190857,3.4310348,7.2572713
2016,75 or older,100,100,99.364967,98.372612,97.775208,14.471414,9.1309433,2.3546791,19.599201,15.642871,29.537186,12.623638,40.848179,8.5787115,48.878708,93.164825,83.101364,82.245964,15.818087,10.194696,8.4963579,6.9555326,84.8564,49.771767,26.534758,2.7165201,19.30711,0.57702184,26.156895,1.5035161,23.172222,4.7785635,13.672016,1.0887517,7.0484214
2019,Less than 35,100,100,99.390251,98.02179,97.636154,3.4103937,6.2927117,0.33155704,13.815422,4.7819858,9.9366598,1.1216582,45.292141,9.7862654,47.776585,85.494736,36.193771,82.071907,3.2674716,2.0005684,6.6010642,4.6188498,45.151726,78.681091,30.333986,1.9348569,64.531845,2.2122262,47.558075,4.1865373,30.207441,0.40992698,40.101295,41.419914,12.106993
2019,35-44,100,100,99.512794,98.935684,98.590378,4.5476232,8.904089,0.25743642,14.280554,7.0447087,12.656351,2.0755956,55.785809,7.9802527,56.077801,92.07325,61.353065,85.293579,10.423974,4.9229941,15.637123,6.1140819,65.477074,87.241013,53.688103,5.408309,63.603447,1.6121985,50.486618,6.0309348,53.314335,2.9239838,45.215004,33.655029,12.1967
2019,45-54,100,100,99.689735,98.748009,98.380852,4.3530846,7.921751,0.58905858,14.517955,9.5569849,16.758196,2.3800375,57.87553,5.9275832,57.461182,93.747314,69.726624,90.542488,16.279833,7.1759853,18.123444,6.1387601,72.753235,85.581757,54.012863,6.3673563,61.372017,1.5051305,51.697792,8.4375029,52.824696,5.1976457,47.575871,23.298227,11.307931
2019,55-64,100,100,99.651207,98.585938,97.895477,8.504282,7.3935432,1.5266668,15.612869,10.598138,22.350939,7.0724459,54.473541,8.183795,54.917614,92.234825,74.076866,86.803795,18.576313,9.6778259,17.14642,6.6484909,76.152122,77.348488,46.223045,7.14013,47.442474,1.4716496,46.612663,5.0288057,43.369667,6.9403486,34.605465,12.182963,12.64715
2019,65-74,100,100,99.293724,98.715454,98.384781,11.793373,7.2408838,1.7027886,15.281793,13.250212,27.782818,12.517856,48.239304,8.1150484,51.543766,93.187141,78.356987,86.356155,17.680187,7.7343359,12.891604,10.592611,77.814445,69.953842,37.629471,4.5474248,34.166885,1.0224376,41.132927,4.4010582,33.205433,6.6308899,27.395052,4.1712441,8.0597239
2019,75 or older,100,100,100,99.486984,98.840775,18.381439,7.5821257,2.7250357,19.201662,10.841811,30.729704,14.590892,38.105156,8.6791019,47.005974,93.250458,82.3834,80.120171,15.357854,11.16676,10.078414,11.05977,84.198509,51.355476,27.716095,2.6201761,24.371519,0.75092673,27.995506,2.5432863,22.621857,6.181109,19.060068,1.8221568,5.5923986
2022,Less than 35,100,100,99.234451,98.501724,98.217117,1.6599553,2.8518169,0.42925987,23.138069,8.185545,5.6318574,2.3673837,49.632751,5.5838494,54.361206,86.597771,38.486744,80.693214,4.7319312,0.81830341,11.278783,12.920249,52.955257,86.080162,33.122799,3.2355042,71.425125,3.2783079,48.539845,4.7658691,33.122799,0.35596466,39.573444,40.089993,24.55327
2022,35-44,100,100,99.472084,98.877487,98.356865,4.4248538,6.460474,0.43631834,20.591743,10.28773,12.413172,1.0884025,61.526539,7.2300997,63.642502,92.314369,61.141182,86.954735,9.4158869,3.89223,15.680818,9.4059544,70.502625,87.321815,52.996117,4.1419463,64.929573,1.5374745,52.590611,6.1150346,52.503639,3.4844239,43.417431,34.112144,21.86323
