Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLU27 (Sep '27)",65.92,-1.1,65.92,65.92,65.92,67.02,N/A,N/A,2022-08-18
"CLV27 (Oct '27)",65.75,-1.11,65.75,65.75,65.75,66.86,N/A,N/A,2022-08-18
"CLX27 (Nov '27)",65.65,-1.12,65.65,65.65,65.65,66.77,N/A,100,2022-08-18
"CLZ27 (Dec '27)",65.53,-1.13,0,65.53,65.53,66.66,1,3172,2022-08-18
"CLF28 (Jan '28)",65.35,-1.13,65.35,65.35,65.35,66.48,N/A,101,2022-08-18
"CLG28 (Feb '28)",65.12,-1.14,65.12,65.12,65.12,66.26,N/A,N/A,2022-08-18
"CLH28 (Mar '28)",64.92,-1.14,64.92,64.92,64.92,66.06,N/A,N/A,2022-08-18
"CLJ28 (Apr '28)",64.78,-1.15,64.78,64.78,64.78,65.93,N/A,N/A,2022-08-18
"CLK28 (May '28)",64.63,-1.15,64.63,64.63,64.63,65.78,N/A,N/A,2022-08-18
"CLM28 (Jun '28)",64.57,-1.16,64.57,64.57,64.57,65.73,N/A,N/A,2022-08-18
"CLN28 (Jul '28)",64.51,-1.16,64.51,64.51,64.51,65.67,N/A,N/A,2022-08-18
"CLQ28 (Aug '28)",64.37,-1.16,64.37,64.37,64.37,65.53,N/A,N/A,2022-08-18
"CLU28 (Sep '28)",64.27,-1.17,64.27,64.27,64.27,65.44,N/A,N/A,2022-08-18
"CLV28 (Oct '28)",64.12,-1.17,64.12,64.12,64.12,65.29,N/A,N/A,2022-08-18
"CLX28 (Nov '28)",63.97,-1.18,63.97,63.97,63.97,65.15,N/A,N/A,2022-08-18
"CLZ28 (Dec '28)",63.84,-1.18,0,63.84,63.84,65.02,5,785,2022-08-18
"CLF29 (Jan '29)",63.74,-1.18,63.74,63.74,63.74,64.92,N/A,N/A,2022-08-18
"CLG29 (Feb '29)",63.67,-1.18,63.67,63.67,63.67,64.85,N/A,N/A,2022-08-18
"CLH29 (Mar '29)",63.64,-1.18,63.64,63.64,63.64,64.82,N/A,N/A,2022-08-18
"CLJ29 (Apr '29)",63.63,-1.18,63.63,63.63,63.63,64.81,N/A,N/A,2022-08-18
"CLK29 (May '29)",63.55,-1.18,63.55,63.55,63.55,64.73,N/A,N/A,2022-08-18
"CLM29 (Jun '29)",63.28,-1.18,63.28,63.28,63.28,64.46,N/A,N/A,2022-08-18
"CLN29 (Jul '29)",63.25,-1.18,63.25,63.25,63.25,64.43,N/A,N/A,2022-08-18
"CLQ29 (Aug '29)",63.16,-1.18,63.16,63.16,63.16,64.34,N/A,N/A,2022-08-18
"CLU29 (Sep '29)",63.05,-1.18,63.05,63.05,63.05,64.23,N/A,N/A,2022-08-18
"CLV29 (Oct '29)",62.98,-1.18,62.98,62.98,62.98,64.16,N/A,N/A,2022-08-18
"CLX29 (Nov '29)",62.91,-1.18,62.91,62.91,62.91,64.09,N/A,N/A,2022-08-18
"CLZ29 (Dec '29)",62.84,-1.18,0,62.84,62.84,64.02,0,6,2022-08-18
"CLF30 (Jan '30)",62.79,-1.18,62.79,62.79,62.79,63.97,N/A,N/A,2022-08-18
"CLG30 (Feb '30)",62.73,-1.18,62.73,62.73,62.73,63.91,N/A,N/A,2022-08-18
"CLH30 (Mar '30)",62.64,-1.18,62.64,62.64,62.64,63.82,N/A,N/A,2022-08-18
"CLJ30 (Apr '30)",62.56,-1.18,62.56,62.56,62.56,63.74,N/A,N/A,2022-08-18
"CLK30 (May '30)",62.48,-1.18,62.48,62.48,62.48,63.66,N/A,N/A,2022-08-18
"CLM30 (Jun '30)",62.41,-1.18,0,62.41,62.41,63.59,0,0,2022-08-18
"CLN30 (Jul '30)",62.63,-1.18,62.63,62.63,62.63,63.81,N/A,N/A,2022-08-18
"CLQ30 (Aug '30)",62.6,-1.18,62.6,62.6,62.6,63.78,N/A,N/A,2022-08-18
