Descriptores,Originales|2024|Variación porcentual anual|T1,Originales|2024|Variación porcentual anual|T2,Originales|2024|Variación porcentual anual|T3,Originales|2024|Variación porcentual anual|T4,Originales|2024|Variación porcentual anual|6 Meses,Originales|2024|Variación porcentual anual|9 Meses,Originales|2024|Variación porcentual anual|Anual,Desestacionalizada|2024|Variación porcentual anual|T1,Desestacionalizada|2024|Variación porcentual anual|T2,Desestacionalizada|2024|Variación porcentual anual|T3,Desestacionalizada|2024|Variación porcentual anual|T4,Desestacionalizada|2024|Variación porcentual trimestral|T1,Desestacionalizada|2024|Variación porcentual trimestral|T2,Desestacionalizada|2024|Variación porcentual trimestral|T3,Desestacionalizada|2024|Variación porcentual trimestral|T4,Desestacionalizada|2024|Variación porcentual trimestral|6 Meses,Desestacionalizada|2024|Variación porcentual trimestral|9 Meses
Producto interno bruto,,,,0.5676095478161898,,,1.4736423678674555,,,,0.620202510841537,,,,-0.5521557846365255,,
Producto interno bruto|Actividades primarias,,,,-4.554153966677376,,,-2.4637218539303376,,,,-4.585792316920717,,,,-8.889963634279766,,
Producto interno bruto|Actividades secundarias,,,,-1.7389657383914425,,,0.296595442131931,,,,-1.6902134325791138,,,,-1.2113182843488772,,
Producto interno bruto|Actividades terciarias,,,,2.1032983198644786,,,2.3379969999939334,,,,2.152166285616005,,,,0.21586139802695925,,
