Descriptores,2015|T1,2015|T2,2015|T3,2015|T4,2016|T1,2016|T2,2016|T3,2016|T4,2017|T1,2017|T2,2017|T3,2017|T4,2018|T1,2018|T2,2018|T3,2018|T4,2019|T1,2019|T2,2019|T3,2019|T4,2020|T1,2020|T2,2020|T3,2020|T4,2021|T1,2021|T2,2021|T3,2021|T4,2022|T1,2022|T2,2022|T3,2022|T4,2023|T1,2023|T2,2023|T3,2023|T4,2024|T1,2024|T2,2024|T3,2024|T4,2025|T1,2025|T2,2025|T3,2025|T4
Variación porcentual anual|Originales|Producto interno bruto,2.885551166527,2.342555558336,3.385528978272,2.217355436769,1.657568496241,2.262996477747,0.881271607797,2.277938039922,3.412348749095,1.499887621529,1.192027556955,1.444087630682,1.125482203435,2.890692678574,2.750055973517,1.13664175282,0.943048830449,-0.987338919454,-0.4656273643,-1.011005986017,-1.432444654578,-20.29436327362,-8.127413807142,-3.496886823066,-2.594806075276,22.70224391358,5.130386872961,1.892619452066,2.627984564461,2.903420919229,4.671980421347,4.604534881291,3.87777484909,3.481892710479,3.613648453403,2.486291119645,1.523706050689,2.233874492316,1.619765460963,0.357457665688,0.799176075537,0.05935867844659981,,
Variación porcentual anual|Originales|Producto interno bruto|Actividades primarias,5.300846547691,-0.824209449478,-1.457602685728,4.249102645118,-1.06320970553,2.754835496898,6.488508448918,3.590986795296,5.693522818693,2.66500597189,0.29448791695,4.223604863408,4.527614677021,3.973535716696,0.246333959538,1.154715136329,2.16497902281,-0.584777280233,1.799537814637,-1.504480261037,-1.16315847839,-1.223089677509,5.745838084592,1.658522562712,0.612543737919,6.262875819345,-1.382633037403,3.142442129449,0.529347994306,-0.511925676775,0.644178907716,4.972359295339,1.286227654157,0.357465858477,0.737378086812,-5.568666453774,-4.842965287494,-4.468137370518,2.545223729702,-5.51005690832,7.169071021528,4.094218382296731,,
Variación porcentual anual|Originales|Producto interno bruto|Actividades secundarias,2.051809981798,0.677726877515,3.40016966709,1.162870036626,1.108337595206,1.591260645965,-1.468876026816,-0.010028423762,2.361284831336,-0.07928411424,0.338183402074,-0.065511145758,-1.30919303393,1.437248081751,1.33485676145,-0.811223453251,-0.14173499645,-1.998143146925,-1.742438683332,-3.058788502127,-2.588416997467,-24.380570551389,-7.244075131002,-0.806148670462,-1.672975677235,27.192453035631,3.465117798251,0.879029782517,4.278256265848,4.54619799068,5.222952749322,4.958715309657,2.985619401183,3.293403373059,4.003703354924,3.677946186569,0.776867602879,1.817766810711,0.573961740342,-2.072215641169,-0.740110337037,-1.5031205214959442,,
Variación porcentual anual|Originales|Producto interno bruto|Actividades terciarias,3.209330690181,3.288016121169,3.335956763222,2.307813381117,2.032860133014,2.602635965534,1.879571035078,3.543833714892,3.867153398858,2.211711033445,1.732743053551,2.216339600646,2.23675554319,3.728332353535,3.671504179622,2.030324822257,1.432864758171,-0.556141407767,0.058517261881,0.009571203334,-0.611758346841,-18.26770896284,-8.847821723923,-4.788846947037,-2.877139745656,20.575554326529,5.787172496574,1.627113327815,1.509647877989,1.839124471215,4.429191516988,4.403551732023,4.204394737636,3.706933284716,3.583074938667,2.405491335688,2.259442119946,2.854645367013,2.179535222562,1.977460424223,1.299926566452,0.6640014214993357,,
Variación porcentual anual|Desestacionalizada|Producto interno bruto,2.802316798459,2.397451542443,3.437110811893,2.265225905643,1.717476311137,1.1911902897,0.912181056837,2.341190004084,2.982320247138,2.736595276073,1.211695749502,1.493968667121,2.207982406538,1.714891775231,2.755097788929,1.161129520665,-0.093030332098,-0.014985242708,-0.460474204379,-0.981142367677,-2.141009911957,-20.460899254614,-8.136151160169,-3.442154943969,-1.588694297903,22.532088487099,5.085012307393,1.937057135996,2.69669846995,2.895889028657,4.569845333845,4.642495447942,3.903265961921,3.562927449209,3.468701171615,2.523260176346,1.783255907402,1.162283937939,1.485620905551,0.410604347486,0.569131883745,1.1854205313997568,,
