Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"ZQN22 (Jul '22)",98.295,-0.0024999999999977,98.2975,98.2975,98.2925,98.2975,6281,377385,"03:47 CT"
"ZQQ22 (Aug '22)",97.49,-0.010000000000005,97.505,97.51,97.485,97.5,24878,310108,"03:45 CT"
"ZQU22 (Sep '22)",97.275,-0.0099999999999909,97.28,97.285,97.26,97.285,2831,128513,"03:37 CT"
"ZQV22 (Oct '22)",96.755,-0.030000000000001,96.78,96.78,96.735,96.785,5573,203433,"03:47 CT"
"ZQX22 (Nov '22)",96.445,-0.040000000000006,96.47,96.475,96.415,96.485,3717,204519,"03:43 CT"
"ZQZ22 (Dec '22)",96.355,-0.039999999999992,96.38,96.38,96.33,96.395,771,75810,"03:38 CT"
"ZQF23 (Jan '23)",96.3,-0.045000000000002,96.335,96.335,96.275,96.345,3349,193749,"03:47 CT"
"ZQG23 (Feb '23)",96.315,-0.055000000000007,96.33,96.36,96.29,96.37,1046,88729,"03:41 CT"
"ZQH23 (Mar '23)",96.335,-0.060000000000002,96.355,96.39,96.31,96.395,288,23919,"03:37 CT"
"ZQJ23 (Apr '23)",96.37,-0.074999999999989,96.415,96.44,96.35,96.445,1661,34273,"03:48 CT"
"ZQK23 (May '23)",96.46,-0.090000000000003,96.5,96.545,96.445,96.55,803,24514,"03:38 CT"
"ZQM23 (Jun '23)",96.52,-0.094999999999999,96.6,96.61,96.515,96.615,552,8392,"03:41 CT"
"ZQN23 (Jul '23)",96.595,-0.094999999999999,96.65,96.675,96.585,96.69,491,12211,"03:28 CT"
"ZQQ23 (Aug '23)",96.675,-0.10000000000001,96.76,96.76,96.665,96.775,156,9930,"03:00 CT"
"ZQU23 (Sep '23)",96.81,0,96.765,96.93,96.705,96.81,66,0,2022-07-14
"ZQV23 (Oct '23)",96.875,0,96.935,97,96.76,96.875,983,0,2022-07-14
"ZQX23 (Nov '23)",96.96,0,96.93,97.08,96.85,96.96,605,0,2022-07-14
"ZQZ23 (Dec '23)",96.935,-0.07,96.935,96.935,96.935,97.005,2,715,"01:33 CT"
"ZQF24 (Jan '24)",97.04,0,97.045,97.135,96.935,97.04,351,0,2022-07-14
"ZQG24 (Feb '24)",97.115,0,97.115,97.18,97.01,97.115,177,0,2022-07-14
"ZQH24 (Mar '24)",97.155,0,97.155,97.155,97.155,97.155,0,8,2022-07-14
"ZQJ24 (Apr '24)",97.165,0,97.165,97.165,97.165,97.165,0,21,2022-07-14
"ZQK24 (May '24)",97.19,0,97.19,97.19,97.19,97.19,0,1,2022-07-14
"ZQM24 (Jun '24)",97.21,-0.060000000000002,97.21,97.21,97.21,97.27,N/A,N/A,2022-07-13
"ZQN24 (Jul '24)",97.27,-0.060000000000002,97.27,97.27,97.27,97.33,N/A,N/A,2022-07-13
"ZQQ24 (Aug '24)",97.27,-0.060000000000002,97.27,97.27,97.27,97.33,N/A,N/A,2022-07-13
"ZQU24 (Sep '24)",97.27,-0.060000000000002,97.27,97.27,97.27,97.33,N/A,N/A,2022-07-13
"ZQV24 (Oct '24)",97.27,-0.060000000000002,97.27,97.27,97.27,97.33,N/A,N/A,2022-07-13
"ZQX24 (Nov '24)",97.27,-0.060000000000002,97.27,97.27,97.27,97.33,N/A,N/A,2022-07-13
"ZQZ24 (Dec '24)",97.285,0,97.285,97.34,97.285,97.285,0,55,2022-07-14
"ZQF25 (Jan '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,1,2022-07-13
"ZQG25 (Feb '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQH25 (Mar '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQJ25 (Apr '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQK25 (May '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQM25 (Jun '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQN25 (Jul '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQQ25 (Aug '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQU25 (Sep '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQV25 (Oct '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQX25 (Nov '25)",97.395,0.030000000000001,97.395,97.395,97.395,97.365,N/A,N/A,2022-07-13
"ZQZ25 (Dec '25)",97.275,0.030000000000001,97.275,97.275,97.275,97.245,N/A,N/A,2022-07-13
"ZQF26 (Jan '26)",97.175,0.030000000000001,97.175,97.175,97.175,97.145,N/A,N/A,2022-07-13
"ZQG26 (Feb '26)",97.175,0.030000000000001,97.175,97.175,97.175,97.145,N/A,N/A,2022-07-13
"ZQH26 (Mar '26)",97.175,0.030000000000001,97.175,97.175,97.175,97.145,N/A,N/A,2022-07-13
"ZQJ26 (Apr '26)",97.175,0.030000000000001,97.175,97.175,97.175,97.145,N/A,N/A,2022-07-13
"ZQK26 (May '26)",97.175,0.030000000000001,97.175,97.175,97.175,97.145,N/A,N/A,2022-07-13
"ZQM26 (Jun '26)",97.175,0.030000000000001,97.175,97.175,97.175,97.145,N/A,N/A,2022-07-13
"ZQN26 (Jul '26)",97.175,0.030000000000001,97.175,97.175,97.175,97.145,N/A,N/A,2022-07-13
"ZQQ26 (Aug '26)",97.095,0.030000000000001,97.095,97.095,97.095,97.065,N/A,N/A,2022-07-13
"ZQU26 (Sep '26)",97.095,0.030000000000001,97.095,97.095,97.095,97.065,N/A,N/A,2022-07-13
"ZQV26 (Oct '26)",97.09,0.030000000000001,97.09,97.09,97.09,97.06,N/A,N/A,2022-07-13
"ZQX26 (Nov '26)",97.07,0.029999999999987,97.07,97.07,97.07,97.04,N/A,N/A,2022-07-13
"ZQZ26 (Dec '26)",97.05,0.030000000000001,97.05,97.05,97.05,97.02,N/A,N/A,2022-07-13
"ZQF27 (Jan '27)",97.035,0.030000000000001,97.035,97.035,97.035,97.005,N/A,N/A,2022-07-13
"ZQG27 (Feb '27)",97.02,0.030000000000001,97.02,97.02,97.02,96.99,N/A,N/A,2022-07-13
"ZQH27 (Mar '27)",97.005,0.030000000000001,97.005,97.005,97.005,96.975,N/A,N/A,2022-07-13
"ZQJ27 (Apr '27)",96.965,0.030000000000001,96.965,96.965,96.965,96.935,N/A,N/A,2022-07-13
"ZQK27 (May '27)",96.94,0.030000000000001,96.94,96.94,96.94,96.91,N/A,N/A,2022-07-13
"ZQM27 (Jun '27)",96.92,0.030000000000001,96.92,96.92,96.92,96.89,N/A,N/A,2022-07-13
"Downloaded from Barchart.com as of 07-14-2022 03:59am CDT"
