Date,Layoffs
2022-01-01,510
2022-02-01,3625
2022-03-01,5694
2022-04-01,4064
2022-05-01,12535
2022-06-01,17584
2022-07-01,16223
2022-08-01,13095
2022-09-01,5881
2022-10-01,12563
2022-11-01,42356
