Date,Layoffs
2022-01-01,510
2022-02-01,3625
2022-03-01,5694
2022-04-01,4064
2022-05-01,12535
2022-06-01,17584
2022-07-01,16223
2022-08-01,13095
2022-09-01,5881
2022-10-01,20471
2022-11-01,53569
2022-12-01,10329
2023-01-01,89554
2023-02-01,40021
2023-03-01,37823
2023-04-01,20014
2023-05-01,14928
2023-06-01,10958
2023-07-01,9991
