observation_date,PCEPI,Nintendo,Nintendo,Microsoft,Microsoft,Sony,Sony
1959-01-01,16.074,,,,,,
1959-02-01,16.089,,,,,,
1959-03-01,16.100,,,,,,
1959-04-01,16.132,,,,,,
1959-05-01,16.140,,,,,,
1959-06-01,16.186,,,,,,
1959-07-01,16.220,,,,,,
1959-08-01,16.244,,,,,,
1959-09-01,16.286,,,,,,
1959-10-01,16.326,,,,,,
1959-11-01,16.336,,,,,,
1959-12-01,16.355,,,,,,
1960-01-01,16.346,,,,,,
1960-02-01,16.363,,,,,,
1960-03-01,16.372,,,,,,
1960-04-01,16.432,,,,,,
1960-05-01,16.449,,,,,,
1960-06-01,16.456,,,,,,
1960-07-01,16.485,,,,,,
1960-08-01,16.513,,,,,,
1960-09-01,16.523,,,,,,
1960-10-01,16.542,,,,,,
1960-11-01,16.598,,,,,,
1960-12-01,16.601,,,,,,
1961-01-01,16.604,,,,,,
1961-02-01,16.620,,,,,,
1961-03-01,16.610,,,,,,
1961-04-01,16.600,,,,,,
1961-05-01,16.609,,,,,,
1961-06-01,16.617,,,,,,
1961-07-01,16.653,,,,,,
1961-08-01,16.667,,,,,,
1961-09-01,16.686,,,,,,
1961-10-01,16.685,,,,,,
1961-11-01,16.686,,,,,,
1961-12-01,16.690,,,,,,
1962-01-01,16.721,,,,,,
1962-02-01,16.767,,,,,,
1962-03-01,16.789,,,,,,
1962-04-01,16.808,,,,,,
1962-05-01,16.818,,,,,,
1962-06-01,16.829,,,,,,
1962-07-01,16.819,,,,,,
1962-08-01,16.844,,,,,,
1962-09-01,16.927,,,,,,
1962-10-01,16.909,,,,,,
1962-11-01,16.922,,,,,,
1962-12-01,16.914,,,,,,
1963-01-01,16.956,,,,,,
1963-02-01,16.974,,,,,,
1963-03-01,16.961,,,,,,
1963-04-01,16.960,,,,,,
1963-05-01,16.987,,,,,,
1963-06-01,17.024,,,,,,
1963-07-01,17.058,,,,,,
1963-08-01,17.081,,,,,,
1963-09-01,17.078,,,,,,
1963-10-01,17.111,,,,,,
1963-11-01,17.135,,,,,,
1963-12-01,17.161,,,,,,
1964-01-01,17.197,,,,,,
1964-02-01,17.221,,,,,,
1964-03-01,17.231,,,,,,
1964-04-01,17.245,,,,,,
1964-05-01,17.246,,,,,,
1964-06-01,17.271,,,,,,
1964-07-01,17.293,,,,,,
1964-08-01,17.306,,,,,,
1964-09-01,17.333,,,,,,
1964-10-01,17.343,,,,,,
1964-11-01,17.368,,,,,,
1964-12-01,17.393,,,,,,
1965-01-01,17.412,,,,,,
1965-02-01,17.419,,,,,,
1965-03-01,17.442,,,,,,
1965-04-01,17.469,,,,,,
1965-05-01,17.508,,,,,,
1965-06-01,17.559,,,,,,
1965-07-01,17.572,,,,,,
1965-08-01,17.576,,,,,,
1965-09-01,17.584,,,,,,
1965-10-01,17.590,,,,,,
1965-11-01,17.620,,,,,,
1965-12-01,17.684,,,,,,
1966-01-01,17.704,,,,,,
1966-02-01,17.778,,,,,,
1966-03-01,17.821,,,,,,
1966-04-01,17.883,,,,,,
1966-05-01,17.905,,,,,,
1966-06-01,17.950,,,,,,
1966-07-01,17.984,,,,,,
1966-08-01,18.053,,,,,,
1966-09-01,18.110,,,,,,
1966-10-01,18.158,,,,,,
1966-11-01,18.185,,,,,,
1966-12-01,18.222,,,,,,
1967-01-01,18.224,,,,,,
1967-02-01,18.245,,,,,,
1967-03-01,18.255,,,,,,
1967-04-01,18.285,,,,,,
1967-05-01,18.320,,,,,,
1967-06-01,18.379,,,,,,
1967-07-01,18.441,,,,,,
1967-08-01,18.499,,,,,,
1967-09-01,18.555,,,,,,
1967-10-01,18.606,,,,,,
1967-11-01,18.668,,,,,,
1967-12-01,18.698,,,,,,
1968-01-01,18.784,,,,,,
1968-02-01,18.861,,,,,,
1968-03-01,18.923,,,,,,
1968-04-01,18.982,,,,,,
1968-05-01,19.052,,,,,,
1968-06-01,19.113,,,,,,
1968-07-01,19.171,,,,,,
1968-08-01,19.250,,,,,,
1968-09-01,19.317,,,,,,
1968-10-01,19.402,,,,,,
1968-11-01,19.467,,,,,,
1968-12-01,19.508,,,,,,
1969-01-01,19.584,,,,,,
1969-02-01,19.633,,,,,,
1969-03-01,19.726,,,,,,
1969-04-01,19.812,,,,,,
1969-05-01,19.892,,,,,,
1969-06-01,19.989,,,,,,
1969-07-01,20.076,,,,,,
1969-08-01,20.132,,,,,,
1969-09-01,20.216,,,,,,
1969-10-01,20.285,,,,,,
1969-11-01,20.372,,,,,,
1969-12-01,20.465,,,,,,
1970-01-01,20.539,,,,,,
1970-02-01,20.620,,,,,,
1970-03-01,20.672,,,,,,
1970-04-01,20.776,,,,,,
1970-05-01,20.842,,,,,,
1970-06-01,20.896,,,,,,
1970-07-01,20.973,,,,,,
1970-08-01,21.028,,,,,,
1970-09-01,21.122,,,,,,
1970-10-01,21.227,,,,,,
1970-11-01,21.310,,,,,,
1970-12-01,21.405,,,,,,
1971-01-01,21.450,,,,,,
1971-02-01,21.513,,,,,,
1971-03-01,21.584,,,,,,
1971-04-01,21.669,,,,,,
1971-05-01,21.759,,,,,,
1971-06-01,21.855,,,,,,
1971-07-01,21.921,,,,,,
1971-08-01,21.985,,,,,,
1971-09-01,22.018,,,,,,
1971-10-01,22.052,,,,,,
1971-11-01,22.097,,,,,,
1971-12-01,22.184,,,,,,
1972-01-01,22.275,,,,,,
1972-02-01,22.363,,,,,,
1972-03-01,22.395,,,,,,
1972-04-01,22.429,,,,,,
1972-05-01,22.478,,,,,,
1972-06-01,22.513,,,,,,
1972-07-01,22.593,,,,,,
1972-08-01,22.659,,,,,,
1972-09-01,22.760,,,,,,
1972-10-01,22.786,,,,,,
1972-11-01,22.854,,,,,,
1972-12-01,22.927,,,,,,
1973-01-01,22.996,,,,,,
1973-02-01,23.117,,,,,,
1973-03-01,23.280,,,,,,
1973-04-01,23.454,,,,,,
1973-05-01,23.569,,,,,,
1973-06-01,23.704,,,,,,
1973-07-01,23.790,,,,,,
1973-08-01,24.064,,,,,,
1973-09-01,24.160,,,,,,
1973-10-01,24.296,,,,,,
1973-11-01,24.495,,,,,,
1973-12-01,24.697,,,,,,
1974-01-01,24.934,,,,,,
1974-02-01,25.224,,,,,,
1974-03-01,25.517,,,,,,
1974-04-01,25.697,,,,,,
1974-05-01,25.950,,,,,,
1974-06-01,26.170,,,,,,
1974-07-01,26.363,,,,,,
1974-08-01,26.639,,,,,,
1974-09-01,26.916,,,,,,
1974-10-01,27.108,,,,,,
1974-11-01,27.312,,,,,,
1974-12-01,27.528,,,,,,
1975-01-01,27.698,,,,,,
1975-02-01,27.849,,,,,,
1975-03-01,27.943,,,,,,
1975-04-01,28.039,,,,,,
1975-05-01,28.150,,,,,,
1975-06-01,28.326,,,,,,
1975-07-01,28.569,,,,,,
1975-08-01,28.693,,,,,,
1975-09-01,28.835,,,,,,
1975-10-01,29.003,,,,,,
1975-11-01,29.189,,,,,,
1975-12-01,29.350,,,,,,
1976-01-01,29.462,,,,,,
1976-02-01,29.500,,,,,,
1976-03-01,29.544,,,,,,
1976-04-01,29.611,,,,,,
1976-05-01,29.752,,,,,,
1976-06-01,29.882,,,,,,
1976-07-01,30.033,,,,,,
1976-08-01,30.199,,,,,,
1976-09-01,30.369,,,,,,
1976-10-01,30.528,,,,,,
1976-11-01,30.667,,,,,,
1976-12-01,30.839,,,,,,
1977-01-01,31.017,,,,,,
1977-02-01,31.260,,,,,,
1977-03-01,31.417,,,,,,
1977-04-01,31.600,,,,,,
1977-05-01,31.760,,,,,,
1977-06-01,31.937,,,,,,
1977-07-01,32.103,,,,,,
1977-08-01,32.253,,,,,,
1977-09-01,32.374,,,,,,
1977-10-01,32.524,,,,,,
1977-11-01,32.712,,,,,,
1977-12-01,32.870,,,,,,
1978-01-01,33.064,,,,,,
1978-02-01,33.218,,,,,,
1978-03-01,33.433,,,,,,
1978-04-01,33.686,,,,,,
1978-05-01,33.927,,,,,,
1978-06-01,34.149,,,,,,
1978-07-01,34.336,,,,,,
1978-08-01,34.509,,,,,,
1978-09-01,34.706,,,,,,
1978-10-01,34.981,,,,,,
1978-11-01,35.180,,,,,,
1978-12-01,35.345,,,,,,
1979-01-01,35.611,,,,,,
1979-02-01,35.802,,,,,,
1979-03-01,36.081,,,,,,
1979-04-01,36.457,,,,,,
1979-05-01,36.835,,,,,,
1979-06-01,37.138,,,,,,
1979-07-01,37.422,,,,,,
1979-08-01,37.708,,,,,,
1979-09-01,38.041,,,,,,
1979-10-01,38.351,,,,,,
1979-11-01,38.617,,,,,,
1979-12-01,38.942,,,,,,
1980-01-01,39.349,,,,,,
1980-02-01,39.776,,,,,,
1980-03-01,40.264,,,,,,
1980-04-01,40.475,,,,,,
1980-05-01,40.790,,,,,,
1980-06-01,41.047,,,,,,
1980-07-01,41.365,,,,,,
1980-08-01,41.711,,,,,,
1980-09-01,42.096,,,,,,
1980-10-01,42.434,,,,,,
1980-11-01,42.779,,,,,,
1980-12-01,43.057,,,,,,
1981-01-01,43.470,,,,,,
1981-02-01,43.910,,,,,,
1981-03-01,44.216,,,,,,
1981-04-01,44.409,,,,,,
1981-05-01,44.609,,,,,,
1981-06-01,44.787,,,,,,
1981-07-01,45.057,,,,,,
1981-08-01,45.338,,,,,,
1981-09-01,45.613,,,,,,
1981-10-01,45.820,,,,,,
1981-11-01,46.065,,,,,,
1981-12-01,46.208,,,,,,
1982-01-01,46.483,,,,,,
1982-02-01,46.622,,,,,,
1982-03-01,46.742,,,,,,
1982-04-01,46.766,,,,,,
1982-05-01,47.043,,,,,,
1982-06-01,47.384,,,,,,
1982-07-01,47.665,,,,,,
1982-08-01,47.813,,,,,,
1982-09-01,47.946,,,,,,
1982-10-01,48.215,,,,,,
1982-11-01,48.359,,,,,,
1982-12-01,48.432,,,,,,
1983-01-01,48.659,,,,,,
1983-02-01,48.741,,,,,,
1983-03-01,48.804,,,,,,
1983-04-01,49.027,,,,,,
1983-05-01,49.166,,,,,,
1983-06-01,49.349,,,,,,
1983-07-01,49.627,,,,,,
1983-08-01,49.840,,,,,,
1983-09-01,50.014,,,,,,
1983-10-01,50.099,,,,,,
1983-11-01,50.170,,,,,,
1983-12-01,50.198,,,,,,
1984-01-01,50.416,,,,,,
1984-02-01,50.755,,,,,,
1984-03-01,50.922,,,,,,
1984-04-01,51.115,,,,,,
1984-05-01,51.180,,,,,,
1984-06-01,51.271,,,,,,
1984-07-01,51.455,,,,,,
1984-08-01,51.613,,,,,,
1984-09-01,51.683,,,,,,
1984-10-01,51.805,,,,,,
1984-11-01,51.877,,,,,,
1984-12-01,52.023,,,,,,
1985-01-01,52.283,$49.99,$109.07,,,,
1985-02-01,52.527,$49.99,$108.57,,,,
1985-03-01,52.732,$49.99,$108.14,,,,
1985-04-01,52.808,$49.99,$107.99,,,,
1985-05-01,52.934,$49.99,$107.73,,,,
1985-06-01,53.078,$49.99,$107.44,,,,
1985-07-01,53.208,$49.99,$107.18,,,,
1985-08-01,53.384,$49.99,$106.82,,,,
1985-09-01,53.474,$49.99,$106.64,,,,
1985-10-01,53.563,$49.99,$106.47,,,,
1985-11-01,53.719,$49.99,$106.16,,,,
1985-12-01,53.900,$49.99,$105.80,,,,
1986-01-01,54.148,$49.99,$105.32,,,,
1986-02-01,54.148,$49.99,$105.32,,,,
1986-03-01,54.029,$49.99,$105.55,,,,
1986-04-01,53.918,$49.99,$105.76,,,,
1986-05-01,54.017,$49.99,$105.57,,,,
1986-06-01,54.218,$49.99,$105.18,,,,
1986-07-01,54.231,$49.99,$105.15,,,,
1986-08-01,54.300,$49.99,$105.02,,,,
1986-09-01,54.477,$49.99,$104.68,,,,
1986-10-01,54.575,$49.99,$104.49,,,,
1986-11-01,54.673,$49.99,$104.30,,,,
1986-12-01,54.746,$49.99,$104.16,,,,
1987-01-01,55.002,$49.99,$103.68,,,,
1987-02-01,55.195,$49.99,$103.32,,,,
1987-03-01,55.341,$49.99,$103.04,,,,
1987-04-01,55.547,$49.99,$102.66,,,,
1987-05-01,55.688,$49.99,$102.40,,,,
1987-06-01,55.899,$49.99,$102.02,,,,
1987-07-01,56.028,$49.99,$101.78,,,,
1987-08-01,56.250,$49.99,$101.38,,,,
1987-09-01,56.439,$49.99,$101.04,,,,
1987-10-01,56.618,$49.99,$100.72,,,,
1987-11-01,56.726,$49.99,$100.53,,,,
1987-12-01,56.831,$49.99,$100.34,,,,
1988-01-01,57.051,$49.99,$99.96,,,,
1988-02-01,57.135,$49.99,$99.81,,,,
1988-03-01,57.332,$49.99,$99.47,,,,
1988-04-01,57.611,$49.99,$98.98,,,,
1988-05-01,57.778,$49.99,$98.70,,,,
1988-06-01,58.024,$49.99,$98.28,,,,
1988-07-01,58.306,$49.99,$97.80,,,,
1988-08-01,58.479,$49.99,$97.52,,,,
1988-09-01,58.764,$49.99,$97.04,,,,
1988-10-01,58.956,$49.99,$96.73,,,,
1988-11-01,59.092,$49.99,$96.50,,,,
1988-12-01,59.277,$49.99,$96.20,,,,
1989-01-01,59.581,$49.99,$95.71,,,,
1989-02-01,59.779,$49.99,$95.39,,,,
1989-03-01,60.002,$49.99,$95.04,,,,
1989-04-01,60.402,$49.99,$94.41,,,,
1989-05-01,60.622,$49.99,$94.07,,,,
1989-06-01,60.755,$49.99,$93.86,,,,
1989-07-01,60.900,$49.99,$93.64,,,,
1989-08-01,60.907,$49.99,$93.63,,,,
1989-09-01,61.043,$49.99,$93.42,,,,
1989-10-01,61.281,$49.99,$93.06,,,,
1989-11-01,61.415,$49.99,$92.85,,,,
1989-12-01,61.593,$49.99,$92.59,,,,
1990-01-01,62.060,$49.99,$91.89,,,,
1990-02-01,62.333,$49.99,$91.49,,,,
1990-03-01,62.568,$49.99,$91.14,,,,
1990-04-01,62.699,$49.99,$90.95,,,,
1990-05-01,62.840,$49.99,$90.75,,,,
1990-06-01,63.118,$49.99,$90.35,,,,
1990-07-01,63.274,$49.99,$90.13,,,,
1990-08-01,63.695,$49.99,$89.53,,,,
1990-09-01,64.086,$49.99,$88.98,,,,
