date,value
1976-04-01,5255
1976-05-01,5236
1976-06-01,5240
1976-07-01,5268
1976-08-01,5288
1976-09-01,5291
1976-10-01,5281
1976-11-01,5285
1976-12-01,5310
1977-01-01,5315
1977-02-01,5306
1977-03-01,5315
1977-04-01,5345
1977-05-01,5329
1977-06-01,5328
1977-07-01,5352
1977-08-01,5352
1977-09-01,5361
1977-10-01,5350
1977-11-01,5371
1977-12-01,5380
1978-01-01,5361
1978-02-01,5385
1978-03-01,5386
1978-04-01,5389
1978-05-01,5431
1978-06-01,5434
1978-07-01,5401
1978-08-01,5397
1978-09-01,5408
1978-10-01,5426
1978-11-01,5437
1978-12-01,5441
1979-01-01,5464
1979-02-01,5455
1979-03-01,5442
1979-04-01,5453
1979-05-01,5480
1979-06-01,5481
1979-07-01,5491
1979-08-01,5499
1979-09-01,5483
1979-10-01,5505
1979-11-01,5505
1979-12-01,5499
1980-01-01,5497
1980-02-01,5507
1980-03-01,5514
1980-04-01,5524
1980-05-01,5510
1980-06-01,5543
1980-07-01,5556
1980-08-01,5556
1980-09-01,5572
1980-10-01,5556
1980-11-01,5548
1980-12-01,5550
1981-01-01,5570
1981-02-01,5563
1981-03-01,5573
1981-04-01,5586
1981-05-01,5559
1981-06-01,5568
1981-07-01,5581
1981-08-01,5591
1981-09-01,5589
1981-10-01,5588
1981-11-01,5604
1981-12-01,5609
1982-01-01,5603
1982-02-01,5617
1982-03-01,5633
1982-04-01,5625
1982-05-01,5642
1982-06-01,5620
1982-07-01,5615
1982-08-01,5631
1982-09-01,5635
1982-10-01,5658
1982-11-01,5672
1982-12-01,5712
1983-01-01,5720
1983-02-01,5722
1983-03-01,5716
1983-04-01,5712
1983-05-01,5735
1983-06-01,5742
1983-07-01,5736
1983-08-01,5736
1983-09-01,5738
1983-10-01,5751
1983-11-01,5748
1983-12-01,5736
1984-01-01,5711
1984-02-01,5724
1984-03-01,5742
1984-04-01,5753
1984-05-01,5751
1984-06-01,5771
1984-07-01,5765
1984-08-01,5774
1984-09-01,5805
1984-10-01,5799
1984-11-01,5800
1984-12-01,5797
1985-01-01,5812
1985-02-01,5808
1985-03-01,5796
1985-04-01,5807
1985-05-01,5810
1985-06-01,5794
1985-07-01,5810
1985-08-01,5808
1985-09-01,5821
1985-10-01,5818
1985-11-01,5812
1985-12-01,5791
1986-01-01,5841
1986-02-01,5850
1986-03-01,5841
1986-04-01,5842
1986-05-01,5832
1986-06-01,5840
1986-07-01,5863
1986-08-01,5867
1986-09-01,5864
1986-10-01,5872
1986-11-01,5866
1986-12-01,5865
1987-01-01,5864
1987-02-01,5864
1987-03-01,5885
1987-04-01,5888
1987-05-01,5885
1987-06-01,5903
1987-07-01,5904
1987-08-01,5932
1987-09-01,5930
1987-10-01,5937
1987-11-01,5959
1987-12-01,5977
1988-01-01,5978
1988-02-01,5964
1988-03-01,5972
1988-04-01,5998
1988-05-01,6012
1988-06-01,6009
1988-07-01,6018
1988-08-01,6024
1988-09-01,6020
1988-10-01,6028
1988-11-01,6043
1988-12-01,6059
1989-01-01,6056
1989-02-01,6075
1989-03-01,6080
1989-04-01,6098
1989-05-01,6113
1989-06-01,6139
1989-07-01,6156
1989-08-01,6149
1989-09-01,6146
1989-10-01,6160
1989-11-01,6172
1989-12-01,6190
1990-01-01,6188
1990-02-01,6205
1990-03-01,6231
1990-04-01,6224
1990-05-01,6245
1990-06-01,6236
1990-07-01,6255
1990-08-01,6247
1990-09-01,6286
1990-10-01,6292
1990-11-01,6288
1990-12-01,6293
1991-01-01,6327
1991-02-01,6321
1991-03-01,6342
1991-04-01,6346
1991-05-01,6353
1991-06-01,6378
1991-07-01,6370
1991-08-01,6387
1991-09-01,6397
1991-10-01,6386
1991-11-01,6399
1991-12-01,6417
1992-01-01,6413
1992-02-01,6460
1992-03-01,6430
1992-04-01,6414
1992-05-01,6421
1992-06-01,6421
1992-07-01,6411
1992-08-01,6437
1992-09-01,6436
1992-10-01,6459
1992-11-01,6473
1992-12-01,6460
1993-01-01,6440
1993-02-01,6433
1993-03-01,6435
1993-04-01,6446
1993-05-01,6442
1993-06-01,6439
1993-07-01,6452
1993-08-01,6456
1993-09-01,6449
1993-10-01,6464
1993-11-01,6472
1993-12-01,6472
1994-01-01,6465
1994-02-01,6449
1994-03-01,6445
1994-04-01,6471
1994-05-01,6478
1994-06-01,6453
1994-07-01,6443
1994-08-01,6452
1994-09-01,6438
1994-10-01,6443
1994-11-01,6454
1994-12-01,6453
1995-01-01,6455
1995-02-01,6461
1995-03-01,6458
1995-04-01,6452
1995-05-01,6451
1995-06-01,6459
1995-07-01,6465
1995-08-01,6457
1995-09-01,6482
1995-10-01,6459
1995-11-01,6443
1995-12-01,6446
1996-01-01,6443
1996-02-01,6440
1996-03-01,6471
1996-04-01,6476
1996-05-01,6459
1996-06-01,6491
1996-07-01,6512
1996-08-01,6505
1996-09-01,6521
1996-10-01,6509
1996-11-01,6506
1996-12-01,6502
1997-01-01,6533
1997-02-01,6558
1997-03-01,6561
1997-04-01,6558
1997-05-01,6562
1997-06-01,6584
1997-07-01,6576
1997-08-01,6553
1997-09-01,6551
1997-10-01,6560
1997-11-01,6535
1997-12-01,6552
1998-01-01,6560
1998-02-01,6543
1998-03-01,6540
1998-04-01,6521
1998-05-01,6529
1998-06-01,6522
1998-07-01,6513
1998-08-01,6508
1998-09-01,6487
1998-10-01,6489
1998-11-01,6477
1998-12-01,6479
1999-01-01,6477
1999-02-01,6459
1999-03-01,6455
1999-04-01,6462
1999-05-01,6468
1999-06-01,6445
1999-07-01,6441
1999-08-01,6471
1999-09-01,6481
1999-10-01,6463
1999-11-01,6464
1999-12-01,6456
2000-01-01,6450
2000-02-01,6430
2000-03-01,6414
2000-04-01,6438
2000-05-01,6445
2000-06-01,6436
2000-07-01,6438
2000-08-01,6438
2000-09-01,6451
2000-10-01,6472
2000-11-01,6476
2000-12-01,6462
2001-01-01,6457
2001-02-01,6470
2001-03-01,6445
2001-04-01,6427
2001-05-01,6421
2001-06-01,6404
2001-07-01,6402
2001-08-01,6397
2001-09-01,6367
2001-10-01,6372
2001-11-01,6402
2001-12-01,6382
2002-01-01,6365
2002-02-01,6363
2002-03-01,6360
2002-04-01,6334
2002-05-01,6307
2002-06-01,6313
2002-07-01,6324
2002-08-01,6324
2002-09-01,6322
2002-10-01,6324
2002-11-01,6324
