Week Ending,Gross,Gross_Potential,Attendance,Capacity
2002-09-15,9472426,0.59,156525,0.69
2002-09-08,9087141,0.55,146518,0.63
2002-09-01,14103793,0.73,230356,0.84
2002-08-25,13693430,0.71,224680,0.81
2002-08-18,13971404,0.73,228692,0.83
2002-08-11,14762246,0.74,244776,0.86
2002-08-04,13724696,0.69,227503,0.79
2002-07-28,13826063,0.69,229616,0.8
2002-07-21,13302467,0.69,221384,0.79
2002-07-14,12584349,0.67,206211,0.75
2002-07-07,11946663,0.65,202283,0.75
2002-06-30,13625525,0.72,222782,0.81
2002-06-23,13756369,0.74,225498,0.82
2002-06-16,13836524,0.7,225743,0.79
2002-06-09,14250116,0.7,232257,0.78
2002-06-02,13183495,0.63,223029,0.74
2002-05-26,15295729,0.71,251168,0.8
2002-05-19,14943594,0.7,247046,0.79
2002-05-12,13908771,0.64,228908,0.72
2002-05-05,13646180,0.62,228705,0.71
2002-04-28,14400783,0.65,243039,0.75
2002-04-21,14417323,0.68,241706,0.77
2002-04-14,13048076,0.64,217017,0.72
2002-04-07,15122802,0.74,246609,0.82
2002-03-31,15166067,0.75,248004,0.83
2002-03-24,14237348,0.72,242689,0.82
2002-03-17,13772055,0.74,229340,0.82
2002-03-10,13117326,0.75,218780,0.84
2002-03-03,12203491,0.72,203134,0.81
2002-02-24,12577964,0.82,207728,0.92
2002-02-17,11528704,0.84,181457,0.89
2002-02-10,10327200,0.74,171937,0.83
2002-02-03,9505848,0.71,158220,0.79
2002-01-27,10074345,0.77,165947,0.85
2002-01-20,10079013,0.8,162455,0.87
2002-01-13,10915041,0.73,189221,0.84
2002-01-06,11977513,0.75,198535,0.86
2001-12-30,18505473,0.92,270968,0.95
2001-12-23,12271973,0.7,205476,0.78
2001-12-16,12219397,0.69,207911,0.79
2001-12-09,12830718,0.73,213776,0.81
2001-12-02,12105793,0.69,202903,0.77
2001-11-25,13843556,0.79,217988,0.83
2001-11-18,11503161,0.65,202037,0.76
2001-11-11,12213250,0.69,214443,0.81
2001-11-04,10742746,0.61,197013,0.74
2001-10-28,11932985,0.7,221263,0.86
2001-10-21,11958993,0.71,218266,0.85
2001-10-14,10848109,0.72,192359,0.84
2001-10-07,10534195,0.74,183966,0.86
2001-09-30,9046125,0.67,160677,0.78
2001-09-23,7759768,0.49,143641,0.6
2001-09-16,3466038,0.34,65155,0.43
2001-09-09,9603452,0.64,167899,0.73
2001-09-02,11586224,0.71,200512,0.8
2001-08-26,12474260,0.71,215801,0.8
2001-08-19,12978623,0.74,225852,0.84
2001-08-12,12837408,0.73,221106,0.82
2001-08-05,13225935,0.75,227523,0.84
2001-07-29,13442959,0.75,235570,0.85
2001-07-22,13361128,0.73,235235,0.83
2001-07-15,12982983,0.71,228457,0.81
2001-07-08,12466475,0.68,229014,0.82
2001-07-01,13126815,0.69,234039,0.8
2001-06-24,13639717,0.72,236507,0.81
2001-06-17,13283330,0.71,229680,0.79
2001-06-10,13766974,0.68,243035,0.79
2001-06-03,12570102,0.62,225151,0.73
2001-05-27,14569842,0.72,258208,0.83
2001-05-20,14439110,0.68,257730,0.79
2001-05-13,14170585,0.6,261007,0.72
2001-05-06,14289083,0.62,260578,0.72
2001-04-29,15306808,0.67,285379,0.79
2001-04-22,16539565,0.72,302723,0.83
2001-04-15,16068539,0.72,292141,0.83
2001-04-08,13176229,0.63,243402,0.75
2001-04-01,14046705,0.7,257865,0.83
2001-03-25,13799317,0.73,251032,0.86
2001-03-18,12531868,0.72,234082,0.86
2001-03-11,11031613,0.67,205289,0.8
2001-03-04,10436039,0.64,194653,0.76
2001-02-25,12204960,0.75,222272,0.88
2001-02-18,11815261,0.75,204450,0.84
2001-02-11,9959111,0.67,179281,0.79
2001-02-04,9858582,0.65,178970,0.77
2001-01-28,11010665,0.7,194298,0.78
2001-01-21,11033704,0.68,195770,0.77
2001-01-14,12249664,0.72,217720,0.81
2001-01-07,12348248,0.7,217607,0.78
2000-12-31,19473568,0.88,286357,0.91
2000-12-24,12110830,0.65,203804,0.7
2000-12-17,13580476,0.71,229824,0.76
2000-12-10,14842520,0.77,251306,0.83
2000-12-03,13352112,0.7,231302,0.76
2000-11-26,16031976,0.83,260364,0.85
2000-11-19,13120247,0.69,233793,0.77
2000-11-12,13488200,0.72,241902,0.81
2000-11-05,11983553,0.66,216139,0.75
2000-10-29,12047356,0.69,219436,0.79
2000-10-22,12750059,0.74,226957,0.82
2000-10-15,11926603,0.72,213051,0.81
2000-10-08,11567123,0.72,202789,0.79
2000-10-01,9986267,0.64,176445,0.71
2000-09-24,10190710,0.68,181402,0.76
2000-09-17,10041727,0.67,181305,0.76
2000-09-10,9547076,0.61,170824,0.68
2000-09-03,11793440,0.74,210157,0.82
2000-08-27,11940163,0.74,214249,0.84
2000-08-20,12239024,0.76,218870,0.86
2000-08-13,12692763,0.77,227408,0.86
2000-08-06,12356009,0.75,222418,0.84
2000-07-30,12713024,0.75,231438,0.85
2000-07-23,12907704,0.74,237002,0.84
2000-07-16,12544668,0.72,227913,0.81
2000-07-09,11764114,0.67,219487,0.78
2000-07-02,13052260,0.69,245985,0.81
2000-06-25,13941573,0.75,249938,0.82
2000-06-18,13748444,0.73,246933,0.8
2000-06-11,14335270,0.7,260129,0.78
2000-06-04,13242697,0.65,242144,0.73
2000-05-28,14768371,0.7,271101,0.79
2000-05-21,15138271,0.71,277308,0.79
2000-05-14,14446692,0.66,267842,0.75
2000-05-07,14842179,0.68,277019,0.77
2000-04-30,16791273,0.78,311680,0.87
2000-04-23,16933541,0.79,308253,0.86
2000-04-16,15048089,0.7,288017,0.8
2000-04-09,14470566,0.68,278962,0.79
2000-04-02,14275973,0.71,274626,0.82
2000-03-26,14000014,0.75,265222,0.85
2000-03-19,13404259,0.79,251160,0.9
2000-03-12,12211986,0.73,229173,0.83
2000-03-05,10346600,0.68,194915,0.75
2000-02-27,11140318,0.78,211332,0.88
2000-02-20,10600014,0.75,194471,0.81
2000-02-13,9612695,0.68,178220,0.74
2000-02-06,8885764,0.62,170053,0.7
2000-01-30,8967755,0.63,171730,0.7
2000-01-23,9431358,0.64,177396,0.7
2000-01-16,11367179,0.71,212629,0.77
2000-01-09,11551697,0.64,220773,0.71
2000-01-02,15002508,0.7,245315,0.73
1999-12-26,11481640,0.57,195909,0.6
1999-12-19,12925904,0.65,236432,0.71
1999-12-12,13862145,0.72,254253,0.78
1999-12-05,12925080,0.7,234727,0.75
1999-11-28,14250553,0.79,248893,0.81
1999-11-21,11675418,0.64,232027,0.75
1999-11-14,12023920,0.69,232837,0.78
1999-11-07,10855245,0.65,211135,0.74
1999-10-31,9767015,0.64,189436,0.72
1999-10-24,10209526,0.74,194964,0.82
1999-10-17,9974042,0.74,190265,0.82
1999-10-10,10298032,0.74,197652,0.82
1999-10-03,9129455,0.65,178129,0.74
1999-09-26,8492338,0.65,166452,0.73
1999-09-19,7939904,0.61,153997,0.68
1999-09-12,7319128,0.6,140350,0.66
1999-09-05,8326196,0.71,158337,0.78
1999-08-29,9716422,0.72,188239,0.8
1999-08-22,10190840,0.73,199030,0.82
1999-08-15,10346517,0.74,200605,0.83
1999-08-08,10410887,0.74,204625,0.83
1999-08-01,9969695,0.74,192525,0.82
1999-07-25,10015649,0.75,194106,0.83
1999-07-18,10927895,0.76,207341,0.83
1999-07-11,10451869,0.72,199315,0.8
1999-07-04,9542931,0.69,192162,0.8
1999-06-27,11609306,0.77,223202,0.85
1999-06-20,11566274,0.72,224835,0.82
1999-06-13,12401995,0.68,245446,0.78
1999-06-06,11395108,0.63,225661,0.72
1999-05-30,12710139,0.66,258754,0.78
1999-05-23,13127814,0.68,261664,0.78
1999-05-16,12856184,0.67,257429,0.78
1999-05-09,12503505,0.63,252800,0.74
1999-05-02,12811794,0.63,260175,0.74
1999-04-25,13443407,0.67,269268,0.77
1999-04-18,12489038,0.65,251203,0.76
1999-04-11,14907054,0.77,295565,0.88
1999-04-04,13242378,0.75,252812,0.83
1999-03-28,12220782,0.72,243040,0.84
1999-03-21,12008523,0.74,238582,0.85
1999-03-14,11542962,0.69,237337,0.82
1999-03-07,10338437,0.63,215122,0.77
1999-02-28,10644765,0.62,224204,0.77
1999-02-21,12137827,0.71,252243,0.87
1999-02-14,11363192,0.68,225731,0.8
1999-02-07,10105010,0.6,214240,0.75
1999-01-31,9756171,0.62,207590,0.78
1999-01-24,10437246,0.65,217658,0.82
1999-01-17,11054902,0.67,234336,0.85
1999-01-10,11451627,0.68,240311,0.85
1999-01-03,17271543,0.94,287161,0.92
1998-12-27,14090972,0.81,245230,0.82
1998-12-20,11931382,0.69,230632,0.77
1998-12-13,12721324,0.74,245103,0.82
1998-12-06,12761152,0.75,245895,0.83
1998-11-29,13943811,0.82,255012,0.85
1998-11-22,11082905,0.68,228777,0.8
1998-11-15,11363837,0.76,227193,0.86
1998-11-08,10581623,0.7,214181,0.79
1998-11-01,9480444,0.63,198794,0.74
1998-10-25,10796464,0.73,219865,0.82
1998-10-18,10327131,0.75,202053,0.83
1998-10-11,9992834,0.79,193454,0.87
1998-10-04,8311912,0.7,161290,0.79
1998-09-27,8056958,0.7,151266,0.76
1998-09-20,8210816,0.71,153353,0.76
1998-09-13,7681222,0.65,146103,0.71
1998-09-06,8205498,0.69,156365,0.76
1998-08-30,9435460,0.73,184746,0.78
1998-08-23,9913133,0.76,192801,0.81
1998-08-16,10368692,0.81,201551,0.86
1998-08-09,11094362,0.82,213342,0.87
1998-08-02,10479258,0.75,208999,0.81
1998-07-26,10294571,0.75,204649,0.81
1998-07-19,11002191,0.77,217800,0.84
1998-07-12,10519824,0.76,208485,0.82
1998-07-05,9939880,0.7,205821,0.78
1998-06-28,11947661,0.8,238583,0.86
1998-06-21,11441628,0.77,228909,0.82
1998-06-14,12379782,0.74,253332,0.81
1998-06-07,11397854,0.66,234875,0.74
1998-05-31,10827895,0.62,227625,0.7
1998-05-24,12471275,0.72,255347,0.79
1998-05-17,12143933,0.7,249563,0.76
1998-05-10,11986747,0.67,247915,0.74
1998-05-03,12492746,0.68,258986,0.75
1998-04-26,12863105,0.7,271377,0.78
1998-04-19,14165712,0.78,296408,0.87
1998-04-12,12264569,0.72,252043,0.79
1998-04-05,11329636,0.66,241060,0.76
1998-03-29,12209894,0.72,252814,0.83
1998-03-22,11797569,0.74,242890,0.87
1998-03-15,11074724,0.7,235607,0.84
1998-03-08,10691521,0.68,225970,0.81
1998-03-01,10449493,0.65,224381,0.79
1998-02-22,11801865,0.7,253100,0.86
1998-02-15,11349165,0.71,233769,0.82
1998-02-08,9453410,0.62,203959,0.75
1998-02-01,9635755,0.63,215835,0.79
1998-01-25,10512418,0.65,225572,0.77
1998-01-18,10981641,0.69,234694,0.83
1998-01-11,10698707,0.68,229552,0.81
1998-01-04,15776122,0.87,282367,0.86
1997-12-28,14720405,0.84,265409,0.84
1997-12-21,11001435,0.64,228128,0.74
1997-12-14,11970948,0.69,241581,0.78
1997-12-07,12097716,0.7,244352,0.79
1997-11-30,12515482,0.8,235055,0.84
1997-11-23,10062667,0.66,209004,0.76
1997-11-16,10331822,0.69,214563,0.8
1997-11-09,10358916,0.67,215515,0.79
1997-11-02,9878869,0.64,206070,0.76
1997-10-26,10298932,0.74,209712,0.85
1997-10-19,10541144,0.74,215721,0.86
1997-10-12,9554829,0.72,195463,0.84
1997-10-05,8443229,0.68,172503,0.79
1997-09-28,8391224,0.7,173337,0.81
1997-09-21,8111399,0.7,163927,0.81
1997-09-14,7661776,0.68,153266,0.77
1997-09-07,6868119,0.61,136749,0.69
1997-08-31,9422926,0.79,188144,0.89
1997-08-24,9402211,0.79,189966,0.89
1997-08-17,9690945,0.81,193355,0.91
1997-08-10,9523596,0.8,190916,0.89
1997-08-03,9289595,0.79,185816,0.88
1997-07-27,9834085,0.73,200581,0.83
1997-07-20,9449380,0.7,193692,0.8
1997-07-13,9628639,0.72,198695,0.84
1997-07-06,9043708,0.67,192324,0.81
1997-06-29,11004135,0.72,232931,0.84
1997-06-22,10954864,0.7,233708,0.83
1997-06-15,10160637,0.66,216231,0.77
1997-06-08,10472154,0.66,222001,0.76
