Year,AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"139,099,570",0.1,,,,27.07,"56,310",0.1,10.97,13.95,20.17,32.41,50.99,"22,810","29,020","41,950","67,410","106,050",,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"7,947,300",0.2,,,,60.81,"126,480",0.2,24.84,35.70,52.77,76.71,#,"51,670","74,250","109,760","159,550",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,"2,601,070",0.4,,,,62.46,"129,920",0.2,21.41,32.57,51.05,80.73,#,"44,530","67,740","106,180","167,930",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,"202,360",1.0,,,,95.12,"197,840",0.5,30.18,55.06,89.40,#,#,"62,780","114,530","185,950",#,#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"202,360",1.0,,,,95.12,"197,840",0.5,30.18,55.06,89.40,#,#,"62,780","114,530","185,950",#,#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,"2,347,420",0.4,,,,60.45,"125,740",0.2,22.04,32.43,49.83,77.49,#,"45,850","67,450","103,650","161,190",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"2,347,420",0.4,,,,60.45,"125,740",0.2,22.04,32.43,49.83,77.49,#,"45,850","67,450","103,650","161,190",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,"51,290",2.5,,,,*,"53,560",1.6,*,*,*,*,*,"18,120","19,790","33,200","83,780","105,100",TRUE,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"51,290",2.5,,,,*,"53,560",1.6,*,*,*,*,*,"18,120","19,790","33,200","83,780","105,100",TRUE,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"763,970",0.6,,,,71.51,"148,740",0.3,32.44,44.97,64.48,89.26,#,"67,480","93,540","134,120","185,660",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-2010,Advertising and Promotions Managers,broad,"22,490",3.2,,,,70.94,"147,560",1.4,33.14,44.19,64.16,87.40,#,"68,940","91,910","133,460","181,800",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,"22,490",3.2,,,,70.94,"147,560",1.4,33.14,44.19,64.16,87.40,#,"68,940","91,910","133,460","181,800",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-2020,Marketing and Sales Managers,broad,"660,380",0.6,,,,72.31,"150,400",0.3,32.47,45.59,65.55,90.42,#,"67,540","94,830","136,350","188,080",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,"270,200",1.0,,,,74.27,"154,470",0.4,35.88,48.89,68.35,92.19,#,"74,620","101,690","142,170","191,760",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,"390,170",0.7,,,,70.95,"147,580",0.3,30.37,43.14,63.60,89.04,#,"63,170","89,720","132,290","185,200",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,broad,"81,110",1.4,,,,65.18,"135,580",0.8,32.09,41.56,56.94,79.49,#,"66,740","86,440","118,430","165,340",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,"81,110",1.4,,,,65.18,"135,580",0.8,32.09,41.56,56.94,79.49,#,"66,740","86,440","118,430","165,340",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,"2,012,370",0.3,,,,66.63,"138,590",0.2,33.00,43.79,60.12,81.00,#,"68,640","91,070","125,040","168,480",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,broad,"307,620",0.6,,,,51.98,"108,120",0.3,26.96,35.41,47.54,62.95,81.70,"56,080","73,650","98,890","130,930","169,930",,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,detailed,"307,620",0.6,,,,51.98,"108,120",0.3,26.96,35.41,47.54,62.95,81.70,"56,080","73,650","98,890","130,930","169,930",,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-3020,Computer and Information Systems Managers,broad,"457,290",0.7,,,,77.76,"161,730",0.3,43.48,56.25,72.67,92.05,#,"90,430","116,990","151,150","191,470",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,"457,290",0.7,,,,77.76,"161,730",0.3,43.48,56.25,72.67,92.05,#,"90,430","116,990","151,150","191,470",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,"653,080",0.5,,,,72.84,"151,510",0.3,34.05,46.04,64.51,89.44,#,"70,830","95,770","134,180","186,030",#,,
2020,99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,"653,080",0.5,,,,72.84,"151,510",0.3,34.05,46.04,64.51,89.44,#,"70,830","95,770","134,180","186,030",#,,
