"","date","value"
"1",1990-01-01,0.19271948608137
"2",1990-02-01,0.194444444444444
"3",1990-03-01,0.194267515923567
"4",1990-04-01,0.194092827004219
"5",1990-05-01,0.192148760330579
"6",1990-06-01,0.191295546558704
"7",1990-07-01,0.188811188811189
"8",1990-08-01,0.190900098911968
"9",1990-09-01,0.190049751243781
"10",1990-10-01,0.193836978131213
"11",1990-11-01,0.19488188976378
"12",1990-12-01,0.195121951219512
"13",1991-01-01,0.182166826462128
"14",1991-02-01,0.181124880838894
"15",1991-03-01,0.182938388625592
"16",1991-04-01,0.173295454545455
"17",1991-05-01,0.171508903467666
"18",1991-06-01,0.168962350780533
"19",1991-07-01,0.17
"20",1991-08-01,0.172884440400364
"21",1991-09-01,0.173636363636364
"22",1991-10-01,0.17967332123412
"23",1991-11-01,0.1806684733514
"24",1991-12-01,0.179624664879357
"25",1992-01-01,0.184986595174263
"26",1992-02-01,0.186882300089847
"27",1992-03-01,0.188392857142857
"28",1992-04-01,0.188948306595365
"29",1992-05-01,0.188277087033748
"30",1992-06-01,0.18760907504363
"31",1992-07-01,0.191011235955056
"32",1992-08-01,0.194589877835951
"33",1992-09-01,0.197889182058047
"34",1992-10-01,0.199651264167393
"35",1992-11-01,0.199134199134199
"36",1992-12-01,0.197255574614065
"37",1993-01-01,0.19134775374376
"38",1993-02-01,0.191735537190083
"39",1993-03-01,0.189655172413793
"40",1993-04-01,0.186122448979592
"41",1993-05-01,0.18578352180937
"42",1993-06-01,0.184210526315789
"43",1993-07-01,0.184025058731402
"44",1993-08-01,0.184006211180124
"45",1993-09-01,0.185703185703186
"46",1993-10-01,0.183359013867488
"47",1993-11-01,0.185099846390169
"48",1993-12-01,0.185975609756098
"49",1994-01-01,0.184150943396226
"50",1994-02-01,0.184823441021788
"51",1994-03-01,0.187218045112782
"52",1994-04-01,0.18914845516202
"53",1994-05-01,0.190833959429001
"54",1994-06-01,0.19079435783222
"55",1994-07-01,0.186861313868613
"56",1994-08-01,0.188090050835149
"57",1994-09-01,0.187766714082504
"58",1994-10-01,0.188034188034188
"59",1994-11-01,0.187631763879129
"60",1994-12-01,0.186159169550173
"61",1995-01-01,0.187928669410151
"62",1995-02-01,0.187162162162162
"63",1995-03-01,0.185799601857996
"64",1995-04-01,0.182950819672131
"65",1995-05-01,0.184124918672739
"66",1995-06-01,0.181528662420382
"67",1995-07-01,0.177024482109228
"68",1995-08-01,0.17741935483871
"69",1995-09-01,0.176687116564417
"70",1995-10-01,0.173325138291334
"71",1995-11-01,0.17565112053301
"72",1995-12-01,0.175627240143369
"73",1996-01-01,0.175909361955874
"74",1996-02-01,0.17810650887574
"75",1996-03-01,0.178066037735849
"76",1996-04-01,0.177647058823529
"77",1996-05-01,0.178403755868545
"78",1996-06-01,0.179382644146768
"79",1996-07-01,0.182026330852891
"80",1996-08-01,0.181408450704225
"81",1996-09-01,0.17973124300112
"82",1996-10-01,0.178749308245711
"83",1996-11-01,0.178786221979224
"84",1996-12-01,0.179209528965891
"85",1997-01-01,0.183673469387755
"86",1997-02-01,0.182636315510852
"87",1997-03-01,0.181436811746198
"88",1997-04-01,0.180020811654527
"89",1997-05-01,0.181818181818182
"90",1997-06-01,0.179447852760736
"91",1997-07-01,0.175215845606907
"92",1997-08-01,0.178026449643947
"93",1997-09-01,0.176381909547739
"94",1997-10-01,0.175149700598802
"95",1997-11-01,0.176470588235294
"96",1997-12-01,0.176181102362205
"97",1998-01-01,0.173404773502192
"98",1998-02-01,0.173892100192678
"99",1998-03-01,0.173809523809524
"100",1998-04-01,0.172560113154173
"101",1998-05-01,0.173872180451128
"102",1998-06-01,0.174235403151066
"103",1998-07-01,0.173557473875511
"104",1998-08-01,0.175262437243268
"105",1998-09-01,0.176983035304906
"106",1998-10-01,0.178276810265811
"107",1998-11-01,0.178538812785388
"108",1998-12-01,0.179009541117674
"109",1999-01-01,0.173932384341637
"110",1999-02-01,0.172066549912434
"111",1999-03-01,0.172473867595819
"112",1999-04-01,0.170415224913495
"113",1999-05-01,0.170176192522561
"114",1999-06-01,0.171136653895275
"115",1999-07-01,0.17436974789916
"116",1999-08-01,0.176100628930818
"117",1999-09-01,0.176544240400668
"118",1999-10-01,0.177405857740586
"119",1999-11-01,0.177740863787375
"120",1999-12-01,0.179233621755253
"121",2000-01-01,0.181631816318163
"122",2000-02-01,0.182926829268293
"123",2000-03-01,0.185451638689049
"124",2000-04-01,0.185973207249803
"125",2000-05-01,0.187378262563303
"126",2000-06-01,0.187929717341482
"127",2000-07-01,0.183589359310603
"128",2000-08-01,0.185830860534125
"129",2000-09-01,0.188034188034188
"130",2000-10-01,0.188524590163934
"131",2000-11-01,0.190122539918307
"132",2000-12-01,0.192265193370166
"133",2001-01-01,0.203210507114192
"134",2001-02-01,0.203837798696597
"135",2001-03-01,0.204243078029486
"136",2001-04-01,0.197897789054005
"137",2001-05-01,0.195691858342461
"138",2001-06-01,0.197053406998158
"139",2001-07-01,0.19311377245509
"140",2001-08-01,0.192771084337349
"141",2001-09-01,0.191032403918613
"142",2001-10-01,0.196940726577438
"143",2001-11-01,0.196518375241779
"144",2001-12-01,0.196055684454756
"145",2002-01-01,0.194058641975309
"146",2002-02-01,0.196345256609642
"147",2002-03-01,0.197105983574501
"148",2002-04-01,0.196708463949843
"149",2002-05-01,0.196856581532417
"150",2002-06-01,0.197337509788567
"151",2002-07-01,0.192818110850898
"152",2002-08-01,0.193217665615142
"153",2002-09-01,0.193227091633466
"154",2002-10-01,0.191276510604242
"155",2002-11-01,0.193823648923202
