"","date","CA","CA_yoy_raw","US","US_yoy_raw","CA_Share","US_X_CA_yoy_raw","CA_yoy_pct","US_yoy_pct","US_X_CA_yoy_pct"
"1",1990-01-01,131.6,NA,895.7,NA,0.146924193368315,NA,NA,NA,NA
"2",1990-02-01,134.3,NA,899.3,NA,0.149338374291115,NA,NA,NA,NA
"3",1990-03-01,135.4,NA,901.8,NA,0.15014415613218,NA,NA,NA,NA
"4",1990-04-01,135.6,NA,901.6,NA,0.150399290150843,NA,NA,NA,NA
"5",1990-05-01,134.8,NA,900.6,NA,0.149677992449478,NA,NA,NA,NA
"6",1990-06-01,135.5,NA,905.6,NA,0.149624558303887,NA,NA,NA,NA
"7",1990-07-01,138.9,NA,908.2,NA,0.152939881083462,NA,NA,NA,NA
"8",1990-08-01,139.6,NA,908.3,NA,0.153693713530772,NA,NA,NA,NA
"9",1990-09-01,140.2,NA,905.9,NA,0.154763218898333,NA,NA,NA,NA
"10",1990-10-01,140.9,NA,907.3,NA,0.155295932987986,NA,NA,NA,NA
"11",1990-11-01,141.8,NA,909.7,NA,0.15587556337254,NA,NA,NA,NA
"12",1990-12-01,143,NA,913.2,NA,0.156592203241349,NA,NA,NA,NA
"13",1991-01-01,145.1,13.5,915.7,19.9999999999999,0.158458010265371,6.49999999999989,0.0944055944055944,0.139860139860139,0.00850673995550306
"14",1991-02-01,146.4,12.1,917.9,18.5999999999999,0.159494498311363,6.49999999999991,0.0833907649896623,0.128187456926257,0.00849673202614379
"15",1991-03-01,147.2,11.8,917.8,16.0000000000001,0.160383525822619,4.20000000000013,0.0806010928961747,0.10928961748634,0.00548016701461399
"16",1991-04-01,148.5,12.9,919.8,18.1999999999999,0.161448140900196,5.29999999999993,0.0876358695652174,0.123641304347826,0.00691906005221926
"17",1991-05-01,147.3,12.5,920.1,19.5,0.160091294424519,7,0.0841750841750842,0.131313131313131,0.00914076782449726
"18",1991-06-01,147,11.5,927.3,21.6999999999999,0.15852474927208,10.1999999999999,0.0780719619823489,0.147318397827562,0.0132450331125827
"19",1991-07-01,149.7,10.8,932.2,24.0000000000001,0.160587856683115,13.2000000000001,0.0734693877551019,0.16326530612245,0.0171584557389836
"20",1991-08-01,149.6,9.99999999999997,934.2,25.9000000000001,0.160137015628345,15.9000000000001,0.0668002672010686,0.173012692050769,0.0206842721477821
"21",1991-09-01,149.6,9.39999999999998,932.3,26.4,0.16046337015982,17,0.0628342245989303,0.176470588235294,0.0222019067519916
"22",1991-10-01,151.1,10.2,935.9,28.6,0.161448872742814,18.4,0.0681818181818181,0.191176470588235,0.0240083507306889
"23",1991-11-01,152.3,10.5,940.9,31.2000000000002,0.161866298225104,20.7000000000001,0.0694904037061551,0.206485771012576,0.026956634978513
"24",1991-12-01,153.2,10.2,946.8,33.6,0.161808196028728,23.4,0.0669730794484571,0.220617202889035,0.0303817190340171
"25",1992-01-01,155.5,10.4,948.3,32.6,0.16397764420542,22.2,0.0678851174934726,0.212793733681462,0.02880872047755
"26",1992-02-01,156.1,9.69999999999999,952.9,35,0.163815720432364,25.3,0.0623794212218649,0.22508038585209,0.0327932598833441
