date,PX_MD,PX5_MD
1996-03-01,2.8,3.2
1996-04-01,2.9,3.2
1996-05-01,3,3.2
1996-06-01,3,3.1
1996-07-01,3,3.2
1996-08-01,3,3.2
1996-09-01,3.1,3.2
1996-10-01,3.1,3.2
1996-11-01,3.1,3.1
1996-12-01,3,3
1997-01-01,3,3.1
1997-02-01,3,3.1
1997-03-01,2.9,3.1
1997-04-01,2.9,3
1997-05-01,2.9,3
1997-06-01,2.9,3
1997-07-01,2.8,3
1997-08-01,2.7,3
1997-09-01,2.7,3
1997-10-01,2.8,3
1997-11-01,2.8,3.1
1997-12-01,2.8,3.1
1998-01-01,2.7,3
1998-02-01,2.5,3
1998-03-01,2.4,2.9
1998-04-01,2.4,2.8
1998-05-01,2.5,2.8
1998-06-01,2.6,2.8
1998-07-01,2.6,2.8
1998-08-01,2.6,2.8
1998-09-01,2.4,2.8
1998-10-01,2.4,2.8
1998-11-01,2.4,2.8
1998-12-01,2.4,2.8
1999-01-01,2.5,2.9
1999-02-01,2.6,2.9
1999-03-01,2.6,2.8
1999-04-01,2.6,2.8
1999-05-01,2.7,2.8
1999-06-01,2.7,2.8
1999-07-01,2.7,2.9
1999-08-01,2.7,2.8
1999-09-01,2.7,2.9
1999-10-01,2.8,2.8
1999-11-01,2.8,2.9
1999-12-01,2.9,2.9
2000-01-01,3,2.9
2000-02-01,3,2.9
2000-03-01,3,3
2000-04-01,3.1,2.9
2000-05-01,3.1,2.9
2000-06-01,3,2.8
2000-07-01,3,2.8
2000-08-01,2.9,2.8
2000-09-01,2.9,2.9
2000-10-01,2.9,3
2000-11-01,3,3
2000-12-01,3,3
2001-01-01,2.9,2.9
2001-02-01,2.9,3
2001-03-01,2.9,3
2001-04-01,2.9,3
2001-05-01,3,3
2001-06-01,3.1,3
2001-07-01,2.9,3
2001-08-01,2.8,3
2001-09-01,2.7,2.9
2001-10-01,2.2,2.9
2001-11-01,1.4,2.8
2001-12-01,1.1,2.8
2002-01-01,1.4,2.8
2002-02-01,1.9,2.8
2002-03-01,2.2,2.8
2002-04-01,2.5,2.8
2002-05-01,2.7,2.9
2002-06-01,2.7,2.9
2002-07-01,2.7,2.9
2002-08-01,2.6,2.8
2002-09-01,2.6,2.7
2002-10-01,2.5,2.7
2002-11-01,2.5,2.7
2002-12-01,2.5,2.8
2003-01-01,2.5,2.8
2003-02-01,2.6,2.7
2003-03-01,2.8,2.7
2003-04-01,2.7,2.7
2003-05-01,2.5,2.8
2003-06-01,2.2,2.7
2003-07-01,1.9,2.7
2003-08-01,2.1,2.7
2003-09-01,2.3,2.7
2003-10-01,2.6,2.7
2003-11-01,2.7,2.7
2003-12-01,2.6,2.8
2004-01-01,2.7,2.8
2004-02-01,2.6,2.8
2004-03-01,2.7,2.9
2004-04-01,2.9,2.8
2004-05-01,3.1,2.8
2004-06-01,3.3,2.8
2004-07-01,3.2,2.8
2004-08-01,3,2.8
2004-09-01,2.9,2.8
2004-10-01,2.9,2.8
2004-11-01,2.9,2.8
2004-12-01,3,2.8
2005-01-01,2.9,2.7
2005-02-01,2.9,2.8
2005-03-01,3,2.8
2005-04-01,3.1,2.9
2005-05-01,3.2,2.9
2005-06-01,3.2,2.9
2005-07-01,3.1,2.9
2005-08-01,3.1,2.8
2005-09-01,3.5,2.9
2005-10-01,4,3
2005-11-01,4.1,3.1
2005-12-01,3.7,3.1
2006-01-01,3.1,3
2006-02-01,3,3
2006-03-01,3,2.9
2006-04-01,3.1,3
2006-05-01,3.4,3.1
2006-06-01,3.5,3.1
2006-07-01,3.5,3
2006-08-01,3.4,3
2006-09-01,3.4,3
2006-10-01,3.3,3.1
2006-11-01,3.1,3
2006-12-01,3,3
2007-01-01,3,3
2007-02-01,3,3
2007-03-01,3,2.9
2007-04-01,3.1,3
2007-05-01,3.2,3
2007-06-01,3.3,3
2007-07-01,3.4,3
2007-08-01,3.3,3
2007-09-01,3.2,3
2007-10-01,3.1,2.9
2007-11-01,3.2,2.9
2007-12-01,3.3,2.9
2008-01-01,3.4,3
2008-02-01,3.5,3
2008-03-01,3.8,3
2008-04-01,4.2,3
2008-05-01,4.8,3.2
2008-06-01,5,3.3
2008-07-01,5.1,3.3
2008-08-01,5,3.3
2008-09-01,4.7,3.1
2008-10-01,4.3,3
2008-11-01,3.7,2.9
2008-12-01,2.8,2.8
2009-01-01,2.3,2.8
2009-02-01,1.9,2.9
2009-03-01,2,2.9
2009-04-01,2.2,2.8
2009-05-01,2.5,2.8
2009-06-01,2.9,2.9
2009-07-01,2.9,3
2009-08-01,2.9,2.9
2009-09-01,2.6,2.9
2009-10-01,2.6,2.8
2009-11-01,2.6,2.9
2009-12-01,2.7,2.9
2010-01-01,2.7,2.9
2010-02-01,2.7,2.8
2010-03-01,2.7,2.8
2010-04-01,2.8,2.7
2010-05-01,2.9,2.8
2010-06-01,3,2.8
2010-07-01,2.9,2.9
2010-08-01,2.7,2.8
2010-09-01,2.5,2.8
2010-10-01,2.5,2.8
2010-11-01,2.6,2.8
2010-12-01,2.9,2.8
2011-01-01,3.1,2.8
2011-02-01,3.3,2.9
2011-03-01,3.8,3
2011-04-01,4.2,3
2011-05-01,4.4,3
2011-06-01,4.2,2.9
2011-07-01,3.8,2.9
2011-08-01,3.6,2.9
2011-09-01,3.4,2.9
2011-10-01,3.3,2.8
2011-11-01,3.2,2.7
2011-12-01,3.2,2.7
2012-01-01,3.2,2.7
2012-02-01,3.2,2.8
2012-03-01,3.5,2.9
2012-04-01,3.5,2.9
2012-05-01,3.4,2.9
2012-06-01,3.1,2.8
2012-07-01,3,2.7
2012-08-01,3.2,2.8
2012-09-01,3.3,2.8
2012-10-01,3.3,2.8
2012-11-01,3.2,2.8
2012-12-01,3.1,2.8
2013-01-01,3.2,2.9
2013-02-01,3.3,2.9
2013-03-01,3.3,2.9
2013-04-01,3.2,2.9
2013-05-01,3.1,2.9
2013-06-01,3.1,2.9
2013-07-01,3.1,2.9
2013-08-01,3,2.9
2013-09-01,3.1,2.9
2013-10-01,3.1,2.9
2013-11-01,3.1,2.9
2013-12-01,3,2.8
2014-01-01,3,2.8
2014-02-01,3.1,2.8
2014-03-01,3.2,2.9
2014-04-01,3.2,2.9
