date,1Y,CurrentCalendarYear,NextCalendarYear
2021-01-04,1.98,1.94,2.09
2021-01-05,2.04,1.96,2.11
2021-01-06,2.08,2,2.14
2021-01-07,2.21,2.16,2.17
2021-01-08,2.13,2.06,2.19
2021-01-11,2.19,2.13,2.15
2021-01-12,2.16,2.1,2.16
2021-01-13,2.23,2.23,2.14
2021-01-14,2.25,2.25,2.16
2021-01-15,2.24,2.24,2.21
2021-01-19,2.24,2.24,2.26
2021-01-20,2.29,2.29,2.3
2021-01-21,2.32,2.32,2.34
2021-01-22,2.33,2.33,2.28
2021-01-25,2.32,2.32,2.28
2021-01-26,2.29,2.29,2.28
2021-01-27,2.28,2.28,2.26
2021-01-28,2.26,2.26,2.28
2021-01-29,2.2,2.2,2.25
2021-02-01,2.22,2.22,2.23
2021-02-02,2.27,2.27,2.21
2021-02-03,2.27,2.27,2.24
2021-02-04,2.26,2.26,2.24
2021-02-05,2.25,2.25,2.24
2021-02-08,2.3,2.3,2.24
2021-02-09,2.28,2.28,2.26
2021-02-10,2,2.25,2.32
2021-02-11,2,2.25,2.31
2021-02-12,2.01,2.26,2.33
2021-02-16,2.1,2.34,2.3
2021-02-17,2.12,2.37,2.27
2021-02-18,2.06,2.31,2.25
2021-02-19,2.07,2.33,2.19
2021-02-22,2.14,2.38,2.24
2021-02-23,2.15,2.4,2.32
2021-02-24,2.24,2.48,2.33
2021-02-25,2.24,2.49,2.25
2021-02-26,2.21,2.47,2.34
2021-03-01,2.26,2.52,2.41
2021-03-02,2.33,2.57,2.5
2021-03-03,2.35,2.58,2.54
2021-03-04,2.38,2.62,2.51
2021-03-05,2.48,2.72,2.49
2021-03-08,2.37,2.61,2.47
2021-03-09,2.41,2.65,2.46
2021-03-10,2.21,2.72,2.49
2021-03-11,2.29,2.8,2.58
2021-03-12,2.33,2.84,2.54
2021-03-15,2.35,2.87,2.53
2021-03-16,2.37,2.89,2.55
2021-03-17,2.36,2.88,2.6
2021-03-18,2.32,2.84,2.56
2021-03-19,2.29,2.81,2.51
2021-03-22,2.33,2.85,2.53
2021-03-23,2.28,2.8,2.51
2021-03-24,2.33,2.85,2.6
2021-03-25,2.36,2.88,2.55
2021-03-26,2.41,2.9,2.66
2021-03-29,2.39,2.91,2.64
2021-03-30,2.37,2.89,2.62
2021-03-31,2.41,2.94,2.61
2021-04-01,2.47,3,2.61
2021-04-05,2.46,2.95,2.6
2021-04-06,2.36,2.9,2.65
2021-04-07,2.38,2.88,2.68
2021-04-08,2.45,2.94,2.64
2021-04-09,2.5,3,2.67
2021-04-12,2.52,3.02,2.65
2021-04-13,2.25,3.07,2.68
2021-04-14,2.29,3.13,2.66
2021-04-15,2.3,3.12,2.67
2021-04-16,2.38,3.22,2.65
2021-04-19,2.34,3.19,2.6
2021-04-20,2.29,3.16,2.58
2021-04-21,2.3,3.18,2.53
2021-04-22,2.24,3.14,2.57
2021-04-23,2.28,3.15,2.62
2021-04-26,2.29,3.15,2.66
2021-04-27,2.35,3.21,2.7
2021-04-28,2.5,3.3,2.84
2021-04-29,2.51,3.33,2.84
2021-04-30,2.47,3.31,2.8
2021-05-03,2.59,3.41,2.8
2021-05-04,2.69,3.49,2.85
2021-05-05,2.75,3.54,2.87
2021-05-06,2.76,3.56,2.84
2021-05-07,2.81,3.61,2.83
2021-05-10,2.93,3.71,2.81
2021-05-11,2.92,3.71,2.74
2021-05-12,2.76,4.02,2.68
2021-05-13,2.76,4.02,2.65
2021-05-14,2.96,4.15,2.62
2021-05-17,3.03,4.25,2.67
2021-05-18,3.06,4.27,2.68
2021-05-19,2.99,4.23,2.59
2021-05-20,2.86,4.16,2.54
2021-05-21,2.89,4.21,2.56
2021-05-24,2.99,4.25,2.64
2021-05-25,3,4.29,2.63
2021-05-26,3.03,4.32,2.6
2021-05-27,3.07,4.36,2.58
2021-05-28,3.1,4.41,2.58
2021-06-01,3.15,4.46,2.61
2021-06-02,3.22,4.55,2.62
2021-06-03,3.18,4.54,2.52
2021-06-04,3.26,4.61,2.55
2021-06-07,3.27,4.62,2.57
2021-06-08,3.22,4.58,2.52
2021-06-09,3.09,4.54,2.37
2021-06-10,2.48,4.55,2.45
2021-06-11,2.52,4.6,2.43
2021-06-14,2.55,4.6,2.43
2021-06-15,2.58,4.64,2.44
2021-06-16,2.63,4.66,2.42
2021-06-17,2.58,4.68,2.36
2021-06-18,2.6,4.69,2.38
2021-06-21,2.68,4.73,2.38
2021-06-22,2.74,4.79,2.41
2021-06-23,2.75,4.8,2.48
2021-06-24,2.71,4.79,2.46
2021-06-25,2.79,4.86,2.46
2021-06-28,2.82,4.87,2.47
2021-06-29,2.84,4.9,2.46
2021-06-30,2.88,4.95,2.48
2021-07-01,2.87,4.96,2.47
2021-07-02,2.91,5,2.46
2021-07-06,2.95,5.04,2.47
2021-07-07,2.83,4.95,2.43
2021-07-08,2.78,4.97,2.36
2021-07-09,2.84,5.03,2.38
2021-07-12,2.89,4.99,2.52
2021-07-13,2.41,5.24,2.61
2021-07-14,2.54,5.34,2.62
2021-07-15,2.48,5.32,2.53
2021-07-16,2.52,5.37,2.53
2021-07-19,2.29,5.26,2.43
2021-07-20,2.27,5.26,2.36
2021-07-21,2.38,5.33,2.4
2021-07-22,2.44,5.39,2.43
2021-07-23,2.55,5.45,2.5
2021-07-26,2.62,5.48,2.61
2021-07-27,2.66,5.52,2.61
2021-07-28,2.69,5.52,2.64
2021-07-29,2.68,5.55,2.65
2021-07-30,2.73,5.6,2.63
2021-08-02,2.6,5.53,2.57
2021-08-03,2.56,5.47,2.54
2021-08-04,2.51,5.46,2.46
2021-08-05,2.51,5.48,2.42
2021-08-06,2.54,5.5,2.42
2021-08-09,2.5,5.43,2.45
2021-08-10,2.54,5.44,2.54
2021-08-11,2.26,5.44,2.58
2021-08-12,2.33,5.48,2.61
2021-08-13,2.34,5.5,2.59
2021-08-16,2.32,5.52,2.55
2021-08-17,2.33,5.53,2.55
2021-08-18,2.33,5.58,2.5
2021-08-19,2.31,5.49,2.53
2021-08-20,2.26,5.49,2.49
2021-08-23,2.31,5.5,2.54
2021-08-24,2.38,5.56,2.57
2021-08-25,2.46,5.62,2.62
2021-08-26,2.5,5.65,2.62
2021-08-27,2.67,5.8,2.71
2021-08-30,2.66,5.77,2.71
2021-08-31,2.67,5.82,2.67
2021-09-01,2.67,5.81,2.64
2021-09-02,2.71,5.82,2.69
2021-09-03,2.73,5.85,2.69
2021-09-07,2.77,5.88,2.7
2021-09-08,2.78,5.9,2.68
2021-09-09,2.79,5.9,2.71
2021-09-10,2.85,5.95,2.74
2021-09-13,2.85,5.94,2.74
2021-09-14,2.77,5.89,2.68
2021-09-15,2.82,5.92,2.71
2021-09-16,2.83,5.91,2.74
2021-09-17,2.85,5.94,2.71
2021-09-20,2.77,5.91,2.66
2021-09-21,2.74,5.89,2.64
2021-09-22,2.76,5.9,2.64
2021-09-23,2.78,5.91,2.65
2021-09-24,2.77,5.92,2.64
2021-09-27,2.82,5.94,2.68
2021-09-28,2.82,5.93,2.69
2021-09-29,2.85,5.94,2.71
2021-09-30,2.87,5.96,2.71
2021-10-01,2.89,5.98,2.7
2021-10-04,2.98,6.07,2.74
2021-10-05,3.13,6.15,2.82
2021-10-06,3.08,6.12,2.78
2021-10-07,3.11,6.14,2.81
2021-10-08,3.13,6.14,2.84
2021-10-12,3.17,6.15,2.88
2021-10-13,3.15,6.22,2.88
2021-10-14,3.2,6.24,2.93
2021-10-15,3.25,6.3,2.94
2021-10-18,3.22,6.3,2.9
2021-10-19,3.26,6.32,2.9
2021-10-20,3.35,6.4,2.94
2021-10-21,3.48,6.44,3.05
2021-10-22,3.51,6.48,3.07
2021-10-25,3.59,6.48,3.16
2021-10-26,3.65,6.54,3.16
2021-10-27,3.59,6.49,3.16
2021-10-28,3.49,6.46,3.07
2021-10-29,3.51,6.46,3.09
2021-11-01,3.49,6.44,3.08
2021-11-02,3.45,6.46,3
2021-11-03,3.43,6.45,3
2021-11-04,3.53,6.48,3.06
2021-11-05,3.53,6.49,3.05
2021-11-08,3.54,6.49,3.07
2021-11-09,3.64,6.53,3.13
2021-11-10,3.22,6.78,3.11
2021-11-12,3.48,6.86,3.32
2021-11-15,3.65,6.97,3.37
2021-11-16,3.78,7.05,3.43
2021-11-17,3.83,7.05,3.47
2021-11-18,3.86,7.02,3.55
2021-11-19,3.64,6.95,3.39
2021-11-22,3.56,6.98,3.25
2021-11-23,3.57,6.96,3.3
2021-11-24,3.74,6.99,3.44
2021-11-26,3.48,6.91,3.22
2021-11-29,3.52,6.92,3.26
2021-11-30,3.45,6.92,3.17
2021-12-01,3.35,6.91,3.07
2021-12-02,3.37,6.91,3.12
2021-12-03,3.47,6.94,3.21
2021-12-06,3.52,6.94,3.27
2021-12-07,3.66,6.96,3.4
2021-12-08,3.71,6.99,3.43
2021-12-09,3.68,6.98,3.39
2021-12-10,3.26,7.15,3.08
2021-12-13,3.27,7.12,3.12
2021-12-14,3.14,7.11,2.98
2021-12-15,3.09,7.11,2.93
2021-12-16,3.16,7.11,3.01
2021-12-17,3.19,7.12,3.02
2021-12-20,3.05,7.1,2.9
2021-12-21,3.1,7.08,2.97
2021-12-22,3.17,7.1,3.03
2021-12-23,3.2,7.11,3.05
2021-12-27,3.24,7.11,3.09
2021-12-28,3.26,7.11,3.11
2021-12-29,3.3,7.12,3.15
2021-12-30,3.33,7.14,3.16
2021-12-31,3.33,3.17,2.95
2022-01-03,3.36,3.22,3.02
2022-01-04,3.42,3.26,2.98
2022-01-05,3.43,3.28,2.95
2022-01-06,3.42,3.26,2.81
2022-01-07,3.46,3.27,2.81
2022-01-10,3.5,3.31,2.82
2022-01-11,3.66,3.46,2.91
2022-01-12,3.58,3.58,2.9
2022-01-13,3.52,3.52,2.82
2022-01-14,3.46,3.46,2.88
2022-01-18,3.48,3.48,2.87
2022-01-19,3.44,3.44,2.84
