Name of time-series,National Government Debt/Total,_By Holder and Lender/Bank of Japan
2000/02,4857301,687034
2000/03,4929698,791802
2000/04,5020041,657934
2000/05,5057420,653327
2000/06,5023687,649899
2000/07,5107754,650744
2000/08,5088311,674473
2000/09,5110449,645663
2000/10,5130721,665854
2000/11,5217059,728387
2000/12,5220991,715028
2001/01,5280737,710341
2001/02,5328711,685796
2001/03,5383864,727264
2001/04,5478899,679827
2001/05,5551480,603666
2001/06,5571861,655669
2001/07,5618939,670494
2001/08,5646849,667367
2001/09,5655553,662773
2001/10,5683377,649045
2001/11,5761532,624695
2001/12,5824556,639365
2002/01,5883027,602821
2002/02,6002803,666403
2002/03,6073122,702461
2002/04,6191690,683406
2002/05,6257113,634149
2002/06,6273900,664236
2002/07,6340073,671992
2002/08,6347485,680013
2002/09,6315261,654228
2002/10,6372506,673199
2002/11,6440766,654263
2002/12,6431945,690634
2003/01,6480236,657350
2003/02,6611624,698219
2003/03,6687605,767095
2003/04,6364765,756570
2003/05,6467668,759780
2003/06,6437599,741851
2003/07,6481597,788192
2003/08,6529170,783708
2003/09,6556840,789244
2003/10,6630441,789626
2003/11,6705070,775039
2003/12,6701212,816222
2004/01,6754568,722632
2004/02,6881373,716190
2004/03,7031478,804100
2004/04,7137451,772967
2004/05,7234210,750372
2004/06,7292281,817164
2004/07,7313807,773556
2004/08,7346491,765623
2004/09,7309853,751261
2004/10,7403860,713392
2004/11,7486455,701642
2004/12,7511065,734425
2005/01,7616134,639726
2005/02,7712790,669783
2005/03,7815517,759107
2005/04,7936372,692600
2005/05,7965355,663955
2005/06,7958338,711196
2005/07,8037991,677986
2005/08,8034007,684131
2005/09,7990201,711386
2005/10,8055783,693218
2005/11,8118601,676267
2005/12,8131830,704225
2006/01,8228956,643485
2006/02,8273889,622683
2006/03,8274805,704410
2006/04,8378331,671098
2006/05,8416437,610844
2006/06,8277948,729541
2006/07,8317851,675156
2006/08,8333308,633570
2006/09,8279166,652804
2006/10,8369960,608402
2006/11,8438731,605682
2006/12,8322631,693212
2007/01,8357428,638908
2007/02,8411586,633250
2007/03,8343786,670052
2007/04,8462647,674555
2007/05,8518885,626646
2007/06,8365213,672225
2007/07,8397503,579301
2007/08,8414163,576469
2007/09,8336982,625427
2007/10,8398137,606300
2007/11,8479881,579468
2007/12,8380050,624019
2008/01,8467410,564449
2008/02,8545425,528579
2008/03,8492396,632282
2008/04,8602864,603810
2008/05,8606074,573109
2008/06,8484424,640515
2008/07,8487786,555439
2008/08,8508244,539232
2008/09,8432794,621813
2008/10,8468130,640614
2008/11,8523553,595901
2008/12,8466905,682680
2009/01,8503151,589805
2009/02,8553336,570631
2009/03,8464970,625687
2009/04,8598413,669811
2009/05,8645882,563119
2009/06,8602557,651602
2009/07,8640929,565142
2009/08,8699632,530949
2009/09,8645226,603950
2009/10,8694778,601542
2009/11,8804164,571397
2009/12,8715104,664486
2010/01,8767304,555212
2010/02,8842183,514126
2010/03,8829235,639478
2010/04,8987473,659567
2010/05,9058648,608479
2010/06,9040772,695319
2010/07,9092805,632441
2010/08,9114479,566832
2010/09,9088617,601546
2010/10,9153378,592833
2010/11,9217056,551912
2010/12,9191511,609362
2011/01,9236060,529521
2011/02,9311976,513740
2011/03,9243596,645104
2011/04,9423384,667116
2011/05,9483834,611684
2011/06,9438096,704090
2011/07,9492643,637840
2011/08,9586810,610182
2011/09,9544180,669718
2011/10,9557657,647458
2011/11,9693950,679667
2011/12,9586385,771462
2012/01,9584357,651972
2012/02,9630405,581727
2012/03,9599503,722650
2012/04,9776812,752519
2012/05,9850746,694496
2012/06,9761853,824916
2012/07,9798394,771559
2012/08,9870206,779998
2012/09,9832950,848780
2012/10,9897584,855372
2012/11,9996125,843025
2012/12,9972181,974219
2013/01,9944770,936635
2013/02,9922825,935955
2013/03,9916011,1101590
2013/04,10043459,1177073
2013/05,10129026,1203889
2013/06,10086281,1355095
2013/07,10083210,1341345
2013/08,10137641,1367778
2013/09,10111785,1464323
2013/10,10153565,1511041
2013/11,10218992,1528356
2013/12,10179459,1605970
2014/01,10198236,1598123
2014/02,10270656,1650349
2014/03,10249568,1826883
2014/04,10461952,1851563
2014/05,10495718,1870161
2014/06,10394132,1979778
2014/07,10414855,1997490
2014/08,10487251,2007721
2014/09,10389150,2111563
2014/10,10453783,2151560
2014/11,10530582,2192769
2014/12,10299205,2363785
2015/01,10475243,2297996
2015/02,10545473,2315995
2015/03,10533572,2483270
2015/04,10673776,2547935
2015/05,10692680,2538315
2015/06,10572235,2750252
2015/07,10600079,2748038
2015/08,10645145,2761236
2015/09,10544243,2936923
2015/10,10611646,3006190
2015/11,10707318,3097517
2015/12,10445904,3191133
2016/01,10752178,3277001
2016/02,10612579,3387502
2016/03,10493661,3426165
2016/04,10564187,3519795
2016/05,10639122,3629240
2016/06,10534676,3683120
2016/07,10614009,3780170
2016/08,10706298,3876416
2016/09,10625745,3885942
2016/10,10698192,3940246
2016/11,10778985,4006359
2016/12,10664234,3998880
2017/01,10734419,4051790
2017/02,10813202,4102303
2017/03,10715594,4049411
2017/04,10775029,4146744
2017/05,10839208,4173502
2017/06,10789664,4170439
2017/07,10832242,4202822
2017/08,10891472,4251317
2017/09,10804405,4256460
2017/10,10866908,4295857
2017/11,10954229,4326908
2017/12,10857537,4293447
2018/01,10914761,4350292
2018/02,10990006,4404122
2018/03,10878130,4378948
2018/04,10942186,4434998
2018/05,11016037,4487794
2018/06,10889851,4439069
2018/07,10949291,4514631
2018/08,11020142,4569778
2018/09,10917685,4513809
2018/10,10986022,4562223
2018/11,11072575,4587484
2018/12,11005266,4557133
2019/01,11070214,4594488
2019/02,11146660,4640421
2019/03,11033543,4589168
2019/04,11094723,4633431
2019/05,11156493,4681237
2019/06,11054353,4647884
2019/07,11101326,4680369
2019/08,11175159,4716164
2019/09,11049286,4681054
2019/10,11110846,4723769
2019/11,11199226,4751113
2019/12,11107807,4684546
2020/01,11163115,4731553
2020/02,11246649,4791643
2020/03,11145400,4503725
2020/04,11246907,4620273
2020/05,11433988,4699107
2020/06,11590289,4863185
2020/07,11831247,5107658
2020/08,11982649,5200640
2020/09,11899160,5175046
2020/10,12049231,5232724
2020/11,12204361,5261976
2020/12,12124680,5221465
2021/01,12214568,5234802
2021/02,12288132,5265169
2021/03,12164634,5198870
2021/04,12244414,5242726
2021/05,12323161,5266564
2021/06,,
2021/07,,
2021/08,,
2021/09,,
2021/10,,
2021/11,,
2021/12,,
2022/01,,
2022/02,,
2022/03,,
2022/04,,
2022/05,,
2022/06,,
2022/07,,
2022/08,,
2022/09,,
2022/10,,
2022/11,,
2022/12,,
