date,Alabama ,Alaska ,Arizona ,Arkansas ,California ,Colorado ,Connecticut ,Delaware ,District of Columbia ,Florida ,Georgia ,Hawaii ,Idaho ,Illinois ,Indiana ,Iowa ,Kansas ,Kentucky ,Louisiana ,Maine ,Maryland ,Massachusetts ,Michigan ,Minnesota ,Mississippi ,Missouri ,Montana ,Nebraska ,Nevada ,New Hampshire ,New Jersey ,New Mexico ,New York ,North Carolina ,North Dakota ,Ohio ,Oklahoma ,Oregon ,Pennsylvania ,Rhode Island ,South Carolina ,South Dakota ,Tennessee ,Texas ,Utah ,Vermont ,Virginia ,Washington ,West Virginia ,Wisconsin ,Wyoming 
1900,1830000,,124000,1314000,1490000,543000,910000,185000,,530000,2220000,,163000,4828000,2518000,2231000,1473000,2148000,1384000,695000,1189000,2788000,2423000,1754000,1553000,3108000,245000,1067000,43000,412000,1884000,196000,7283000,1897000,321000,4161000,800000,415000,6313000,430000,1342000,403000,2023000,3055000,277000,344000,1858000,523000,959000,2072000,93000
1901,1907000,,131000,1341000,1550000,581000,931000,187000,,544000,2263000,,176000,4914000,2541000,2227000,1490000,2162000,1412000,699000,1200000,2794000,2450000,1805000,1578000,3128000,261000,1078000,45000,412000,1889000,206000,7449000,1926000,346000,4216000,916000,434000,6439000,441000,1361000,418000,2041000,3132000,284000,347000,1887000,583000,972000,2109000,100000
1902,1935000,,138000,1360000,1623000,621000,952000,188000,,565000,2305000,,199000,4992000,2567000,2222000,1505000,2177000,1440000,703000,1210000,2856000,2477000,1862000,1603000,3147000,270000,1089000,49000,409000,1917000,218000,7612000,1956000,371000,4322000,1027000,454000,6567000,450000,1379000,431000,2060000,3210000,292000,349000,1894000,651000,1000000,2141000,105000
1903,1957000,,144000,1384000,1702000,652000,972000,190000,,587000,2346000,,216000,5071000,2594000,2217000,1498000,2191000,1467000,709000,1209000,2924000,2505000,1901000,1628000,3166000,282000,1104000,52000,394000,1969000,229000,7771000,1986000,396000,4386000,1118000,479000,6699000,460000,1397000,437000,2082000,3291000,299000,350000,1890000,719000,1037000,2171000,108000
1904,1978000,,151000,1419000,1792000,659000,987000,192000,,599000,2387000,,229000,5161000,2614000,2212000,1527000,2205000,1495000,719000,1217000,2969000,2534000,1945000,1653000,3185000,293000,1119000,56000,407000,2050000,242000,7927000,2017000,421000,4458000,1200000,504000,6833000,471000,1415000,452000,2086000,3374000,308000,353000,1889000,782000,1064000,2202000,111000
1905,2012000,,158000,1447000,1893000,680000,1010000,194000,,615000,2427000,,246000,5241000,2635000,2211000,1555000,2220000,1523000,723000,1237000,3018000,2579000,1981000,1678000,3204000,305000,1129000,59000,423000,2151000,255000,8084000,2051000,446000,4530000,1277000,530000,6970000,481000,1433000,461000,2111000,3459000,316000,354000,1917000,842000,1094000,2231000,114000
1906,2045000,,167000,1465000,1976000,707000,1033000,196000,,628000,2466000,,262000,5309000,2663000,2214000,1576000,2234000,1551000,729000,1251000,3107000,2626000,1987000,1703000,3223000,322000,1138000,64000,415000,2239000,269000,8289000,2077000,474000,4587000,1349000,555000,7110000,492000,1451000,477000,2136000,3546000,327000,355000,1942000,904000,1122000,2250000,118000
1907,2058000,,176000,1484000,2054000,733000,1057000,197000,,645000,2505000,,277000,5384000,2679000,2217000,1612000,2249000,1579000,731000,1257000,3183000,2693000,1995000,1728000,3242000,332000,1149000,68000,423000,2314000,283000,8499000,2105000,501000,4630000,1414000,580000,7253000,505000,1468000,498000,2136000,3636000,339000,355000,1952000,967000,1149000,2268000,125000
1908,2070000,,186000,1513000,2161000,757000,1077000,199000,,684000,2543000,,291000,5474000,2677000,2220000,1629000,2263000,1607000,735000,1269000,3251000,2722000,2020000,1753000,3260000,346000,1161000,73000,428000,2403000,298000,8714000,2142000,528000,4677000,1498000,610000,7398000,519000,1485000,527000,2164000,3727000,351000,354000,1994000,1028000,1174000,2292000,133000
1909,2108000,,196000,1545000,2282000,775000,1097000,201000,,724000,2580000,,311000,5567000,2678000,2223000,1658000,2278000,1634000,740000,1289000,3316000,2771000,2051000,1777000,3279000,363000,1177000,78000,431000,2487000,314000,8935000,2174000,555000,4701000,1585000,643000,7546000,532000,1502000,553000,2177000,3821000,363000,356000,2038000,1091000,1203000,2317000,141000
1910,2150000,,206000,1583000,2406000,804000,1122000,203000,,756000,2618000,,329000,5668000,2713000,2228000,1692000,2299000,1667000,745000,1302000,3365000,2832000,2086000,1802000,3301000,380000,1198000,82000,431000,2550000,329000,9137000,2221000,580000,4786000,1671000,677000,7706000,545000,1523000,590000,2191000,3922000,377000,357000,2071000,1148000,1231000,2345000,147000
