state,year,quarter,pi_nt,pi_t,pi
Alabama,2013,4,1.4543445,-0.19275713,0.85461706
Alabama,2014,1,1.4661173,0.20580332,1.0091624
Alabama,2014,2,2.5144417,1.8828692,2.313751
Alabama,2014,3,1.4379569,1.5329692,1.4607126
Alabama,2014,4,0.034547865,0.49908447,0.10417902
Alabama,2015,1,1.3617426,-1.8971738,-5.90E-06
Alabama,2015,2,1.0947945,-2.8902328,-0.55816448
Alabama,2015,3,1.1213942,-4.0146885,-0.95476162
Alabama,2015,4,1.8154966,-3.5677724,-0.28056955
Alabama,2016,1,0.56600475,-2.6126025,-0.64194518
Alabama,2016,2,-0.092846245,-0.75576943,-0.3396911
Alabama,2016,3,0.95787835,0.40648475,0.80312425
Alabama,2016,4,2.4233189,0.57696778,1.8063211
Alabama,2017,1,2.2047021,1.7659055,2.1013272
Alabama,2017,2,3.9506247,-0.31541377,2.4822798
Alabama,2017,3,2.0835719,-0.51511681,1.1577666
Alabama,2017,4,-1.1453016,-0.36423385,-0.94276398
Alaska,1978,1,6.0652909,-4.1245537,1.3894299
Alaska,1978,2,4.2027864,-0.27043736,2.1361556
Alaska,1978,3,8.4749813,2.9040673,5.8542442
Alaska,1978,4,3.539597,6.0433183,4.477726
Alaska,1979,1,5.0014601,6.8073554,5.597373
Alaska,1979,2,6.4656835,4.5792189,5.475965
Alaska,1979,3,5.7326117,5.0427327,5.304121
Alaska,1979,4,5.8553271,5.3818126,5.527833
Alaska,1980,1,5.1351466,6.158452,5.5668449
Alaska,1980,2,5.5648961,6.5231218,6.0049081
Alaska,1980,3,4.5572624,6.7382278,5.5687127
Alaska,1980,4,4.5281129,7.7052464,5.9906073
Alaska,1981,1,5.9935875,5.0947227,5.5893698
Alaska,1981,2,5.2809477,5.0681705,5.1824331
Alaska,1981,3,5.2482424,5.3851562,5.3085718
Alaska,1981,4,5.3438396,3.8432398,4.6472716
Alaska,1982,1,3.6023307,5.0903163,4.2801199
Alaska,1982,2,2.4876499,3.5723369,2.9830449
Alaska,1982,3,2.54913,1.321788,1.9812795
Alaska,1982,4,2.5209231,1.7049857,2.1434941
