Series ID,Year,Period,Label,Value
Alabama,1980,M07,1980 Jul,9.2
Alabama,1980,M08,1980 Aug,9.3
Alabama,1980,M09,1980 Sep,9.4
Alabama,1980,M10,1980 Oct,9.5
Alabama,1980,M11,1980 Nov,9.5
Alabama,1980,M12,1980 Dec,9.6
Alabama,1981,M01,1981 Jan,9.7
Alabama,1981,M02,1981 Feb,9.8
Alabama,1981,M03,1981 Mar,9.9
Alabama,1981,M04,1981 Apr,10
Alabama,1981,M05,1981 May,10.1
Alabama,1981,M06,1981 Jun,10.3
Alabama,1981,M07,1981 Jul,10.5
Alabama,1981,M08,1981 Aug,10.8
Alabama,1981,M09,1981 Sep,11.2
Alabama,1981,M10,1981 Oct,11.6
Alabama,1981,M11,1981 Nov,12
Alabama,1981,M12,1981 Dec,12.4
Alabama,1982,M01,1982 Jan,12.7
Alabama,1982,M02,1982 Feb,13
Alabama,1982,M03,1982 Mar,13.2
Alabama,1982,M04,1982 Apr,13.5
Alabama,1982,M05,1982 May,13.7
Alabama,1982,M06,1982 Jun,13.9
Alabama,1982,M07,1982 Jul,14.1
Alabama,1982,M08,1982 Aug,14.3
Alabama,1982,M09,1982 Sep,14.5
Alabama,1982,M10,1982 Oct,14.7
Alabama,1982,M11,1982 Nov,14.9
Alabama,1982,M12,1982 Dec,14.9
Alabama,1983,M01,1983 Jan,14.9
Alabama,1983,M02,1983 Feb,14.8
Alabama,1983,M03,1983 Mar,14.6
Alabama,1983,M04,1983 Apr,14.4
Alabama,1983,M05,1983 May,14.2
Alabama,1983,M06,1983 Jun,14
Alabama,1983,M07,1983 Jul,13.8
Alabama,1983,M08,1983 Aug,13.6
Alabama,1983,M09,1983 Sep,13.3
Alabama,1983,M10,1983 Oct,13
Alabama,1983,M11,1983 Nov,12.7
Alabama,1983,M12,1983 Dec,12.5
Alabama,1984,M01,1984 Jan,12.3
Alabama,1984,M02,1984 Feb,12
Alabama,1984,M03,1984 Mar,11.8
Alabama,1984,M04,1984 Apr,11.7
Alabama,1984,M05,1984 May,11.5
Alabama,1984,M06,1984 Jun,11.4
Alabama,1984,M07,1984 Jul,11.2
Alabama,1984,M08,1984 Aug,11.1
Alabama,1984,M09,1984 Sep,10.9
Alabama,1984,M10,1984 Oct,10.7
Alabama,1984,M11,1984 Nov,10.5
Alabama,1984,M12,1984 Dec,10.3
Alabama,1985,M01,1985 Jan,10.1
Alabama,1985,M02,1985 Feb,10
Alabama,1985,M03,1985 Mar,9.9
Alabama,1985,M04,1985 Apr,9.8
Alabama,1985,M05,1985 May,9.6
Alabama,1985,M06,1985 Jun,9.5
Alabama,1985,M07,1985 Jul,9.4
Alabama,1985,M08,1985 Aug,9.3
Alabama,1985,M09,1985 Sep,9.2
Alabama,1985,M10,1985 Oct,9.2
Alabama,1985,M11,1985 Nov,9.2
Alabama,1985,M12,1985 Dec,9.3
Alabama,1986,M01,1986 Jan,9.4
Alabama,1986,M02,1986 Feb,9.5
Alabama,1986,M03,1986 Mar,9.7
Alabama,1986,M04,1986 Apr,9.7
Alabama,1986,M05,1986 May,9.8
Alabama,1986,M06,1986 Jun,9.7
Alabama,1986,M07,1986 Jul,9.7
Alabama,1986,M08,1986 Aug,9.6
Alabama,1986,M09,1986 Sep,9.5
Alabama,1986,M10,1986 Oct,9.5
Alabama,1986,M11,1986 Nov,9.4
Alabama,1986,M12,1986 Dec,9.3
Alabama,1987,M01,1987 Jan,9.2
Alabama,1987,M02,1987 Feb,9
Alabama,1987,M03,1987 Mar,8.8
Alabama,1987,M04,1987 Apr,8.5
Alabama,1987,M05,1987 May,8.3
Alabama,1987,M06,1987 Jun,8.1
Alabama,1987,M07,1987 Jul,7.9
Alabama,1987,M08,1987 Aug,7.8
Alabama,1987,M09,1987 Sep,7.8
Alabama,1987,M10,1987 Oct,7.7
Alabama,1987,M11,1987 Nov,7.6
Alabama,1987,M12,1987 Dec,7.5
Alabama,1988,M01,1988 Jan,7.4
Alabama,1988,M02,1988 Feb,7.3
Alabama,1988,M03,1988 Mar,7.3
Alabama,1988,M04,1988 Apr,7.2
Alabama,1988,M05,1988 May,7.2
Alabama,1988,M06,1988 Jun,7.2
Alabama,1988,M07,1988 Jul,7.2
Alabama,1988,M08,1988 Aug,7.3
Alabama,1988,M09,1988 Sep,7.3
Alabama,1988,M10,1988 Oct,7.3
Alabama,1988,M11,1988 Nov,7.3
Alabama,1988,M12,1988 Dec,7.3
Alabama,1989,M01,1989 Jan,7.2
Alabama,1989,M02,1989 Feb,7.1
Alabama,1989,M03,1989 Mar,7.1
Alabama,1989,M04,1989 Apr,7.1
Alabama,1989,M05,1989 May,7.1
Alabama,1989,M06,1989 Jun,7.1
Alabama,1989,M07,1989 Jul,7.1
Alabama,1989,M08,1989 Aug,7
Alabama,1989,M09,1989 Sep,6.9
Alabama,1989,M10,1989 Oct,6.8
Alabama,1989,M11,1989 Nov,6.8
Alabama,1989,M12,1989 Dec,6.7
Alabama,1990,M01,1990 Jan,6.7
Alabama,1990,M02,1990 Feb,6.7
Alabama,1990,M03,1990 Mar,6.7
Alabama,1990,M04,1990 Apr,6.7
Alabama,1990,M05,1990 May,6.7
Alabama,1990,M06,1990 Jun,6.7
Alabama,1990,M07,1990 Jul,6.8
Alabama,1990,M08,1990 Aug,6.8
Alabama,1990,M09,1990 Sep,6.9
Alabama,1990,M10,1990 Oct,7
Alabama,1990,M11,1990 Nov,7.1
Alabama,1990,M12,1990 Dec,7.1
Alabama,1991,M01,1991 Jan,7.2
Alabama,1991,M02,1991 Feb,7.3
Alabama,1991,M03,1991 Mar,7.3
Alabama,1991,M04,1991 Apr,7.4
Alabama,1991,M05,1991 May,7.4
Alabama,1991,M06,1991 Jun,7.3
Alabama,1991,M07,1991 Jul,7.3
Alabama,1991,M08,1991 Aug,7.3
Alabama,1991,M09,1991 Sep,7.3
Alabama,1991,M10,1991 Oct,7.3
Alabama,1991,M11,1991 Nov,7.4
Alabama,1991,M12,1991 Dec,7.4
Alabama,1992,M01,1992 Jan,7.5
Alabama,1992,M02,1992 Feb,7.5
Alabama,1992,M03,1992 Mar,7.6
Alabama,1992,M04,1992 Apr,7.6
Alabama,1992,M05,1992 May,7.6
Alabama,1992,M06,1992 Jun,7.6
Alabama,1992,M07,1992 Jul,7.6
Alabama,1992,M08,1992 Aug,7.5
Alabama,1992,M09,1992 Sep,7.5
Alabama,1992,M10,1992 Oct,7.4
Alabama,1992,M11,1992 Nov,7.4
Alabama,1992,M12,1992 Dec,7.5
Alabama,1993,M01,1993 Jan,7.5
Alabama,1993,M02,1993 Feb,7.5
Alabama,1993,M03,1993 Mar,7.5
Alabama,1993,M04,1993 Apr,7.4
Alabama,1993,M05,1993 May,7.4
Alabama,1993,M06,1993 Jun,7.3
Alabama,1993,M07,1993 Jul,7.3
Alabama,1993,M08,1993 Aug,7.2
Alabama,1993,M09,1993 Sep,7.1
Alabama,1993,M10,1993 Oct,7
Alabama,1993,M11,1993 Nov,6.9
Alabama,1993,M12,1993 Dec,6.8
Alabama,1994,M01,1994 Jan,6.7
Alabama,1994,M02,1994 Feb,6.6
Alabama,1994,M03,1994 Mar,6.4
Alabama,1994,M04,1994 Apr,6.3
Alabama,1994,M05,1994 May,6.2
Alabama,1994,M06,1994 Jun,6.1
Alabama,1994,M07,1994 Jul,6
Alabama,1994,M08,1994 Aug,6
Alabama,1994,M09,1994 Sep,6
Alabama,1994,M10,1994 Oct,6
Alabama,1994,M11,1994 Nov,5.9
Alabama,1994,M12,1994 Dec,5.9
Alabama,1995,M01,1995 Jan,5.9
Alabama,1995,M02,1995 Feb,5.9
Alabama,1995,M03,1995 Mar,5.9
Alabama,1995,M04,1995 Apr,5.9
Alabama,1995,M05,1995 May,6
Alabama,1995,M06,1995 Jun,6
Alabama,1995,M07,1995 Jul,5.9
Alabama,1995,M08,1995 Aug,5.9
Alabama,1995,M09,1995 Sep,5.8
Alabama,1995,M10,1995 Oct,5.7
Alabama,1995,M11,1995 Nov,5.6
Alabama,1995,M12,1995 Dec,5.5
Alabama,1996,M01,1996 Jan,5.5
Alabama,1996,M02,1996 Feb,5.4
Alabama,1996,M03,1996 Mar,5.4
Alabama,1996,M04,1996 Apr,5.3
Alabama,1996,M05,1996 May,5.3
Alabama,1996,M06,1996 Jun,5.2
Alabama,1996,M07,1996 Jul,5.1
Alabama,1996,M08,1996 Aug,5
Alabama,1996,M09,1996 Sep,5
Alabama,1996,M10,1996 Oct,5.1
Alabama,1996,M11,1996 Nov,5.1
Alabama,1996,M12,1996 Dec,5.1
Alabama,1997,M01,1997 Jan,5.1
Alabama,1997,M02,1997 Feb,5.1
Alabama,1997,M03,1997 Mar,5.1
Alabama,1997,M04,1997 Apr,5.1
Alabama,1997,M05,1997 May,5
Alabama,1997,M06,1997 Jun,5
Alabama,1997,M07,1997 Jul,5
Alabama,1997,M08,1997 Aug,4.9
Alabama,1997,M09,1997 Sep,4.8
Alabama,1997,M10,1997 Oct,4.8
Alabama,1997,M11,1997 Nov,4.7
Alabama,1997,M12,1997 Dec,4.6
Alabama,1998,M01,1998 Jan,4.5
Alabama,1998,M02,1998 Feb,4.4
Alabama,1998,M03,1998 Mar,4.4
Alabama,1998,M04,1998 Apr,4.4
Alabama,1998,M05,1998 May,4.4
Alabama,1998,M06,1998 Jun,4.4
Alabama,1998,M07,1998 Jul,4.5
Alabama,1998,M08,1998 Aug,4.5
Alabama,1998,M09,1998 Sep,4.5
