period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
3/1/2015,3/31/2015,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,208522,0.027314217,0.043115496,225294,0.022850478,0.083628233,131,0.01643138,0.026969132,140,0.023509055,0.065317064,39879,0.400351725,0.207049458,38128,0.37906067,0.169606724,60288,0.299136174,0.072060394,134385,0.031898715,0.031355302,3.369816254,-1.203237221,-0.574057281,58,-9,2,0.978568143,0.003107455,0.000223639,0.203291247,0.017045053,-0.011965329,0.088490518,0.006640669,0.016814217,0.435166502,0.014435758,-0.009373652,,,5/19/2024 14:18
4/1/2019,4/30/2019,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,251548,-0.000222076,0.020861446,273485,-0.008197569,0.034489523,218,0.012180619,0.024944138,235,0.001027409,0.046366486,63337,0.160591744,-0.015537703,60755,0.13833863,-0.054176398,86759,0.063301084,-0.007752324,183549,0.030438042,0.145910498,2.897952309,-0.366037748,0.408294705,39,-7,7,0.981064439,0.002187866,-0.006375053,0.200594682,0.016457873,-0.059364099,0.124721929,0.00429243,0.019835167,0.415386063,-0.011501186,-0.042828582,,,5/19/2024 14:18
8/1/2023,8/31/2023,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,427868,-0.002955871,0.048459941,455846,-0.00740202,0.056475881,189,0.011516528,0.081208139,200,0.007935735,0.060549887,9807,0.091800112,-0.164922958,9814,0.045840922,-0.185884631,13701,0.084892044,-0.04127214,29999,0.017778607,-0.185594176,3.0589088,-0.222469828,-0.077641109,32,0,0,0.991177794,0.000888252,0.005842913,0.379332131,0.009007856,0.029795164,0.124232854,0.012575499,-0.011372578,0.372210698,0.01314817,0.069774675,,,5/19/2024 14:18
10/1/2017,10/31/2017,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,278794.6346,0.000679154,0.063712746,293045.8141,0.003325657,0.063648536,141.0279672,-0.000379493,0.067781754,145.9859465,0.002678537,0.065470195,406080.6235,0.004861479,0.006332224,341428.047,0.035837043,0.069884125,473007.279,0.021189919,0.018303572,1196813.629,-0.017380865,-0.087443904,2.966001304,-0.043111658,-0.300270953,46.12960452,-1,-5,0.983695931,0.000519125,0.002750995,0.2464935,-0.001754565,0.014457771,0.123771447,-5.26E-05,0.006355284,0.387919024,0.018708478,0.025357155,,,5/19/2024 0:00
8/1/2017,8/31/2017,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,275397.9331,0.006541911,0.066234006,289791.9939,0.005608402,0.060914283,139.7625526,0.007567139,0.070416769,144.1266497,0.009457544,0.059847868,405078.6438,0.003824143,0.031967401,336597.1976,-0.01031441,0.068413963,476224.5985,-0.015764415,0.003481375,1237516.199,-0.009759277,-0.088902882,3.089179323,-0.021401666,-0.355816261,46.86525231,1,-6,0.982624798,0.000597399,0.002620531,0.247115601,7.58E-05,0.014955453,0.126903474,-0.000830193,0.002833535,0.37794884,0.000786085,0.021742538,,,5/19/2024 0:00
6/1/2022,6/30/2022,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,430182,-0.014082604,0.06550618,447894,-0.015090774,0.093301093,189,0.00281141,0.057535508,193,-0.02045525,0.091220811,13277,0.028384014,-0.126496838,13072,-0.026110417,-0.186438039,19659,0.03557792,-0.107781232,37089,0.116896852,0.027837644,2.793433066,0.221376476,0.419446639,27,1,7,1.003762204,-0.000204107,0.004513212,0.447721946,-0.008504838,0.009752952,0.130324135,0.033164381,0.031632416,0.381515299,-0.054475373,-0.086732413,,,5/19/2024 14:18
2/1/2018,2/28/2018,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,276574,-0.035861295,0.137751311,329865,0.061939211,0.172069917,131,-0.002024321,0.176072063,152,0.069519218,0.163621565,8163,-0.106058197,-0.007082153,7955,0.063236259,0.08110599,13224,0.100517,0.057749733,33250,0.028113838,-0.120772166,4.072903592,0.531526513,-0.526653554,46,-1,-12,0.962208484,-0.002370431,0.002285876,0.229694026,-0.015740997,0.004326195,0.078659927,-0.006089832,0.001346782,0.47263636,0.087816379,0.021645719,,,5/19/2024 14:18
9/1/2022,9/30/2022,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,397274,-0.026506857,-0.005326822,443885,0.028753088,0.095768157,174,-0.005614084,-0.013444267,195,0.033804044,0.064303839,10896,-0.072174349,-0.243258049,9841,-0.183592733,-0.309779606,13522,-0.053810582,-0.275179213,35975,-0.023369409,-0.062480312,3.301536868,0.164986959,0.636620617,37,5,13,0.979088331,-0.00624655,-0.012190973,0.312915666,-0.036621301,-0.072026737,0.127477958,-0.008127473,0.018651035,0.316158242,0.013722218,-0.090718002,,,5/19/2024 14:18
3/1/2021,3/31/2021,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,354830,0.050061293,0.168161677,371666,0.01798282,0.149481908,193,0.040733854,0.184177112,200,0.002171136,0.185928241,588276,0.342734569,0.162629174,603533,0.367630318,0.34618968,703754,0.384829773,0.051134911,725792,-0.006083975,-0.458247691,1.233760024,-0.432992692,-1.413954394,26,-7,-18,1.005986909,0.008250258,0.020084511,0.423267283,0.058931299,0.167186688,0.071142438,0.007174768,-0.039418892,0.613588409,0.044553239,0.134290943,,,5/19/2024 14:18
12/1/2015,12/31/2015,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,247870.962,0.015641351,0.078560418,263164.1814,0.008599803,0.074905601,125.6731426,0.009646599,0.077744367,130.7234943,0.009484507,0.074889394,387178.3865,0.120076933,0.09198828,300859.8617,0.002703643,0.148615544,465028.3139,-0.011427754,0.025447363,1408143.809,-0.018310539,-0.067338883,3.737309972,-0.496056444,-0.646519418,54.72970284,-2,-8,0.978917414,0.001656422,0.004557783,0.222029503,0.005204789,0.026761232,0.125532189,0.001828643,0.024300926,0.343224072,-0.004550119,0.039973748,,,5/19/2024 0:00
