DATE,LNS12300060
9/1/2014,76.8
10/1/2014,76.9
11/1/2014,76.9
12/1/2014,77.1
1/1/2015,77.1
2/1/2015,77.2
3/1/2015,77.1
4/1/2015,77.2
5/1/2015,77.2
6/1/2015,77.4
7/1/2015,77.1
8/1/2015,77.3
9/1/2015,77.2
10/1/2015,77.2
11/1/2015,77.4
12/1/2015,77.4
1/1/2016,77.7
2/1/2016,77.8
3/1/2016,77.9
4/1/2016,77.8
5/1/2016,77.9
6/1/2016,77.9
7/1/2016,78
8/1/2016,77.9
9/1/2016,78
10/1/2016,78.1
11/1/2016,78.1
12/1/2016,78.1
1/1/2017,78.2
2/1/2017,78.3
3/1/2017,78.5
4/1/2017,78.6
5/1/2017,78.5
6/1/2017,78.6
7/1/2017,78.8
8/1/2017,78.5
9/1/2017,79
10/1/2017,78.8
11/1/2017,79
12/1/2017,79
1/1/2018,78.9
2/1/2018,79.2
3/1/2018,79.2
4/1/2018,79.1
5/1/2018,79.3
6/1/2018,79.4
7/1/2018,79.6
8/1/2018,79.4
9/1/2018,79.4
10/1/2018,79.7
11/1/2018,79.6
12/1/2018,79.6
1/1/2019,79.8
2/1/2019,79.8
3/1/2019,79.8
4/1/2019,79.7
5/1/2019,79.7
6/1/2019,79.8
7/1/2019,79.6
8/1/2019,80.1
9/1/2019,80.2
10/1/2019,80.3
11/1/2019,80.3
12/1/2019,80.4
1/1/2020,80.5
2/1/2020,80.4
3/1/2020,79.5
4/1/2020,69.6
5/1/2020,71.3
6/1/2020,73.6
7/1/2020,73.9
8/1/2020,75.3
9/1/2020,75.1
10/1/2020,76
11/1/2020,76
12/1/2020,76.3
1/1/2021,76.4
2/1/2021,76.5
3/1/2021,76.8
4/1/2021,76.9
5/1/2021,77.1
6/1/2021,77.2
7/1/2021,77.8
