"","date","Foods, Feeds, & Beverages","Industrial Supplies & Materials incl. Oil & Energy","Capital Goods Ex Auto","Motor Vehicles, Parts, & Engines","Consumer Goods Ex Food & Auto"
"1",1999-01-01,0.0425659912397933,0.216436588926913,0.285918585697842,0.172116045701396,0.235276054662454
"2",2000-01-01,0.037743094626872,0.246620584839761,0.282292595244706,0.158277598354174,0.231086235368046
"3",2001-01-01,0.0409274153355159,0.241997709978582,0.259295952764191,0.163600447602975,0.248811433811707
"4",2002-01-01,0.0428865719294866,0.232477130372008,0.242842933619482,0.172829015385061,0.26535075570132
"5",2003-01-01,0.0444316396101216,0.251590101007084,0.233979697961385,0.164431891164848,0.266005759031011
"6",2004-01-01,0.0423281098720797,0.282459960667827,0.232550295663181,0.152741057372968,0.254047941712596
"7",2005-01-01,0.0407307379320919,0.314706749537097,0.225750964135345,0.140766708730879,0.243383142078758
"8",2006-01-01,0.0405075301060487,0.326506207558964,0.225009237597394,0.13628091666782,0.238339064015751
"9",2007-01-01,0.0417721576340891,0.32643440446206,0.226101985201981,0.130136879407274,0.241527789454713
"10",2008-01-01,0.0422358142556322,0.373044809033072,0.214216029892303,0.108908334100006,0.226816395933847
"11",2009-01-01,0.0524428410942865,0.29723643613234,0.236739292099809,0.100750304583788,0.272054556098796
"12",2010-01-01,0.0477021068103871,0.314741483792774,0.232293767245158,0.116372779081462,0.250197787462286
"13",2011-01-01,0.048331477584127,0.341782126411791,0.229221487164972,0.113945977607789,0.230309935416356
"14",2012-01-01,0.0482374598968898,0.31895966097001,0.239512637878519,0.129570539151618,0.2252072599923
"15",2013-01-01,0.0505625593059509,0.299302123964856,0.24364028807709,0.134934468694957,0.232266185811728
"16",2014-01-01,0.0531570166172007,0.283199607626138,0.25100147559401,0.138126498650167,0.234208628871338
"17",2015-01-01,0.0566422771988462,0.216642787481706,0.267089087029182,0.15398621092542,0.262363251891896
"18",2016-01-01,0.059355879294761,0.200160384560494,0.268944973144647,0.158956050552851,0.264996975799601
"19",2017-01-01,0.0589153965145172,0.21586185384568,0.272822528110272,0.152404677583291,0.256104263170291
"20",2018-01-01,0.0580111924033773,0.227027674238612,0.271643511544171,0.145562676128533,0.253421227063673
"21",2019-01-01,0.0603238073554804,0.20907649307941,0.270316969158058,0.14938953763755,0.260827875645111
"22",2020-01-01,0.0662373595224327,0.182910922318617,0.275725723528983,0.132046463009971,0.273029628073483
"23",2021-01-01,0.0643377442881697,0.224959749642248,0.268012451900515,0.121549937996724,0.269594035611256
"24",2022-01-01,0.0640687970335224,0.247195457321259,0.266072319205808,0.121992904893092,0.256569670849055
"25",2023-01-01,0.0648882816868022,0.214971439172007,0.278347620188653,0.147557836642885,0.243797649689915
"26",2024-01-01,0.0659372173902488,0.200324109760317,0.294089245504039,0.144309263833842,0.244640353486001
