Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2016/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,4028
Exports,2016/9,8542, Electronic integrated circuits,China,2160816
Exports,2016/9,8542, Electronic integrated circuits,Hong Kong,2092784
Exports,2016/9,8542, Electronic integrated circuits,Macao,879
Exports,2016/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,90417
Exports,2016/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1305
Exports,2016/10,8542, Electronic integrated circuits,China,2526628
Exports,2016/10,8542, Electronic integrated circuits,Hong Kong,2081612
Exports,2016/10,8542, Electronic integrated circuits,Macao,523
Exports,2016/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,85476
Exports,2016/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1381
Exports,2016/11,8542, Electronic integrated circuits,China,2296880
Exports,2016/11,8542, Electronic integrated circuits,Hong Kong,2123146
Exports,2016/11,8542, Electronic integrated circuits,Macao,189
Exports,2016/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,98676
Exports,2016/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1238
Exports,2016/12,8542, Electronic integrated circuits,China,2036248
Exports,2016/12,8542, Electronic integrated circuits,Hong Kong,2217611
Exports,2016/12,8542, Electronic integrated circuits,Macao,164
Exports,2017/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,87772
Exports,2017/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1000
Exports,2017/1,8542, Electronic integrated circuits,China,1815413
Exports,2017/1,8542, Electronic integrated circuits,Hong Kong,1833483
Exports,2017/1,8542, Electronic integrated circuits,Macao,63
Exports,2017/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,77555
Exports,2017/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,589
Exports,2017/2,8542, Electronic integrated circuits,China,1634228
Exports,2017/2,8542, Electronic integrated circuits,Hong Kong,1663082
Exports,2017/2,8542, Electronic integrated circuits,Macao,109
Exports,2017/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,82037
Exports,2017/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2591
Exports,2017/3,8542, Electronic integrated circuits,China,2061380
Exports,2017/3,8542, Electronic integrated circuits,Hong Kong,2045307
Exports,2017/3,8542, Electronic integrated circuits,Macao,69
Exports,2017/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,102237
Exports,2017/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2313
Exports,2017/4,8542, Electronic integrated circuits,China,1494877
Exports,2017/4,8542, Electronic integrated circuits,Hong Kong,1903259
Exports,2017/4,8542, Electronic integrated circuits,Macao,29
Exports,2017/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,51318
Exports,2017/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1030
Exports,2017/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Macao,0
Exports,2017/5,8542, Electronic integrated circuits,China,1798951
Exports,2017/5,8542, Electronic integrated circuits,Hong Kong,1786392
Exports,2017/5,8542, Electronic integrated circuits,Macao,133
Exports,2017/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,112571
Exports,2017/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1759
Exports,2017/6,8542, Electronic integrated circuits,China,2201801
Exports,2017/6,8542, Electronic integrated circuits,Hong Kong,2000252
Exports,2017/6,8542, Electronic integrated circuits,Macao,186
Exports,2017/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,154884
Exports,2017/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1726
Exports,2017/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Macao,3
Exports,2017/7,8542, Electronic integrated circuits,China,1820665
Exports,2017/7,8542, Electronic integrated circuits,Hong Kong,2079014
Exports,2017/7,8542, Electronic integrated circuits,Macao,237
Exports,2017/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,151172
