Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2019/6,8542, Electronic integrated circuits,China,2394761
Exports,2019/6,8542, Electronic integrated circuits,Hong Kong,2300536
Exports,2019/6,8542, Electronic integrated circuits,Macao,188
Exports,2019/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,115880
Exports,2019/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1411
Exports,2019/7,8542, Electronic integrated circuits,China,2717679
Exports,2019/7,8542, Electronic integrated circuits,Hong Kong,2274055
Exports,2019/7,8542, Electronic integrated circuits,Macao,221
Exports,2019/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,77864
Exports,2019/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,443
Exports,2019/8,8542, Electronic integrated circuits,China,3282604
Exports,2019/8,8542, Electronic integrated circuits,Hong Kong,2430008
Exports,2019/8,8542, Electronic integrated circuits,Macao,406
Exports,2019/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,67229
Exports,2019/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,411
Exports,2019/9,8542, Electronic integrated circuits,China,3433279
Exports,2019/9,8542, Electronic integrated circuits,Hong Kong,2314877
Exports,2019/9,8542, Electronic integrated circuits,Macao,117
Exports,2019/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,152390
Exports,2019/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,481
Exports,2019/10,8542, Electronic integrated circuits,China,3550795
Exports,2019/10,8542, Electronic integrated circuits,Hong Kong,2272187
Exports,2019/10,8542, Electronic integrated circuits,Macao,137
Exports,2019/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,64422
Exports,2019/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,976
Exports,2019/11,8542, Electronic integrated circuits,China,3549458
Exports,2019/11,8542, Electronic integrated circuits,Hong Kong,2416518
Exports,2019/11,8542, Electronic integrated circuits,Macao,81
Exports,2019/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,123105
Exports,2019/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1068
Exports,2019/12,8542, Electronic integrated circuits,China,3079430
Exports,2019/12,8542, Electronic integrated circuits,Hong Kong,2536359
Exports,2019/12,8542, Electronic integrated circuits,Macao,75
Exports,2020/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,148924
Exports,2020/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2759
Exports,2020/1,8542, Electronic integrated circuits,China,2653962
Exports,2020/1,8542, Electronic integrated circuits,Hong Kong,1999377
Exports,2020/1,8542, Electronic integrated circuits,Macao,193
Exports,2020/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,64001
Exports,2020/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2555
Exports,2020/2,8542, Electronic integrated circuits,China,2723142
Exports,2020/2,8542, Electronic integrated circuits,Hong Kong,1994900
Exports,2020/2,8542, Electronic integrated circuits,Macao,85
Exports,2020/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,83849
Exports,2020/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1591
Exports,2020/3,8542, Electronic integrated circuits,China,3438859
Exports,2020/3,8542, Electronic integrated circuits,Hong Kong,2467510
Exports,2020/3,8542, Electronic integrated circuits,Macao,134
Exports,2020/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,156482
Exports,2020/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1671
Exports,2020/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Macao,5
Exports,2020/4,8542, Electronic integrated circuits,China,2712176
Exports,2020/4,8542, Electronic integrated circuits,Hong Kong,2659485
Exports,2020/4,8542, Electronic integrated circuits,Macao,138
Exports,2020/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,123807
Exports,2020/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1497
Exports,2020/5,8542, Electronic integrated circuits,China,3016180
Exports,2020/5,8542, Electronic integrated circuits,Hong Kong,2616293
Exports,2020/5,8542, Electronic integrated circuits,Macao,459
Exports,2020/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,103964
Exports,2020/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,995
Exports,2020/6,8542, Electronic integrated circuits,China,3366733
Exports,2020/6,8542, Electronic integrated circuits,Hong Kong,3184684
Exports,2020/6,8542, Electronic integrated circuits,Macao,113
Exports,2020/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,139240
Exports,2020/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1163
Exports,2020/7,8542, Electronic integrated circuits,China,3033345
Exports,2020/7,8542, Electronic integrated circuits,Hong Kong,2893424
Exports,2020/7,8542, Electronic integrated circuits,Macao,104
Exports,2020/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,87677
Exports,2020/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2044
Exports,2020/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Macao,7
Exports,2020/8,8542, Electronic integrated circuits,China,4389046
Exports,2020/8,8542, Electronic integrated circuits,Hong Kong,2915086
Exports,2020/8,8542, Electronic integrated circuits,Macao,65
Exports,2020/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,83235
Exports,2020/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1468
Exports,2020/9,8542, Electronic integrated circuits,China,4235950
Exports,2020/9,8542, Electronic integrated circuits,Hong Kong,3371624
Exports,2020/9,8542, Electronic integrated circuits,Macao,42
Exports,2020/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,149333
Exports,2020/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,4540
Exports,2020/10,8542, Electronic integrated circuits,China,4137083
Exports,2020/10,8542, Electronic integrated circuits,Hong Kong,2871761
Exports,2020/10,8542, Electronic integrated circuits,Macao,83
Exports,2020/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,134801
Exports,2020/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2694
Exports,2020/11,8542, Electronic integrated circuits,China,4318588
Exports,2020/11,8542, Electronic integrated circuits,Hong Kong,2846032
Exports,2020/11,8542, Electronic integrated circuits,Macao,117
Exports,2020/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,168100
Exports,2020/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,840
Exports,2020/12,8542, Electronic integrated circuits,China,3964633
Exports,2020/12,8542, Electronic integrated circuits,Hong Kong,3171007
Exports,2020/12,8542, Electronic integrated circuits,Macao,153
Exports,2021/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,138454
Exports,2021/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1513
Exports,2021/1,8542, Electronic integrated circuits,China,3810863
Exports,2021/1,8542, Electronic integrated circuits,Hong Kong,3302567
Exports,2021/1,8542, Electronic integrated circuits,Macao,54
Exports,2021/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,124119
Exports,2021/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,764
Exports,2021/2,8542, Electronic integrated circuits,China,2865506
Exports,2021/2,8542, Electronic integrated circuits,Hong Kong,2653468
Exports,2021/2,8542, Electronic integrated circuits,Macao,146
Exports,2021/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,293598
Exports,2021/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2971
Exports,2021/3,8542, Electronic integrated circuits,China,4296013
Exports,2021/3,8542, Electronic integrated circuits,Hong Kong,3385889
Exports,2021/3,8542, Electronic integrated circuits,Macao,294
Exports,2021/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,182791
Exports,2021/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1645
Exports,2021/4,8542, Electronic integrated circuits,China,3244002
Exports,2021/4,8542, Electronic integrated circuits,Hong Kong,3985937
Exports,2021/4,8542, Electronic integrated circuits,Macao,1634
Exports,2021/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,224556
Exports,2021/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2205
Exports,2021/5,8542, Electronic integrated circuits,China,3452091
Exports,2021/5,8542, Electronic integrated circuits,Hong Kong,3624192
Exports,2021/5,8542, Electronic integrated circuits,Macao,171
Exports,2021/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,158408
Exports,2021/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2220
Exports,2021/6,8542, Electronic integrated circuits,China,4938563
Exports,2021/6,8542, Electronic integrated circuits,Hong Kong,3392565
Exports,2021/6,8542, Electronic integrated circuits,Macao,228
Exports,2021/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,195582
Exports,2021/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,3217
Exports,2021/7,8542, Electronic integrated circuits,China,3589748
Exports,2021/7,8542, Electronic integrated circuits,Hong Kong,4111886
Exports,2021/7,8542, Electronic integrated circuits,Macao,252
Exports,2021/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,194009
Exports,2021/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2950
Exports,2021/8,8542, Electronic integrated circuits,China,4146139
Exports,2021/8,8542, Electronic integrated circuits,Hong Kong,4078178
Exports,2021/8,8542, Electronic integrated circuits,Macao,815
Exports,2021/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,145576
Exports,2021/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1834
Exports,2021/9,8542, Electronic integrated circuits,China,5252902
Exports,2021/9,8542, Electronic integrated circuits,Hong Kong,4223567
Exports,2021/9,8542, Electronic integrated circuits,Macao,1008
Exports,2021/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,176632
Exports,2021/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1526
Exports,2021/10,8542, Electronic integrated circuits,China,3898741
Exports,2021/10,8542, Electronic integrated circuits,Hong Kong,3713638
Exports,2021/10,8542, Electronic integrated circuits,Macao,271
Exports,2021/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,157645
Exports,2021/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2486
Exports,2021/11,8542, Electronic integrated circuits,China,4792654
Exports,2021/11,8542, Electronic integrated circuits,Hong Kong,3984366
Exports,2021/11,8542, Electronic integrated circuits,Macao,344
Exports,2021/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,171021
Exports,2021/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2345
Exports,2021/12,8542, Electronic integrated circuits,China,4740200
Exports,2021/12,8542, Electronic integrated circuits,Hong Kong,4220104
Exports,2021/12,8542, Electronic integrated circuits,Macao,648
Exports,2022/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,187261
Exports,2022/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1838
Exports,2022/1,8542, Electronic integrated circuits,China,4725061
Exports,2022/1,8542, Electronic integrated circuits,Hong Kong,3815303
Exports,2022/1,8542, Electronic integrated circuits,Macao,749
Exports,2022/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,110080
Exports,2022/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,610
Exports,2022/2,8542, Electronic integrated circuits,China,4563571
Exports,2022/2,8542, Electronic integrated circuits,Hong Kong,4369558
Exports,2022/2,8542, Electronic integrated circuits,Macao,757
Exports,2022/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,149066
Exports,2022/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2530
Exports,2022/3,8542, Electronic integrated circuits,China,5155666
Exports,2022/3,8542, Electronic integrated circuits,Hong Kong,4981195
Exports,2022/3,8542, Electronic integrated circuits,Macao,844
Exports,2022/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,202747
Exports,2022/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2815
Exports,2022/4,8542, Electronic integrated circuits,China,4969900
Exports,2022/4,8542, Electronic integrated circuits,Hong Kong,4500545
Exports,2022/4,8542, Electronic integrated circuits,Macao,912
Exports,2022/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,161958
Exports,2022/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1023
Exports,2022/5,8542, Electronic integrated circuits,China,4436417
Exports,2022/5,8542, Electronic integrated circuits,Hong Kong,4408949
Exports,2022/5,8542, Electronic integrated circuits,Macao,503
Exports,2022/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,164680
Exports,2022/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,3282
Exports,2022/6,8542, Electronic integrated circuits,China,4195594
Exports,2022/6,8542, Electronic integrated circuits,Hong Kong,4745233
Exports,2022/6,8542, Electronic integrated circuits,Macao,867
Exports,2022/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,189286
Exports,2022/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2105
Exports,2022/7,8542, Electronic integrated circuits,China,4855940
Exports,2022/7,8542, Electronic integrated circuits,Hong Kong,3862527
Exports,2022/7,8542, Electronic integrated circuits,Macao,237
Exports,2022/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,156497
Exports,2022/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1411
Exports,2022/8,8542, Electronic integrated circuits,China,5372590
Exports,2022/8,8542, Electronic integrated circuits,Hong Kong,3433360
Exports,2022/8,8542, Electronic integrated circuits,Macao,561
Exports,2022/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,120776
Exports,2022/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,770
Exports,2022/9,8542, Electronic integrated circuits,China,4706988
Exports,2022/9,8542, Electronic integrated circuits,Hong Kong,4787481
Exports,2022/9,8542, Electronic integrated circuits,Macao,518
Exports,2022/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,124836
Exports,2022/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1130
Exports,2022/10,8542, Electronic integrated circuits,China,5621367
Exports,2022/10,8542, Electronic integrated circuits,Hong Kong,3038058
Exports,2022/10,8542, Electronic integrated circuits,Macao,663
Exports,2022/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,91357
Exports,2022/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,613
Exports,2022/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Macao,9
Exports,2022/11,8542, Electronic integrated circuits,China,4125567
Exports,2022/11,8542, Electronic integrated circuits,Hong Kong,3511492
Exports,2022/11,8542, Electronic integrated circuits,Macao,394
Exports,2022/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,148417
Exports,2022/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,3684
Exports,2022/12,8542, Electronic integrated circuits,China,4817680
Exports,2022/12,8542, Electronic integrated circuits,Hong Kong,3750021
Exports,2022/12,8542, Electronic integrated circuits,Macao,437
Exports,2023/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,90465
Exports,2023/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,409
Exports,2023/1,8542, Electronic integrated circuits,China,3654325
Exports,2023/1,8542, Electronic integrated circuits,Hong Kong,2571202
Exports,2023/1,8542, Electronic integrated circuits,Macao,682
