Date of data,Commodity code,Commodity,Quantity,Unit,Supplementary Quantity,Supplementary Unit,US dollar
202107,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",187,Number of item,683726,Kilogram,165845140
202107,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,155,Number of item,879573,Kilogram,342568087
202107,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,66,Number of item,423379,Kilogram,83880715
202107,84862031,Step and repeat alignersw,31,Number of item,225231,Kilogram,56351985
202107,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,119,Number of item,700198,Kilogram,279352900
202107,84862041,Dry plasma etching for the manufacture of semiconductor or IC,172,Number of item,758013,Kilogram,340149356
202107,84862050,Ion implanters,47,Number of item,730254,Kilogram,82290229
202108,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",163,Number of item,700942,Kilogram,153555345
202108,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,150,Number of item,772066,Kilogram,334755456
202108,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,67,Number of item,348050,Kilogram,114232760
202108,84862031,Step and repeat alignersw,19,Number of item,148101,Kilogram,25455661
202108,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,58,Number of item,326800,Kilogram,239129505
202108,84862041,Dry plasma etching for the manufacture of semiconductor or IC,140,Number of item,728814,Kilogram,309626190
202108,84862050,Ion implanters,38,Number of item,695039,Kilogram,84511408
202109,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",160,Number of item,734329,Kilogram,153771014
202109,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,128,Number of item,634103,Kilogram,255602221
202109,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,54,Number of item,228374,Kilogram,79597050
202109,84862031,Step and repeat alignersw,30,Number of item,226974,Kilogram,46135806
202109,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,53,Number of item,342661,Kilogram,198668846
202109,84862041,Dry plasma etching for the manufacture of semiconductor or IC,169,Number of item,607675,Kilogram,318974916
202109,84862050,Ion implanters,46,Number of item,740543,Kilogram,117556515
202110,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",148,Number of item,676011,Kilogram,134233155
202110,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,145,Number of item,737681,Kilogram,239355205
202110,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,82,Number of item,360324,Kilogram,100113337
202110,84862031,Step and repeat alignersw,45,Number of item,324601,Kilogram,79007735
202110,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,72,Number of item,529293,Kilogram,254435217
202110,84862041,Dry plasma etching for the manufacture of semiconductor or IC,173,Number of item,597499,Kilogram,310461188
202110,84862050,Ion implanters,26,Number of item,501974,Kilogram,58388745
202111,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",156,Number of item,577386,Kilogram,129279419
202111,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,194,Number of item,1035339,Kilogram,490642494
202111,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,105,Number of item,479936,Kilogram,141431720
202111,84862031,Step and repeat alignersw,40,Number of item,397718,Kilogram,124081945
202111,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,95,Number of item,448955,Kilogram,330246812
202111,84862041,Dry plasma etching for the manufacture of semiconductor or IC,181,Number of item,777707,Kilogram,367501410
202111,84862050,Ion implanters,44,Number of item,912008,Kilogram,121733117
202112,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",167,Number of item,820598,Kilogram,174639136
202112,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,148,Number of item,852358,Kilogram,267340254
202112,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,68,Number of item,299608,Kilogram,83727516
202112,84862031,Step and repeat alignersw,24,Number of item,370246,Kilogram,190838281
202112,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,89,Number of item,549483,Kilogram,498425628
202112,84862041,Dry plasma etching for the manufacture of semiconductor or IC,144,Number of item,645381,Kilogram,295102137
202112,84862050,Ion implanters,26,Number of item,573172,Kilogram,70155730
202001,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",89,Number of item,376829,Kilogram,76198437
202001,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,113,Number of item,720986,Kilogram,269678183
202001,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,24,Number of item,119861,Kilogram,30052158
202001,84862031,Step and repeat alignersw,14,Number of item,157283,Kilogram,141910322
202001,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,22,Number of item,191123,Kilogram,90138158
202001,84862041,Dry plasma etching for the manufacture of semiconductor or IC,107,Number of item,509819,Kilogram,215487603
202001,84862050,Ion implanters,20,Number of item,438933,Kilogram,51654278
202002,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",84,Number of item,346351,Kilogram,65549236
202002,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,77,Number of item,430854,Kilogram,180298513
202002,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,21,Number of item,38401,Kilogram,17605069
202002,84862031,Step and repeat alignersw,9,Number of item,90101,Kilogram,93558767
202002,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,25,Number of item,269086,Kilogram,81154196
202002,84862041,Dry plasma etching for the manufacture of semiconductor or IC,69,Number of item,324027,Kilogram,139491233
202002,84862050,Ion implanters,12,Number of item,282553,Kilogram,30677508
202003,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",175,Number of item,700300,Kilogram,165783176
202003,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,115,Number of item,905705,Kilogram,211022122
202003,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,79,Number of item,559196,Kilogram,58208325
202003,84862031,Step and repeat alignersw,17,Number of item,239987,Kilogram,121330980
202003,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,42,Number of item,286486,Kilogram,85758505
202003,84862041,Dry plasma etching for the manufacture of semiconductor or IC,91,Number of item,384560,Kilogram,156102836
202003,84862050,Ion implanters,19,Number of item,354470,Kilogram,56753149
202004,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",126,Number of item,533960,Kilogram,143877949
202004,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,133,Number of item,667561,Kilogram,249899049
202004,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,51,Number of item,198416,Kilogram,47053941
202004,84862031,Step and repeat alignersw,14,Number of item,190336,Kilogram,184881324
202004,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,50,Number of item,411532,Kilogram,157089399
202004,84862041,Dry plasma etching for the manufacture of semiconductor or IC,141,Number of item,498486,Kilogram,227712039
202004,84862050,Ion implanters,19,Number of item,325943,Kilogram,46938168
202005,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",120,Number of item,393520,Kilogram,102202663
202005,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,90,Number of item,440631,Kilogram,158810278
202005,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,45,Number of item,94219,Kilogram,26603135
202005,84862031,Step and repeat alignersw,18,Number of item,191196,Kilogram,179427814
202005,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,27,Number of item,144778,Kilogram,117300584
202005,84862041,Dry plasma etching for the manufacture of semiconductor or IC,85,Number of item,347876,Kilogram,177160769
202005,84862050,Ion implanters,10,Number of item,195078,Kilogram,36964640
202006,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",140,Number of item,477015,Kilogram,115464630
202006,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,97,Number of item,401206,Kilogram,170490909
202006,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,48,Number of item,260381,Kilogram,36937759
202006,84862031,Step and repeat alignersw,33,Number of item,266455,Kilogram,350726707
202006,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,91,Number of item,224331,Kilogram,69244411
202006,84862041,Dry plasma etching for the manufacture of semiconductor or IC,98,Number of item,419615,Kilogram,209191073
202006,84862050,Ion implanters,36,Number of item,571887,Kilogram,67925793
202007,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",84,Number of item,334930,Kilogram,85106876
202007,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,95,Number of item,451315,Kilogram,197380190
202007,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,43,Number of item,187617,Kilogram,73862888
202007,84862031,Step and repeat alignersw,28,Number of item,196868,Kilogram,29962998
202007,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,86,Number of item,246441,Kilogram,166617619
202007,84862041,Dry plasma etching for the manufacture of semiconductor or IC,118,Number of item,369500,Kilogram,177908829
202007,84862050,Ion implanters,19,Number of item,368975,Kilogram,54106722
202008,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",100,Number of item,406798,Kilogram,105225534
202008,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,87,Number of item,398189,Kilogram,190489306
202008,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,36,Number of item,161827,Kilogram,40468954
202008,84862031,Step and repeat alignersw,27,Number of item,347484,Kilogram,368277179
202008,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,28,Number of item,312188,Kilogram,205450632
202008,84862041,Dry plasma etching for the manufacture of semiconductor or IC,107,Number of item,422130,Kilogram,270969674
202008,84862050,Ion implanters,21,Number of item,432958,Kilogram,67375409
202009,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",147,Number of item,373427,Kilogram,103183679
202009,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,101,Number of item,538286,Kilogram,289193834
202009,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,47,Number of item,158666,Kilogram,46931173
202009,84862031,Step and repeat alignersw,21,Number of item,188890,Kilogram,165667453
202009,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,52,Number of item,269552,Kilogram,152525605
202009,84862041,Dry plasma etching for the manufacture of semiconductor or IC,134,Number of item,400050,Kilogram,256740843
202009,84862050,Ion implanters,18,Number of item,285507,Kilogram,44885120
202010,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",145,Number of item,578928,Kilogram,147459429
202010,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,102,Number of item,685905,Kilogram,255445247
202010,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,42,Number of item,159716,Kilogram,44573502
202010,84862031,Step and repeat alignersw,13,Number of item,97957,Kilogram,19467855
202010,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,56,Number of item,347176,Kilogram,131247181
202010,84862041,Dry plasma etching for the manufacture of semiconductor or IC,108,Number of item,417190,Kilogram,238225061
202010,84862050,Ion implanters,23,Number of item,472885,Kilogram,74760669
202011,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",98,Number of item,341919,Kilogram,73217038
202011,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,100,Number of item,578450,Kilogram,213210589
202011,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,177,Number of item,410775,Kilogram,46776344
202011,84862031,Step and repeat alignersw,16,Number of item,139882,Kilogram,139678098
202011,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,95,Number of item,425779,Kilogram,197107268
202011,84862041,Dry plasma etching for the manufacture of semiconductor or IC,128,Number of item,417642,Kilogram,210148454
202011,84862050,Ion implanters,14,Number of item,298944,Kilogram,38300229
202012,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",85,Number of item,299499,Kilogram,60603197
202012,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,99,Number of item,442527,Kilogram,148999115
202012,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,81,Number of item,212807,Kilogram,43333145
202012,84862031,Step and repeat alignersw,29,Number of item,177640,Kilogram,60003908
202012,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,58,Number of item,343947,Kilogram,164851017
202012,84862041,Dry plasma etching for the manufacture of semiconductor or IC,90,Number of item,287991,Kilogram,170743451
202012,84862050,Ion implanters,19,Number of item,385320,Kilogram,44923386
201901,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",92,Number of item,304609,Kilogram,75036823
201901,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,76,Number of item,488780,Kilogram,127530714
201901,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,111,Number of item,542076,Kilogram,51604580
201901,84862031,Step and repeat alignersw,17,Number of item,69017,Kilogram,5594525
201901,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,30,Number of item,158019,Kilogram,82447010
201901,84862041,Dry plasma etching for the manufacture of semiconductor or IC,115,Number of item,449433,Kilogram,151846570
201901,84862050,Ion implanters,11,Number of item,202129,Kilogram,33005990
201902,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",45,Number of item,125583,Kilogram,22575036
201902,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,46,Number of item,314203,Kilogram,74860996
201902,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,39,Number of item,97220,Kilogram,8088018
201902,84862031,Step and repeat alignersw,6,Number of item,40789,Kilogram,18203329
201902,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,25,Number of item,104477,Kilogram,59948269
201902,84862041,Dry plasma etching for the manufacture of semiconductor or IC,40,Number of item,160435,Kilogram,88300920
201902,84862050,Ion implanters,7,Number of item,99183,Kilogram,12717657
201903,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",57,Number of item,234336,Kilogram,43552046
201903,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,85,Number of item,573911,Kilogram,112123876
201903,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,50,Number of item,173982,Kilogram,46447559
201903,84862031,Step and repeat alignersw,16,Number of item,138815,Kilogram,150652718
201903,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,39,Number of item,171347,Kilogram,37718194
201903,84862041,Dry plasma etching for the manufacture of semiconductor or IC,61,Number of item,335228,Kilogram,100030195
201903,84862050,Ion implanters,9,Number of item,192803,Kilogram,26996685
201904,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",119,Number of item,609766,Kilogram,98322043
201904,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,83,Number of item,547627,Kilogram,133695885
201904,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,73,Number of item,308505,Kilogram,95967294
201904,84862031,Step and repeat alignersw,7,Number of item,81566,Kilogram,193630574
201904,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,38,Number of item,106817,Kilogram,30030641
201904,84862041,Dry plasma etching for the manufacture of semiconductor or IC,86,Number of item,375334,Kilogram,170305102
201904,84862050,Ion implanters,17,Number of item,353116,Kilogram,40845789
201905,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",95,Number of item,402021,Kilogram,77141391
201905,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,98,Number of item,772727,Kilogram,194823708
201905,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,61,Number of item,181095,Kilogram,44298038
201905,84862031,Step and repeat alignersw,9,Number of item,133300,Kilogram,94732083
201905,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,31,Number of item,108510,Kilogram,34679425
201905,84862041,Dry plasma etching for the manufacture of semiconductor or IC,78,Number of item,268853,Kilogram,129218835
201905,84862050,Ion implanters,10,Number of item,176668,Kilogram,18966381
201906,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",141,Number of item,749535,Kilogram,92292020
201906,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,107,Number of item,575196,Kilogram,177013839
201906,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,51,Number of item,219676,Kilogram,44148642
201906,84862031,Step and repeat alignersw,25,Number of item,120003,Kilogram,20507409
201906,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,23,Number of item,168391,Kilogram,76801214
201906,84862041,Dry plasma etching for the manufacture of semiconductor or IC,79,Number of item,429194,Kilogram,204648510
201906,84862050,Ion implanters,13,Number of item,268270,Kilogram,39180526
201907,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",91,Number of item,467636,Kilogram,109353828
201907,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,94,Number of item,674919,Kilogram,154867657
201907,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,34,Number of item,444282,Kilogram,45049180
201907,84862031,Step and repeat alignersw,14,Number of item,83857,Kilogram,26241205
201907,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,29,Number of item,322360,Kilogram,150781366
201907,84862041,Dry plasma etching for the manufacture of semiconductor or IC,94,Number of item,353336,Kilogram,173304647
201907,84862050,Ion implanters,18,Number of item,302591,Kilogram,47865749
201908,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",143,Number of item,961559,Kilogram,190380069
201908,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,129,Number of item,870413,Kilogram,268176124
201908,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,40,Number of item,193718,Kilogram,36071853
201908,84862031,Step and repeat alignersw,9,Number of item,82185,Kilogram,22981986
201908,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,29,Number of item,157380,Kilogram,82658364
201908,84862041,Dry plasma etching for the manufacture of semiconductor or IC,139,Number of item,451539,Kilogram,203590480
201908,84862050,Ion implanters,21,Number of item,413091,Kilogram,42710209
201909,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",131,Number of item,620268,Kilogram,141801793
201909,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,87,Number of item,539150,Kilogram,143503598
201909,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,53,Number of item,95717,Kilogram,27357715
201909,84862031,Step and repeat alignersw,11,Number of item,116036,Kilogram,134417368
201909,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,56,Number of item,249419,Kilogram,78724717
201909,84862041,Dry plasma etching for the manufacture of semiconductor or IC,75,Number of item,222484,Kilogram,108749682
201909,84862050,Ion implanters,9,Number of item,168475,Kilogram,21945598
201910,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",83,Number of item,355850,Kilogram,115426279
201910,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,67,Number of item,372968,Kilogram,138089396
201910,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,44,Number of item,216747,Kilogram,59415389
201910,84862031,Step and repeat alignersw,3,Number of item,43000,Kilogram,76579021
201910,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,30,Number of item,223273,Kilogram,204346200
201910,84862041,Dry plasma etching for the manufacture of semiconductor or IC,104,Number of item,266367,Kilogram,128047072
201910,84862050,Ion implanters,19,Number of item,349283,Kilogram,33812424
201911,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",83,Number of item,322304,Kilogram,80155119
201911,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,121,Number of item,634252,Kilogram,224371987
201911,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,31,Number of item,154062,Kilogram,37529100
201911,84862031,Step and repeat alignersw,12,Number of item,151171,Kilogram,90526564
201911,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,99,Number of item,241755,Kilogram,97189161
201911,84862041,Dry plasma etching for the manufacture of semiconductor or IC,115,Number of item,393375,Kilogram,168098356
201911,84862050,Ion implanters,19,Number of item,359883,Kilogram,37227455
201912,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",122,Number of item,542750,Kilogram,112263824
201912,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,117,Number of item,587680,Kilogram,186200683
201912,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,57,Number of item,171921,Kilogram,51823945
201912,84862031,Step and repeat alignersw,18,Number of item,163523,Kilogram,106662892
201912,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,42,Number of item,238974,Kilogram,211067582
201912,84862041,Dry plasma etching for the manufacture of semiconductor or IC,111,Number of item,440274,Kilogram,216435034
201912,84862050,Ion implanters,17,Number of item,306509,Kilogram,45375995
201801,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",136,Number of item,0,Kilogram,124022702
201801,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,126,Number of item,0,Kilogram,258976779
201801,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,52,Number of item,0,Kilogram,100592175
201801,84862031,Step and repeat alignersw,30,Number of item,0,Kilogram,201306795
201801,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,30,Number of item,0,Kilogram,68949226
201801,84862041,Dry plasma etching for the manufacture of semiconductor or IC,81,Number of item,0,Kilogram,178361598
201801,84862050,Ion implanters,19,Number of item,0,Kilogram,34601350
201802,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",124,Number of item,0,Kilogram,72793763
201802,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,46,Number of item,0,Kilogram,83791447
201802,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,15,Number of item,0,Kilogram,28402409
201802,84862031,Step and repeat alignersw,9,Number of item,0,Kilogram,9457844
201802,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,22,Number of item,0,Kilogram,130649197
201802,84862041,Dry plasma etching for the manufacture of semiconductor or IC,66,Number of item,0,Kilogram,96579964
201802,84862050,Ion implanters,10,Number of item,0,Kilogram,28146792
201803,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",2607,Number of item,0,Kilogram,62562799
201803,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,102,Number of item,0,Kilogram,181909912
201803,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,52,Number of item,0,Kilogram,33332954
201803,84862031,Step and repeat alignersw,23,Number of item,0,Kilogram,149459188
201803,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,50,Number of item,0,Kilogram,191745432
201803,84862041,Dry plasma etching for the manufacture of semiconductor or IC,65,Number of item,0,Kilogram,117297170
201803,84862050,Ion implanters,18,Number of item,0,Kilogram,29092148
201804,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",78,Number of item,0,Kilogram,50875149
201804,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,89,Number of item,0,Kilogram,178984798
201804,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,42,Number of item,0,Kilogram,61832314
201804,84862031,Step and repeat alignersw,21,Number of item,0,Kilogram,39516897
201804,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,40,Number of item,0,Kilogram,150150197
201804,84862041,Dry plasma etching for the manufacture of semiconductor or IC,87,Number of item,0,Kilogram,186614971
201804,84862050,Ion implanters,6,Number of item,0,Kilogram,8213651
201805,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",91,Number of item,0,Kilogram,88476157
201805,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,79,Number of item,0,Kilogram,200696031
201805,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,116,Number of item,0,Kilogram,57015476
201805,84862031,Step and repeat alignersw,15,Number of item,0,Kilogram,18971105
201805,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,37,Number of item,0,Kilogram,220647666
201805,84862041,Dry plasma etching for the manufacture of semiconductor or IC,91,Number of item,0,Kilogram,200555445
201805,84862050,Ion implanters,7,Number of item,0,Kilogram,17863102
201806,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",110,Number of item,0,Kilogram,99079741
201806,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,95,Number of item,0,Kilogram,233745174
201806,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,58,Number of item,0,Kilogram,122942077
201806,84862031,Step and repeat alignersw,13,Number of item,0,Kilogram,28006951
201806,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,45,Number of item,0,Kilogram,360023640
201806,84862041,Dry plasma etching for the manufacture of semiconductor or IC,101,Number of item,0,Kilogram,239973528
201806,84862050,Ion implanters,10,Number of item,0,Kilogram,28151390
201807,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",120,Number of item,0,Kilogram,105830576
201807,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,105,Number of item,0,Kilogram,294534141
201807,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,67,Number of item,0,Kilogram,122586082
201807,84862031,Step and repeat alignersw,22,Number of item,0,Kilogram,15833718
