"","date","Category","Index_NSA","Relative_Importance","Index_SA","Monthly_Contribution_NSA","Monthly_Contribution_SA","Yearly_Contribution"
"1",2019-01-01,"All",251.712,100,252.561,0.190659666524695,-0.081497980353447,1.55123513819913
"2",2019-02-01,"All",252.776,100,253.319,0.422705314009676,0.300125514232192,1.52013526593331
"3",2019-03-01,"All",254.202,100,254.277,0.564135835680602,0.378179291723086,1.86252274056918
"4",2019-04-01,"All",255.548,100,255.233,0.52950016128905,0.375967940474368,1.99643977553026
"5",2019-05-01,"All",256.092,100,255.296,0.212875858938432,0.0246833285664394,1.7902284687664
"6",2019-06-01,"All",256.143,100,255.213,0.0199147181481578,-0.0325112810228063,1.64848465607625
"7",2019-07-01,"All",256.571,100,255.802,0.167094162245334,0.230787616618272,1.81146480639352
"8",2019-08-01,"All",256.558,100,256.036,-0.00506682360828847,0.0914770017435416,1.74977988942915
"9",2019-09-01,"All",256.759,100,256.43,0.078344857692997,0.153884609976714,1.71130451316952
"10",2019-10-01,"All",257.346,100,257.155,0.228619055222978,0.282728229926278,1.76404294442139
"11",2019-11-01,"All",257.208,100,257.879,-0.0536243034669184,0.281542260504381,2.05127798189162
"12",2019-12-01,"All",256.974,100,258.63,-0.0909769525053861,0.291221852108919,2.28512974012172
"13",2020-01-01,"All",257.971,100,258.906,0.387976993781479,0.106716158218319,2.48657195525045
"14",2020-02-01,"All",258.678,100,259.246,0.27406181314953,0.131321792465201,2.33487356394595
"15",2020-03-01,"All",258.115,100,258.15,-0.217645103178469,-0.42276447852619,1.53932699191981
"16",2020-04-01,"All",256.389,100,256.126,-0.668694186699724,-0.784040286655042,0.329096686336825
"17",2020-05-01,"All",256.394,100,255.848,0.00195016166838968,-0.10854032780739,0.117926370210711
"18",2020-06-01,"All",257.797,100,257.004,0.547204692777541,0.451830774522378,0.645733047555481
"19",2020-07-01,"All",259.101,100,258.408,0.505824350166975,0.546294999299619,0.986081825303714
"20",2020-08-01,"All",259.918,100,259.366,0.315321052408152,0.370731556298566,1.30964538233071
"21",2020-09-01,"All",260.28,100,259.951,0.139274694326659,0.225549994987787,1.37132486105646
"22",2020-10-01,"All",260.388,100,260.249,0.0414937759336169,0.114636989278765,1.1820661677275
"23",2020-11-01,"All",260.229,100,260.895,-0.0610627217844097,0.248223816421955,1.17453578426796
"24",2020-12-01,"All",260.474,100,262.005,0.0941478467042458,0.425458517794524,1.36200549471933
"25",2021-01-01,"All",261.582,100,262.518,0.42537834870275,0.19579779011849,1.39976974156009
"26",2021-02-01,"All",263.014,100,263.583,0.547438279392324,0.405686467213712,1.67621521737451
"27",2021-03-01,"All",264.877,100,264.91,0.708327313374951,0.503446732148888,2.61976250895918
"28",2021-04-01,"All",267.054,100,266.752,0.821890915406016,0.695330489600238,4.15969483870211
"29",2021-05-01,"All",269.195,100,268.452,0.801710515476287,0.637296065259108,4.99270653759447
"30",2021-06-01,"All",271.696,100,270.664,0.929066290235724,0.823983430929928,5.39145141332133
"31",2021-07-01,"All",273.003,100,271.994,0.481052352629391,0.491384151568013,5.3654752393854
"32",2021-08-01,"All",273.567,100,272.789,0.206591136361141,0.292285859246874,5.25127155487499
"33",2021-09-01,"All",274.31,100,273.887,0.271597085905825,0.402508898819235,5.39034885507917
"34",2021-10-01,"All",276.589,100,276.434,0.830811855200309,0.929945561490683,6.2218689033289
"35",2021-11-01,"All",277.948,100,278.799,0.491342750434768,0.855538754277688,6.80900283980648
"36",2021-12-01,"All",278.802,100,280.808,0.307251716148357,0.720590819909688,7.03640286554514
"37",2022-01-01,"All",281.148,100,282.39,0.841457378354534,0.563374262841521,7.47987246828912
"38",2022-02-01,"All",283.716,100,284.535,0.913397925647686,0.759587804100732,7.87106389773928
"39",2022-03-01,"All",287.504,100,287.553,1.33513795485626,1.06067794823133,8.54245555484243
"40",2022-04-01,"All",289.109,100,288.764,0.558253102565516,0.421139755106026,8.25862934088238
"41",2022-05-01,"All",292.296,100,291.359,1.10235239995988,0.898657727417529,8.58151154367653
"42",2022-06-01,"All",296.311,100,294.996,1.37360757588199,1.24828819428953,9.05975796478415
"43",2022-07-01,"All",296.276,100,294.977,-0.0118119138337676,-0.00644076529850679,8.52481474562552
"44",2022-08-01,"All",296.171,100,295.209,-0.0354399276350534,0.0786501998460949,8.26269250311624
"45",2022-09-01,"All",296.808,100,296.341,0.215078451300087,0.38345714392176,8.20166964383363
"46",2022-10-01,"All",298.012,100,297.863,0.405649443411235,0.513597510975529,7.74542733080492
"47",2022-11-01,"All",297.711,100,298.648,-0.101002644188824,0.263543978271912,7.11032279419173
"48",2022-12-01,"All",296.797,100,298.812,-0.307009146454106,0.0549141464198755,6.45440133141082
"49",2023-01-01,"All",299.17,100,300.356,0.799536383453997,0.516712849550885,6.41014696885627
"50",2023-02-01,"All",300.84,100,301.509,0.558211050573235,0.383877798345964,6.0356130778666
