DATE,ECIALLCIV_PCEPI
2001-01-01,1.0674317784648474
2001-04-01,1.0724947943235129
2001-07-01,1.0832361680520555
2001-10-01,1.0928185612057766
2002-01-01,1.0993775613579418
2002-04-01,1.1024573542678839
2002-07-01,1.1054204714813869
2002-10-01,1.1076688549580782
2003-01-01,1.1126836171977942
2003-04-01,1.1213130738604046
2003-07-01,1.1248789150791088
2003-10-01,1.1278059595387563
2004-01-01,1.1311369560538546
2004-04-01,1.1342626500967983
2004-07-01,1.1393497196931793
2004-10-01,1.1378950699026168
2005-01-01,1.1418007829491083
2005-04-01,1.1415824694921926
2005-07-01,1.1374092726155068
2005-10-01,1.1375129262832532
2006-01-01,1.1384148110743908
2006-04-01,1.1386007314239607
2006-07-01,1.1415897694567249
2006-10-01,1.1523972984419232
2007-01-01,1.1507920438523187
2007-04-01,1.1509609593166512
2007-07-01,1.1532011586459233
2007-10-01,1.1512962863148817
2008-01-01,1.1505601317369965
2008-04-01,1.1468731909125567
2008-07-01,1.1431505270437352
2008-10-01,1.1670210085077535
2009-01-01,1.1781774520349201
2009-04-01,1.1767134599504542
2009-07-01,1.1739628404174090
2009-10-01,1.1691824142055839
2010-01-01,1.1720183245798870
2010-04-01,1.1754403103804393
2010-07-01,1.1784001755064091
2010-10-01,1.1760960807177681
2011-01-01,1.1734994990323776
2011-04-01,1.1692150866462793
2011-07-01,1.1678955557058784
2011-10-01,1.1691056746124051
2012-01-01,1.1684410404450056
2012-04-01,1.1706378372599591
2012-07-01,1.1722419502055338
2012-10-01,1.1706677178604673
2013-01-01,1.1724087851442076
2013-04-01,1.1775105382245648
2013-07-01,1.1776725117767251
2013-10-01,1.1786565997245549
2014-01-01,1.1769148877291566
2014-04-01,1.1798014875476197
2014-07-01,1.1842232774493652
2014-10-01,1.1914040392607086
2015-01-01,1.2041697788458416
2015-04-01,1.2003024994990660
2015-07-01,1.2051377945140116
2015-10-01,1.2131128495081713
2016-01-01,1.2192407807011602
2016-04-01,1.2183668563186153
2016-07-01,1.2205130497817319
2016-10-01,1.2214385832202372
2017-01-01,1.2223416361107599
2017-04-01,1.2264659435844578
2017-07-01,1.2303807962617527
2017-10-01,1.2296961321658187
2018-01-01,1.2309713889026628
2018-04-01,1.2330843747689122
2018-07-01,1.2372634643377001
2018-10-01,1.2405187178859799
2019-01-01,1.2474831881551731
2019-04-01,1.2473217483141430
2019-07-01,1.2529432059608622
2019-10-01,1.2557407876179800
2020-01-01,1.2608336462636125
2020-04-01,1.2732417138237672
2020-07-01,1.2680856152098529
2020-10-01,1.2722426552704856
2021-01-01,1.2718089719912912
2021-04-01,1.2609106092513252
