Date,Male,Female
1997-12-01,4.7,4.8
1998-01-01,4.7,4.8
1998-02-01,4.7,4.8
1998-03-01,4.7,4.8
1998-04-01,4.7,4.9
1998-05-01,4.8,5
1998-06-01,4.9,5
1998-07-01,5,5
1998-08-01,5,5
1998-09-01,5,5
1998-10-01,5,5
1998-11-01,5,5.1
1998-12-01,5,5.1
1999-01-01,5,5.1
1999-02-01,5.1,5.1
1999-03-01,5.2,5.2
1999-04-01,5.2,5.1
1999-05-01,5.2,5.1
1999-06-01,5.1,5
1999-07-01,5.1,5
1999-08-01,5.1,5
1999-09-01,5.1,5
1999-10-01,5.1,5
1999-11-01,5.2,5
1999-12-01,5.2,5
2000-01-01,5.2,4.9
2000-02-01,5.2,4.9
2000-03-01,5.1,4.9
2000-04-01,5.2,4.8
2000-05-01,5,4.9
2000-06-01,5.1,4.9
2000-07-01,5.1,4.9
2000-08-01,5.1,5
2000-09-01,5.1,5
2000-10-01,5.1,4.9
2000-11-01,5.2,5
2000-12-01,5.2,5
2001-01-01,5.2,5.1
2001-02-01,5.3,5.1
2001-03-01,5.3,5.2
2001-04-01,5.2,5.3
2001-05-01,5.3,5.2
2001-06-01,5.3,5.2
2001-07-01,5.3,5.2
2001-08-01,5.3,5.2
2001-09-01,5.3,5.2
2001-10-01,5.2,5.2
2001-11-01,5.2,5.1
2001-12-01,5.1,5.1
2002-01-01,5.1,5.1
2002-02-01,4.9,5.1
2002-03-01,4.8,5.1
2002-04-01,4.7,4.9
2002-05-01,4.7,4.9
2002-06-01,4.5,4.8
2002-07-01,4.4,4.8
2002-08-01,4.3,4.6
2002-09-01,4.2,4.6
2002-10-01,4.1,4.4
2002-11-01,3.9,4.4
2002-12-01,3.8,4.3
2003-01-01,3.8,4.2
2003-02-01,3.8,4.1
2003-03-01,3.7,4
2003-04-01,3.7,3.9
2003-05-01,3.6,3.9
2003-06-01,3.6,3.8
2003-07-01,3.5,3.8
2003-08-01,3.4,3.8
2003-09-01,3.4,3.7
2003-10-01,3.4,3.7
2003-11-01,3.4,3.7
2003-12-01,3.4,3.7
2004-01-01,3.3,3.6
2004-02-01,3.3,3.6
2004-03-01,3.3,3.6
2004-04-01,3.3,3.5
2004-05-01,3.3,3.5
2004-06-01,3.2,3.5
2004-07-01,3.3,3.5
2004-08-01,3.3,3.5
2004-09-01,3.4,3.5
2004-10-01,3.5,3.4
2004-11-01,3.5,3.5
2004-12-01,3.5,3.5
2005-01-01,3.6,3.5
2005-02-01,3.6,3.5
2005-03-01,3.6,3.5
2005-04-01,3.6,3.5
2005-05-01,3.6,3.6
2005-06-01,3.8,3.6
2005-07-01,3.9,3.6
2005-08-01,3.9,3.6
2005-09-01,3.9,3.7
2005-10-01,4,3.7
2005-11-01,4,3.8
2005-12-01,4,3.8
2006-01-01,4,3.8
2006-02-01,4,3.9
2006-03-01,4.1,3.9
2006-04-01,4.1,3.9
2006-05-01,4.1,3.8
2006-06-01,4,3.8
2006-07-01,4,3.8
2006-08-01,4,3.8
2006-09-01,3.9,3.8
2006-10-01,3.9,3.8
2006-11-01,3.9,3.8
2006-12-01,4,3.8
2007-01-01,4,3.8
2007-02-01,4.1,3.8
2007-03-01,4.1,3.9
2007-04-01,4.1,3.9
2007-05-01,4.1,3.9
2007-06-01,4.1,4
2007-07-01,4.2,4.1
2007-08-01,4.2,4.1
2007-09-01,4.3,4.1
2007-10-01,4.3,4.2
2007-11-01,4.4,4.1
2007-12-01,4.3,4.1
